courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_22_la_crise_des_missiles_de_cuba_1962,MAD,Mutually Assured Destruction (MAD),concept,"Jaderná doktrína tvrdící, že ani Spojené státy, ani SSSR nemohly přežít jadernou válku. Tato logika vyváženého teroru odradila každého od útoku a strukturovala celou dynamiku kubánské krize.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,Mutually Assured Destruction,Mutually Assured Destruction (MAD),concept,"Jaderná doktrína tvrdící, že ani Spojené státy, ani SSSR nemohly přežít jadernou válku. Tato logika vyváženého teroru odradila každého od útoku a strukturovala celou dynamiku kubánské krize.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,duben 1961,Invaze v Zátoce sviní (duben 1961),evenementConnexe,"Neúspěšný pokus o invazi na Kubu kubánskými exulanty vycvičenými CIA. Ponižující neúspěch oslabil Kennedyho, povzbudil Chruščova k riskování a posílil Castra, čímž vytvořil podmínky pro krizi v roce 1962.",short_form
course_23_la_guerre_d_algerie_1954_1962,duben 1961,Generálský puč (duben 1961),evenementConnexe,"Pokus o státní převrat čtyřmi generály proti nezávislosti. De Gaulle ji rozdrtil za čtyři dny díky rozhlasovému projevu. Po něm následovalo vytvoření OAS, profrancouzské Alžírské teroristické organizace.",short_form
course_23_la_guerre_d_algerie_1954_1962,generálský puč,generálský puč (duben 1961),evenementConnexe,"Pokus o státní převrat čtyřmi generály proti nezávislosti. De Gaulle ji rozdrtil za čtyři dny díky rozhlasovému projevu. Po něm následovalo vytvoření OAS, profrancouzské Alžírské teroristické organizace.",short_form
course_24_la_bataille_de_dien_bien_phu_1954,červenec 1954,Ženevské dohody (červenec 1954),evenementConnexe,"Dohody ukončující válku v Indočíně: Vietnam byl rozdělen na 17. rovnoběžce. Volby za znovusjednocení plánované na rok 1956 se nikdy nekonaly, což zaselo semena americké války, která měla následovat.",short_form
course_26_la_creation_de_l_onu_1945,únor 1945,Konference v Jaltě (únor 1945),evenementConnexe,"Setkání Roosevelta, Churchilla a Stalina, které položilo základy poválečného světového uspořádání: rozdělení Evropy na zóny vlivu, podmínky pro vstup Sovětů proti Japonsku, vytvoření struktury OSN.",short_form
course_26_la_creation_de_l_onu_1945,Jaltská konference,Jaltská konference (únor 1945),evenementConnexe,"Setkání Roosevelta, Churchilla a Stalina, které položilo základy poválečného světového uspořádání: rozdělení Evropy na zóny vlivu, podmínky pro vstup Sovětů proti Japonsku, vytvoření struktury OSN.",short_form
course_28_le_genocide_rwandais_1994,srpen 1993,The Arusha Accords (srpen 1993),evenementConnexe,"Mírová dohoda mezi vládou Hutuů a RPF (Rwandská vlastenecká fronta). Hutuští extrémisté, kteří odmítali jakékoli sdílení moci, zorganizovali genocidu, aby zabránili jejímu provedení.",short_form
course_28_le_genocide_rwandais_1994,The Arusha Accords,The Arusha Accords (srpen 1993),evenementConnexe,"Mírová dohoda mezi vládou Hutuů a RPF (Rwandská vlastenecká fronta). Hutuští extrémisté, kteří odmítali jakékoli sdílení moci, zorganizovali genocidu, aby zabránili jejímu provedení.",short_form
course_29_la_chute_du_mur_de_berlin_1989,srpen 1968,Pražské jaro (srpen 1968),evenementConnexe,"Liberální reforma komunismu v Československu, rozdrceném invazí sovětských tanků. Gorbačovovo rozhodnutí neopakovat tuto intervenci v roce 1989 bylo proto historicky revoluční.",short_form
course_30_la_blitzkrieg_1940,srpkovitý střih,Sichelschnittův plán (srpkovitý střih),concept,"Plán generála von Mansteina: soustředit obrněné jednotky v Ardenách, aby prorazily střed a dosáhly kanálu La Manche a obklíčily francouzsko-britské armády angažované v Belgii. Tento odvážný a riskantní plán byl naprostý úspěch.",short_form
course_30_la_blitzkrieg_1940,Dunkirk,Operace Dynamo (Dunkirk),evenementConnexe,"Námořní evakuace 338 000 francouzských a britských vojáků obklíčených u Dunkerque improvizovanou flotilou vojenských a civilních plavidel. Tento „zázrak“ umožnil Velké Británii pokračovat ve válce, ale Francie zůstala bez armády.",short_form
course_32_la_guerre_du_vietnam_1955_1975,leden 1968,Ofenzíva Tet (leden 1968),evenementConnexe,Současný útok Vietkongu na více než 100 amerických měst během vietnamského Nového roku. Vojenský neúspěch pro Hanoj ​​zničil důvěryhodnost Johnsonovy administrativy ve Spojených státech.,short_form
course_35_l_apartheid_et_mandela_1948_1994,březen 1960,Masakr v Sharpeville (březen 1960),evenementConnexe,Policie zahájila palbu na pokojnou demonstraci proti zákonům a zabila 69 lidí. Globální šok vedl k zákazu ANC a přiměl Mandelu k vytvoření ozbrojeného křídla odporu.,short_form
course_35_l_apartheid_et_mandela_1948_1994,Komise pro pravdu a usmíření,Komise pro pravdu a usmíření (TRC),concept,Byl zaveden po roce 1994 a umožňoval pachatelům zločinů apartheidu získat amnestii výměnou za úplné veřejné přiznání. V čele s Desmondem Tutu zvolila národní usmíření spíše než soudy.,short_form
course_35_l_apartheid_et_mandela_1948_1994,Sharpeville masakr,Sharpeville masakr (březen 1960),evenementConnexe,Policie zahájila palbu na pokojnou demonstraci proti zákonům a zabila 69 lidí. Globální šok vedl k zákazu ANC a přiměl Mandelu k vytvoření ozbrojeného křídla odporu.,short_form
course_37_la_shoah_mecanismes_d_un_genocide,leden 1942,Konference ve Wannsee (leden 1942),evenementConnexe,"Setkání 15 vysokých nacistických představitelů, kde bylo naplánováno a koordinováno „konečné řešení“: systematické vyhlazování evropských Židů prostřednictvím táborů smrti. Ukázalo se, že genocida byla byrokraticky organizovaným státním rozhodnutím.",short_form
course_37_la_shoah_mecanismes_d_un_genocide,Hannah Arendt,„Banalita zla“ (Hannah Arendt),concept,"Filozofický koncept vzniklý během procesu s Eichmannem: nejhorší zločiny mohou spáchat obyčejní byrokratičtí jednotlivci, kteří „dělají svou práci“, aniž by přemýšleli o morálních důsledcích svých činů.",short_form
course_37_la_shoah_mecanismes_d_un_genocide,„Banalita zla“,„Banalita zla“ (Hannah Arendt),concept,"Filozofický koncept vzniklý během procesu s Eichmannem: nejhorší zločiny mohou spáchat obyčejní byrokratičtí jednotlivci, kteří „dělají svou práci“, aniž by přemýšleli o morálních důsledcích svých činů.",short_form
course_38_le_11_septembre_2001,válka v Iráku,válka v Iráku (2003),evenementConnexe,"Americká invaze na základě nepravdivých informací o zbraních hromadného ničení. Destabilizovala Blízký východ, rozložila irácké státní struktury a vytvořila vakuum, ve kterém vznikl Islámský stát (ISIS).",short_form
course_42_pourquoi_reve_t_on,Rapid Eye Movement,REM spánek (Rapid Eye Movement),concept,"Fáze spánku charakterizovaná rychlými pohyby očí, svalovou paralýzou a intenzivní mozkovou aktivitou blízkou bdělosti. Toto je fáze, ve které se odehrává většina snů a kde je konsolidace paměti nejaktivnější.",short_form
course_45_pourquoi_y_a_t_il_des_saisons,"23,5°","Axiální sklon Země (23,5°)",concept,"Roční období způsobuje náklon zemské osy o 23,5° vzhledem k její orbitální rovině – a nikoli vzdálenost od Slunce. Stejný sklon vždy směřuje k Polárce a střídavě vytváří slunovraty a rovnodennosti.",short_form
course_57_l_invention_d_internet,start Sputniku,start Sputniku (1957),evenementConnexe,"První sovětská umělá družice, její vypuštění vyvolalo ve Spojených státech rázovou vlnu. Tento strach vedl k vytvoření ARPA a nepřímo i ARPANETu – praotce internetu – k udržení decentralizované komunikace v případě jaderného útoku.",short_form
course_59_la_decouverte_de_l_anesthesie,královna,Viktorie (královna),personnage,"Suverénka Spojeného království, jejíž použití chloroformu při jejích porodech v letech 1853 a 1857 pomohlo odstranit náboženská tabu týkající se anestezie.",short_form
course_59_la_decouverte_de_l_anesthesie,Antisepsie,Antisepsie (Semmelweis a Lister),concept,"Již před anestezií zabíjely pooperační infekce pacienty. Semmelweis (1847), pak Lister (1867) zavedl hygienu: mytí rukou, sterilizované nástroje. Tyto dvě revoluce – anestezie a antisepse – transformovaly chirurgii.",short_form
course_60_la_theorie_de_l_evolution_de_darwin_1859,bígl,bígl (HMS),concept,"Loď Royal Navy, která sloužila jako základna pro Charlese Darwina pro jeho vědeckou cestu po světě v letech 1831 až 1836.",short_form
course_63_comment_se_forment_les_tremblements_de_t,seismologie,Andromeda (seismologie),concept,"Název rozsáhlého evropského projektu a sítě senzorů, jejichž cílem je využít stávající podmořskou vláknovou optiku k detekci seismických vibrací na dně oceánu.",short_form
course_66_y_a_t_il_de_la_vie_ailleurs_dans_l_unive,zóna Zlatovlásky,Obyvatelná zóna (zóna Zlatovlásky),concept,"Oblast kolem hvězdy, kde teplota umožňuje existenci vody v kapalné formě na povrchu planety. Ani moc blízko, ani moc daleko – „stejně jako Zlatovláska“. Naše sluneční soustava má tři potenciální planety: Venuši, Zemi, Mars.",short_form
course_71_qu_est_ce_que_l_effet_de_serre_vraiment,skleníkové plyny,skleníkové plyny (GHG),concept,"Plyny, které pohlcují infračervené záření vyzařované Zemí a znovu ho emitují, čímž ohřívají atmosféru. Mezi hlavní patří: vodní pára (přírodní), CO₂, metan (CH₄, 80x silnější než CO₂ za 20 let) a N₂O.",short_form
course_74_pourquoi_certaines_especes_sont_elles_im,nesmrtelná medúza,Turritopsis dohrnii (nesmrtelná medúza),personnage,Drobná medúza schopná vracet se do stádia juvenilních polypů po dospělosti – a začínat znovu na neurčito. Tento proces buněčné transdiferenciace je jedinečný a inspiruje k výzkumu buněčného přeprogramování.,short_form
course_76_pourquoi_les_feuilles_changent_elles_de,separační zóna,separační zóna (abscise),concept,"Vrstva buněk, která se na podzim tvoří na bázi řapíku a blokuje cirkulaci živin. V reakci na zkracování dnů se postupně vyvíjí, dokud nezpůsobí opad listů.",short_form
course_80_pourquoi_les_saisons_existent_sur_d_autr,"97,8°","Axiální sklon Uranu (97,8°)",concept,"Uranova osa leží téměř naplocho na rovině oběžné dráhy. Každý pól dostává přibližně 42 let nepřetržitého slunečního záření, po kterém následuje 42 let úplné tmy – extrémní a velmi dlouhotrvající období, která nemají v naší sluneční soustavě obdoby.",short_form
course_80_pourquoi_les_saisons_existent_sur_d_autr,axiální sklon Uranu,"axiální sklon Uranu (97,8°)",concept,"Uranova osa leží téměř naplocho na rovině oběžné dráhy. Každý pól dostává přibližně 42 let nepřetržitého slunečního záření, po kterém následuje 42 let úplné tmy – extrémní a velmi dlouhotrvající období, která nemají v naší sluneční soustavě obdoby.",short_form
course_82_l_iliade_homere,Mênis  v řecké kultuře,Mênis (hněv) v řecké kultuře,concept,"Achillův hněv není jednoduchá emoce: je to kvazikosmická síla. První slovo Iliady, „Mênis“, oznamuje toto ústřední téma. Tento božský hněv, který vyžaduje nápravu, destabilizuje řád světa.",short_form
course_83_dipe_roi_sophocle,Oidipův komplex,Oidipův komplex (Freud),concept,"Freud si vypůjčil mýtus o Oidipovi, aby pojmenoval nevědomou touhu dítěte po rodiči opačného pohlaví. Tento ústřední psychoanalytický koncept má jen velmi málo společného s reflexí Sofokla, která se zabývala osudem a svobodnou vůlí.",short_form
course_93_le_rouge_et_le_noir_stendhal,1815–1830,Francouzské restaurování (1815–1830),referenceHistorique,"Období, kdy po Waterloo nastoupili na trůn Bourboni. Společnost ovládala šlechta a církev, nepřátelské revolučním hodnotám. Stendhal to viděl jako společnost pokrytectví a provinční průměrnosti.",short_form
course_97_le_mythe_de_sisyphe_camus,"filozofický ""skok""","filozofický ""skok"" (Kierkegaard)",concept,"Camus kritizuje „skok“, který někteří filozofové dělají, když čelí absurditě: skok do víry (Kierkegaard) nebo revoluční naděje (Marx). Tyto „filosofické sebevraždy“ se absurditě vyhýbají, místo aby se s ním upřímně konfrontovaly.",short_form
course_106_frankenstein_mary_shelley,moderní Prometheus,Odpovědnost tvůrce (moderní Prometheus),concept,"Subtitle of the novel: ""The Modern Prometheus"". Victor Frankenstein vytváří něco mimořádného, ​​aniž by přijal důsledky. Skutečné monstrum nemusí být stvoření, ale jeho stvořitel, který ho při narození opustí.",short_form
course_106_frankenstein_mary_shelley,„Rok bez léta“,„Rok bez léta“ (1816),evenementConnexe,"Erupce hory Tambora v roce 1815 vyvrhla popel, který zatemnil globální atmosféru a způsobil mrazivé léto v Evropě v roce 1816. V tomto apokalyptickém kontextu Mary Shelley (18 let) napsala Frankensteina během pobytu na břehu Ženevského jezera.",short_form
course_106_frankenstein_mary_shelley,odpovědnost tvůrce,odpovědnost tvůrce (moderní Prometheus),concept,"Subtitle of the novel: ""The Modern Prometheus"". Victor Frankenstein vytváří něco mimořádného, ​​aniž by přijal důsledky. Skutečné monstrum nemusí být stvoření, ale jeho stvořitel, který ho při narození opustí.",short_form
course_106_frankenstein_mary_shelley,„rok bez léta“,„rok bez léta“ (1816),evenementConnexe,"Erupce hory Tambora v roce 1815 vyvrhla popel, který zatemnil globální atmosféru a způsobil mrazivé léto v Evropě v roce 1816. V tomto apokalyptickém kontextu Mary Shelley (18 let) napsala Frankensteina během pobytu na břehu Ženevského jezera.",short_form
course_109_don_quichotte_cervantes,Bitva u Lepanta  a Cervantesovo zajetí,Bitva u Lepanta (1571) a Cervantesovo zajetí,evenementConnexe,Cervantes bojoval v bitvě u Lepanta a byl zraněn (přišel o levou ruku). V roce 1575 byl zajat piráty a pět let byl zotročený v Alžíru. Tyto zážitky spisovatele ukovaly a živily humor a hloubku románu.,short_form
course_110_les_raisins_de_la_colere_steinbeck,Dust Bowl,Dust Bowl (1930-1936),evenementConnexe,"Zemědělská katastrofa na Velkých pláních způsobená suchem a destruktivními zemědělskými postupy. Prachové bouře zčernaly oblohu až po New York a donutily statisíce rodin (""okies"") migrovat do Kalifornie.",short_form
course_112_le_grand_gatsby_fitzgerald,Prohibice,Prohibice (1920-1933),referenceHistorique,Ústavní zákaz výroby a prodeje alkoholu. Dalo vzniknout organizovanému zločinu a umožnilo mužům jako Gatsby rychle vydělat jmění pašováním – třpytivou fasádou morálně zkažené éry.,short_form
course_128_l_expressionnisme_munch_et_le_cri,"Die Brücke, Der Blaue Reiter","Německý expresionismus (Die Brücke, Der Blaue Reiter)",concept,"Německé umělecké proudy (1905-1920) tlačí expresionismus do extrému: radikální deformace forem, křiklavé barvy, tísnivá témata. Kirchner, Kandinsky, Nolde reagovali na modernizaci a ohlašovali trauma z roku 1914.",short_form
course_128_l_expressionnisme_munch_et_le_cri,Erupce Krakatoa  a rudá obloha,Erupce Krakatoa (1883) a rudá obloha,evenementConnexe,"Katastrofální erupce Krakatoa vyvrhla popel, který celé měsíce zbarvil západy slunce krvavě rudou po celém světě. Munch si ve svém deníku poznamenal, že viděl oblohu „krev a ohně“ – pravděpodobně tento jev.",short_form
course_128_l_expressionnisme_munch_et_le_cri,erupce Krakatoa  a rudé nebe,erupce Krakatoa (1883) a rudé nebe,evenementConnexe,"Katastrofální erupce Krakatoa vyvrhla popel, který celé měsíce zbarvil západy slunce krvavě rudou po celém světě. Munch si ve svém deníku poznamenal, že viděl oblohu „krev a ohně“ – pravděpodobně tento jev.",short_form
course_130_le_pop_art_warhol_et_lichtenstein,aura a mechanická reprodukce,aura a mechanická reprodukce (Walter Benjamin),concept,"Benjamin (1935) analyzoval, jak technická reprodukce ničí „auru“ unikátního díla. Warhol tuto myšlenku radikalizoval: mechanickou reprodukcí populárních obrázků zpochybnil samotný pojem originálu a autora.",short_form
course_132_bob_dylan_et_la_folk_protest,Americký folkový revival,Americký folkový revival (Woody Guthrie),concept,Znovuobjevení tradiční americké hudby městskými umělci v 50. a 60. letech 20. století. Pete Seeger a Woody Guthrie vytvořili z folku soundtrack hnutí pracujících a občanských práv. Dylan byl jeho marnotratným dědicem.,short_form
course_132_bob_dylan_et_la_folk_protest,Americký folk revival,Americký folk revival (Woody Guthrie),concept,Znovuobjevení tradiční americké hudby městskými umělci v 50. a 60. letech 20. století. Pete Seeger a Woody Guthrie vytvořili z folku soundtrack hnutí pracujících a občanských práv. Dylan byl jeho marnotratným dědicem.,short_form
course_143_orson_welles_et_citizen_kane,hluboké zaostření,Hloubka ostrosti (hluboké zaostření),concept,"Kinematografická technika, kde jsou všechny roviny obrazu (popředí, střed, pozadí) současně ostré, což umožňuje komplexní akci v rámci jednoho snímku.",short_form
course_146_hitchcock_et_le_suspense,snímek z pohledu,Subjektivní kamera (snímek z pohledu),concept,"Technika, kdy kamera přebírá úhel pohledu postavy, díky čemuž divák zažije přesně to, co vidí. V Vertigo je Scottieho závratě přenášena technikou oddálení/dolly-in vynalezenou pro film.",short_form
course_147_l_architecture_gothique_les_cathedrales,teologie světla,teologie světla (opat Suger),concept,"Suger se domníval, že božské světlo, vedené přes barevné vitráže, pozvedlo duši k Bohu. Tato „metafyzika světla“ inspirovala gotickou architekturu ve snaze o stále větší okna a stále vyšší oblouky.",short_form
course_148_le_bauhaus,Shutdown by the Nacists,Shutdown by the Nacists (1933),evenementConnexe,"Hitler zavřel Bauhaus v roce 1933, protože považoval jeho estetiku za „zdegenerovanou“. Její učitelé emigrovali do Spojených států (Gropius na Harvard, Mies van der Rohe do Chicaga), kde hluboce ovlivnili americkou architekturu a design.",short_form
course_149_la_joconde,krádež Mony Lisy,krádež Mony Lisy (1911),evenementConnexe,"Vincenzo Peruggia, zaměstnanec Louvru, ukradl Monu Lisu a držel ji ve svém domě ve Florencii dva roky. Tato krádež se dostala na titulky po celém světě a proměnila Monu Lisu, tehdy málo známou široké veřejnosti, na nejslavnější obraz na světě.",short_form
course_152_la_liberte_guidant_le_peuple_delacroix,Červencová revoluce,Červencová revoluce (27.–29. července 1830),evenementConnexe,"Tři revoluční dny, které svrhly krále Karla X., který chtěl potlačit svobodu tisku a omezit volební práva. Na jeho místo nastoupil na ústavní trůn Ludvík Filip I.",short_form
course_162_promethee_le_voleur_de_feu,bratr Prometheus,Epimetheus (bratr Prometheus),personnage,"Jeho jméno znamená „ten, kdo myslí po“. Bez přemýšlení přijal Pandorin dar, který poslal Zeus. Jeho lehkomyslnost vnesla do světa zlo. Dvojice Prometheus-Epimetheus ilustruje protiklad mezi předvídavostí a impulzivitou.",short_form
course_170_meduse_et_persee,Pegas,Pegas (narození),concept,"Když Perseus setne Medusu, z její krve se narodí okřídlený kůň Pegasus. Byl by zajat Bellerophonem s pomocí Athény a umožnil by mu porazit Chimeru. Pegas se stal univerzálním symbolem inspirace Poetics.",short_form
course_173_ulysse_et_le_cyclope,Metis  v řecké kultuře,Metis (mazaný) v řecké kultuře,concept,"Praktická inteligence, mazanost, schopnost zvrátit nepříznivou situaci. Odysseus ztělesňuje metis par excellence – jeho homérský přídomek je „mnoha úskoků“. Je protikladem biē (hrubé síly) ztělesněné Ajaxem.",short_form
course_175_jason_et_la_toison_d_or,dnešní Gruzie,Colchis (dnešní Gruzie),concept,"Oblast východně od Černého moře, popisovaná v řeckých mýtech jako konec východního světa. Pastýři tam používali ovčí rouno k filtrování zlata ze zlatonosných řek Kavkazu – „zlaté rouno“ mohlo být pravé.",short_form
course_176_achille_le_talon_et_l_invulnerabilite,Řecké kleos,Řecké kleos (posmrtná sláva),concept,"Nejvyšší hodnota hrdinské kultury: nesmrtelná sláva získaná válečnými činy a přenášená básníky. Achilles záměrně volí krátký, ale slavný život před dlouhým životem bez slávy - základní volba řecké hrdinské etiky.",short_form
course_179_la_guerre_de_troie_et_le_cheval_de_bois,Trója  a archeologie,Trója (Hisarlik) a archeologie,concept,Schliemann lokalizoval Tróju v roce 1870 v Hisarliku v Turecku. Vykopávky vynesly na světlo devět po sobě jdoucích měst. Trója VIIa (kolem roku 1184 př. n. l.) vykazuje stopy ohně slučitelné s Homérovou zprávou – možná došlo k trojské válce.,short_form
course_179_la_guerre_de_troie_et_le_cheval_de_bois,návrat hrdinů,návrat hrdinů (Nostoi),concept,"Po trojské válce zažívají řečtí hrdinové tragické návraty: Agamemnon je zavražděn, Ajax umírá. Jen Menelaos znovu najde Helenu. Tito „Nostoi“ vytvořili epický cyklus (nyní ztracený), který byl pro staré Řeky stejně důležitý jako Ilias.",short_form
course_184_romulus_et_remus_la_fondation_de_rome,753 př.nl,Ab Urbe Condita (753 př.nl),concept,"Tradiční datum založení Říma, vypočítané Varrem v 1. století před naším letopočtem. Římané počítali roky „od založení města“ (AUC). Toto legendární datum odpovídalo monarchii sedmi římských králů.",short_form
course_186_les_valkyries_et_le_valhalla,Jízda valkýr,Jízda valkýr (Wagner),referenceHistorique,"Richard Wagner zhudebnil severskou mytologii v Der Ring des Nibelungen (1848-1874). „Jízda valkýr“ patří mezi nejznámější díla klasické hudby na světě, často spojovaná s americkou kinematografií.",short_form
course_186_les_valkyries_et_le_valhalla,Ride of the Valkyries,Ride of the Valkyries (Wagner),referenceHistorique,"Richard Wagner zhudebnil severskou mytologii v Der Ring des Nibelungen (1848-1874). „Jízda valkýr“ patří mezi nejznámější díla klasické hudby na světě, často spojovaná s americkou kinematografií.",short_form
course_188_les_titans_vs_les_dieux_titanomachie,Gigantomachy,Gigantomachy (pokračování Titanomachy),concept,"Po Titanomachy museli olympionici čelit obrům (zrozeným z krve Urana), kteří byli téměř neporazitelní. Tato druhá válka bohů předznamenává trvalé napětí mezi olympským řádem a prvotními silami chaosu.",short_form
course_189_dionysos_le_dieu_du_vin_et_de_l_exces,Apollonian a Dionýsian,Apollonian a Dionýsian (Nietzsche),concept,Filosofická opozice mezi řádem/rozumem (Apollo) a chaosem/opilostí (Dionysos) jako hnací síly umělecké tvorby.,short_form
course_189_dionysos_le_dieu_du_vin_et_de_l_exces,Apollonian a Dionysian,Apollonian a Dionysian (Nietzsche),concept,Filosofická opozice mezi řádem/rozumem (Apollo) a chaosem/opojením (Dionysos) jako hnací síly umělecké tvorby.,short_form
course_191_enee_et_la_fondation_de_rome_virgile,válka,Trója (válka),evenementConnexe,Legendární konflikt staví řecké státy proti Trojanům a slouží jako chronologický výchozí bod pro Aeneidu.,short_form
course_194_le_mahabharata,koncept,Bhagavadgíta (koncept),concept,"18 kapitol dialogu mezi Krišnou a Ardžunou tvoří hlavní filozofický text, nezávislý na zbytku eposu. Krišna učí nesobecké jednání (karmajóga), oddanost (bhakti) a poznání (džňána) jako cesty k osvobození.",short_form
course_194_le_mahabharata,Oralita a přenos indických eposů,Oralita a přenos indických eposů (koncept),concept,"Stejně jako Homer byla Mahábhárata původně ústní epos, který si griotové zapamatovali a recitovali. Jeho přepis se protáhl po několik století. Tyto texty se stále recitují a zpívají po celé Indii, stejně živé jako vždy.",short_form
course_195_lancelot_guenievre_et_la_table_ronde,středověká dvorská láska,středověká dvorská láska (fin'amor),concept,"Společenský kodex oslavující tajnou a nepřístupnou lásku rytíře k dámě (často vdané). Lancelot a Guinevere jsou dokonalým příkladem. Tato cizoložná vášeň, destruktivní a přesto vznešená, je jádrem středověké literatury.",short_form
course_197_les_mille_et_une_nuits_sheherazade,rámcový příběh,Vložené příběhy (rámcový příběh),concept,"Narativní technika: příběhy jsou vnořeny do sebe. Převzato z indické tradice, dovedla jej k vrcholu Šeherezáda a ovlivnila Boccaccia, Chaucera, Cervantese, poté Borgese a postmoderní vyprávění.",short_form
course_197_les_mille_et_une_nuits_sheherazade,vnořené příběhy,vnořené příběhy (rámcový příběh),concept,"Narativní technika: příběhy jsou vnořeny do sebe. Převzato z indické tradice, dovedla jej k vrcholu Šeherezáda a ovlivnila Boccaccia, Chaucera, Cervantese, poté Borgese a postmoderní vyprávění.",short_form
course_198_sindbad_le_marin,západní rovnoběžka,Marco Polo (západní rovnoběžka),personnage,Marco Polo (1254-1324) podnikl opačnou cestu Sindibáda: z Benátek do Číny Kublajchána. Jeho příběhy vypadaly stejně báječně jako ty Sindibáda. Kniha zázraků přímo ovlivnila Kolumba v jeho plánech na cestu do Asie.,short_form
course_199_les_titans_vs_les_dieux_la_titanomachie,The Gigantomachy,The Gigantomachy (pokračování Titanomachy),concept,"Po Titanomachy museli olympionici čelit obrům (zrozeným z krve Urana), kteří byli téměř neporazitelní. Tato druhá válka bohů předznamenává trvalé napětí mezi olympským řádem a prvotními silami chaosu.",short_form
course_199_les_titans_vs_les_dieux_la_titanomachie,Gigantomachy,Gigantomachy (pokračování Titanomachy),concept,"Po Titanomachy museli olympionici čelit obrům (zrozeným z krve Urana), kteří byli téměř neporazitelní. Tato druhá válka bohů předznamenává trvalé napětí mezi olympským řádem a prvotními silami chaosu.",short_form
course_203_les_tensions_autour_de_taiwan,Taiwan Semiconductor Manufacturing Company,TSMC (Taiwan Semiconductor Manufacturing Company),concept,"Tchajwanský výrobce vyrábí asi 92 % nejmodernějších čipů na světě. Tato globální závislost vysvětluje, proč by čínská invaze způsobila globální ekonomickou katastrofu – tchajwanský „křemíkový štít“.",short_form
course_204_le_concept_de_monde_multipolaire,"""Unipolární moment""","""Unipolární moment"" (Krauthammer)",concept,"Krauthammer popsal (1990) éru po studené válce jako „unipolární okamžik“ se Spojenými státy jako jedinou supervelmocí. Předpověděl, že to bude trvat 30 až 40 let – přesná předpověď, protože „unipolární moment“ skončil kolem roku 2008-2010.",short_form
