id,Titre,Description,Cours
g_mpzqlws4_382sp,Sfide ecologiche del XXI secolo,Comprendere le sfide climatiche e le soluzioni per preservare il nostro pianeta.,L'innalzamento del livello del mare | Le migrazioni climatiche | La transizione energetica | Perché le api sono vitali? | L'economia circolare | L'acqua: prossima fonte di conflitti? | Il buco nell'ozono (e la sua guarigione)
g_mpzqlws4_4xiac,Le distopie letterarie,Quando la letteratura immagina il peggiore dei mondi per interrogare meglio il nostro presente.,"1984, George Orwell | Il mondo nuovo, Aldous Huxley | Fahrenheit 451, Bradbury | La fattoria degli animali, George Orwell | Il processo, Kafka | I GAFAM: potere e derive | La disinformazione e le fake news"
g_mpzqlws4_5kxjr,Le svolte della Guerra mondiale,Immergetevi nel cuore degli scontri decisivi che hanno segnato la metà del XX secolo.,La Blitzkrieg (1940) | La battaglia di Stalingrado (1942-1943) | Hiroshima e Nagasaki (1945) | La Shoah: meccanismi di un genocidio | Il processo di Norimberga (1945-1946)
g_mpzqlws4_6mt1o,I segreti del cervello umano,"Esplorate i meccanismi affascinanti della memoria, del sonno e della coscienza.",Perché sogniamo? | Come funziona la memoria? | Perché dormiamo? | Perché sbadigliamo? | In che modo il cervello immagazzina i ricordi? | Come funziona l'elettricità nel nostro corpo?
g_mpzqlws4_7r1yy,Storia del settimo arte,I grandi registi e i movimenti che hanno rivoluzionato l'immagine animata.,Charlie Chaplin e il cinema muto | Orson Welles e Quarto potere | Hitchcock e la suspense | La Nouvelle Vague francese | Kubrick: 2001: Odissea nello spazio
g_mpzqlws4_8liwv,L'epopea di Ulisse,Seguite il percorso dell'eroe di Itaca attraverso i miti e i testi fondatori.,"Odissea, Omero | Ulisse e il Ciclope | Ulisse e le Sirene | Iliade, Omero"
g_mpzqlws4_9zcsy,Comprendere la geopolitica attuale,Le chiavi per decifrare i rapporti di forza e le tensioni del mondo moderno.,La rivalità Cina-Stati Uniti | La guerra in Ucraina spiegata | La Russia di Putin | Le tensioni intorno a Taiwan | Il concetto di mondo «multipolare»
g_mpzqlws4_afvtk,Grandi nomi del Teatro,Dalla tragedia greca drammatica ai drammi shakespeariani.,"La tragedia greca e il teatro antico | Il teatro di Shakespeare | Amleto, Shakespeare | Edipo Re, Sofocle | Antigone, Sofocle"
g_mpzqlws4_bonja,L'era del digitale,Dall'invenzione di Internet alle derive dei social network e dell'IA.,L'invenzione di Internet | I GAFAM: potere e derive | L'IA e l'occupazione | Il divario digitale globale
g_mpzqlws4_cuig5,Splendori del Medioevo,"Tra castelli, cattedrali e grandi epidemie: l'Europa medievale.",L'incoronazione di Carlo Magno (800) | L'architettura gotica: le cattedrali | La Peste nera in Europa (1347-1353) | Giovanna d'Arco e la Guerra dei cent'anni (1429) | L'appello di Urbano II e la 1ª Crociata (1095)
g_mpzqlws4_dtp66,Progresso e Medicina,Come la scienza ha imparato a curare il corpo umano e a combattere i virus.,"La scoperta della penicillina (Fleming, 1928) | Come funziona un vaccino? | La scoperta dell'anestesia | La scoperta dei raggi X (Röntgen, 1895) | Come fa il sapone a uccidere i virus?"
g_mpzqlws4_exr09,I maestri della musica,"Dal rigore di Bach alla furia di Beethoven, l'evoluzione dell'armonia.",Bach e la musica barocca | Mozart: bambino prodigio e vita tragica | Beethoven: genio e sordità | L'opera di Verdi | La nascita della musica elettronica
g_mpzqlws4_fit77,Lotte per la libertà,I movimenti civili e le figure che hanno spezzato le catene dell'oppressione.,Rosa Parks e Montgomery (1955) | L'apartheid e Mandela (1948-1994) | La Comune di Parigi (1871) | La decolonizzazione: panorama (1945-1975) | La presa della Bastiglia (1789)
g_mpzqlws4_gcstj,Introduzione alla filosofia,"I grandi interrogativi sullo Stato, la morale e la condizione umana.","L'Apologia di Socrate, Platone | La Repubblica, Platone | Il Simposio, Platone | Il mito di Sisifo, Camus | Candido, Voltaire"
g_mpzqlws4_hlrmk,Ai confini dell'Universo,Un viaggio dalla nascita del cosmo ai misteri dei buchi neri.,Il Big Bang | Cos'è un buco nero? | Cos'è la materia oscura? | C'è vita altrove nell'Universo? | La teoria della relatività per tutti
g_mpzqlws4_ikf6h,Gli ingranaggi dell'economia mondiale,"Comprendere i flussi di capitali, le crisi e le nuove forme di lavoro.","La Grande Depressione (1929) | I paradisi fiscali spiegati | Il debito globale | L'economia di piattaforma (Uber, Airbnb...) | Il petrolio come fonte di conflitti"
g_mpzqlws4_jwtrk,Fenomeni naturali spiegati,Scopri la scienza che si cela dietro le manifestazioni del nostro pianeta.,Perché i vulcani eruttano? | Come si formano i terremoti? | Come si formano i fulmini? | Perché esistono le stagioni? | La fotosintesi spiegata in modo semplice
