id,Nom,Rareté,Cours
g_mpzyw5pq_u83z2,Aristotele,Epica,"Edipo Re, Sofocle | La Poetica, Aristotele"
g_mpzyw5pq_vihiv,Esiodo,Comune,"Le opere e i giorni, Esiodo"
g_mpzyw5pq_wbro4,Euripide,Comune,"Medea, Euripide"
g_mpzyw5pq_xb49q,Medea,Comune,"Medea, Euripide"
g_mpzyw5pq_yw77m,Victor Hugo,Epica,"I miserabili, Victor Hugo"
g_mpzyw5pq_zacl3,Jean Valjean,Comune,"I miserabili, Victor Hugo"
g_mpzyw5pq_10cpy6,Gustave Flaubert,Epica,"Madame Bovary, Flaubert"
g_mpzyw5pq_11k4kx,Emma Bovary,Comune,"Madame Bovary, Flaubert"
g_mpzyw5pq_12wag1,Stendhal,Comune,"Il rosso e il nero, Stendhal"
g_mpzyw5pq_13jcyt,Julien Sorel,Comune,"Il rosso e il nero, Stendhal"
g_mpzyw5pq_14frbd,Voltaire,Epica,"Candido, Voltaire"
g_mpzyw5pq_15wczf,Jean-Jacques Rousseau,Epica,"Le confessioni, Rousseau"
g_mpzyw5pq_164vl6,Albert Camus,Epica,"L'étranger (Lo straniero), Camus | Il mito di Sisifo, Camus"
g_mpzyw5pq_1783r1,Meursault,Comune,"L'étranger (Lo straniero), Camus"
g_mpzyw5pq_18gljr,Marcel Proust,Epica,"Alla ricerca del tempo perduto, Proust"
g_mpzyw5pq_19hly1,Honoré de Balzac,Epica,"Papà Goriot, Balzac"
g_mpzyw5pq_1aryty,Papà Goriot,Comune,"Papà Goriot, Balzac"
g_mpzyw5pq_1bsk51,Charles Baudelaire,Epica,"I Fiori del Male, Baudelaire"
g_mpzyw5pq_1cieb3,George Orwell,Epica,"1984, George Orwell | La fattoria degli animali, George Orwell"
g_mpzyw5pq_1dncjb,Big Brother,Comune,"1984, George Orwell"
g_mpzyw5pq_1e6aud,William Shakespeare,Epica,"Amleto, Shakespeare | Romeo e Giulietta, Shakespeare | Il teatro di Shakespeare"
g_mpzyw5pq_1fwap9,Amleto,Comune,"Amleto, Shakespeare"
g_mpzyw5pq_1g0t6k,Romeo,Comune,"Romeo e Giulietta, Shakespeare"
g_mpzyw5pq_1hr893,Giulietta,Comune,"Romeo e Giulietta, Shakespeare"
g_mpzyw5pq_1ircss,Aldous Huxley,Comune,"Il mondo nuovo, Aldous Huxley"
g_mpzyw5pq_1jgt08,Mary Shelley,Comune,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1kk26z,Victor Frankenstein,Comune,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1l5owy,Fëdor Dostoevskij,Epica,"Delitto e castigo, Dostoevskij"
g_mpzyw5pq_1mgfv7,Franz Kafka,Epica,"Il processo, Kafka | La metamorfosi, Kafka"
g_mpzyw5pq_1nuijl,Josef K.,Comune,"Il processo, Kafka"
g_mpzyw5pq_1ony8e,Miguel de Cervantes,Epica,"Don Chisciotte, Cervantes"
g_mpzyw5pq_1p2dxy,Don Chisciotte,Epica,"Don Chisciotte, Cervantes"
g_mpzyw5pq_1q1855,John Steinbeck,Comune,"Furore, Steinbeck"
g_mpzyw5pq_1r214f,Harper Lee,Comune,"Il buio oltre la siepe, Harper Lee"
g_mpzyw5pq_1s15gd,F. Scott Fitzgerald,Comune,"Il grande Gatsby, Fitzgerald"
g_mpzyw5pq_1tdl2f,Jay Gatsby,Comune,"Il grande Gatsby, Fitzgerald"
g_mpzyw5pq_1ujxuw,J.R.R. Tolkien,Epica,"Il Signore degli Anelli, Tolkien"
g_mpzyw5pq_1v8zp8,Ray Bradbury,Comune,"Fahrenheit 451, Bradbury"
g_mpzyw5pq_1wq2t4,Gabriel García Márquez,Comune,"Cent'anni di solitudine, García Márquez"
g_mpzyw5pq_1x2is5,Gregor Samsa,Comune,"La metamorfosi, Kafka"
g_mpzyw5pq_1ywoml,Michail Bulgakov,Comune,"Il Maestro e Margherita, Bulgakov"
g_mpzyw5pq_1zt86w,Herman Melville,Comune,"Moby Dick, Melville"
g_mpzyw5pq_208lh7,Antoine de Saint-Exupéry,Epica,"Il Piccolo Principe, Saint-Exupéry"
g_mpzyw5pq_21ibna,Il Piccolo Principe,Rara,"Il Piccolo Principe, Saint-Exupéry"
g_mpzyw5pq_22rdie,Paulo Coelho,Comune,"L'Alchimista, Paulo Coelho"
g_mpzyw5pq_23r9qk,Claude Monet,Rara,"La nascita dell'impressionismo | Impressione, levar del sole, Monet"
g_mpzyw5pq_24kuff,Caravaggio,Comune,Caravaggio e il chiaroscuro
g_mpzyw5pq_25p4or,Rembrandt,Rara,Rembrandt e la scuola fiamminga
g_mpzyw5pq_26sr6p,Delacroix,Comune,"Il romanticismo in pittura (Delacroix, Géricault) | La Libertà che guida il popolo, Delacroix"
g_mpzyw5pq_27yl4z,Géricault,Comune,"Il romanticismo in pittura (Delacroix, Géricault)"
g_mpzyw5pq_28ndlh,Pablo Picasso,Rara,"Il cubismo: Picasso e Braque | Guernica, Picasso | Les Demoiselles d'Avignon, Picasso"
g_mpzyw5pq_29g3v9,Georges Braque,Comune,Il cubismo: Picasso e Braque
g_mpzyw5pq_2aen6y,Salvador Dalí,Rara,"Il surrealismo: Dalí e Magritte | La persistenza della memoria, Dalí"
g_mpzyw5pq_2bvl75,René Magritte,Comune,Il surrealismo: Dalí e Magritte
g_mpzyw5pq_2cno65,Edvard Munch,Comune,L'espressionismo: Munch e L'urlo
g_mpzyw5pq_2dowsp,Wassily Kandinsky,Comune,L'arte astratta: Kandinsky e Mondrian
g_mpzyw5pq_2e9f4f,Piet Mondrian,Comune,L'arte astratta: Kandinsky e Mondrian
g_mpzyw5pq_2flyhe,Andy Warhol,Rara,La Pop Art: Warhol e Lichtenstein
g_mpzyw5pq_2g1nqn,Roy Lichtenstein,Comune,La Pop Art: Warhol e Lichtenstein
g_mpzyw5pq_2hwava,Bob Dylan,Rara,Bob Dylan e il folk di protesta
g_mpzyw5pq_2irvrj,Giuseppe Verdi,Comune,L'opera di Verdi
g_mpzyw5pq_2jbnzj,Wolfgang Amadeus Mozart,Rara,Mozart: bambino prodigio e vita tragica
g_mpzyw5pq_2k3jnf,Ludwig van Beethoven,Rara,Beethoven: genio e sordità
g_mpzyw5pq_2lm8xi,Johann Sebastian Bach,Rara,Bach e la musica barocca
g_mpzyw5pq_2mopkr,Charlie Chaplin,Rara,Charlie Chaplin e il cinema muto
g_mpzyw5pq_2ngk9s,Orson Welles,Comune,Orson Welles e Quarto potere
g_mpzyw5pq_2ooou3,Stanley Kubrick,Comune,Kubrick: 2001: Odissea nello spazio
g_mpzyw5pq_2pdkn8,Alfred Hitchcock,Rara,Hitchcock e la suspense
g_mpzyw5pq_2q0zwi,Leonardo da Vinci,Rara,La Gioconda
g_mpzyw5pq_2rb4ua,Vincent Van Gogh,Rara,"Notte stellata, Van Gogh"
g_mpzyw5pq_2sgxy6,Michelangelo,Rara,"La Creazione di Adamo, Michelangelo"
g_mpzyw5pq_2tuyyf,Edward Hopper,Comune,"I nighthawks, Hopper"
g_mpzyw5pq_2u2262,Zeus,Rara,Pandora e il vaso | I Titani contro gli Dei (Titanomachia)
g_mpzyw5pq_2ve1ko,Prometeo,Comune,Prometeo: il ladro di fuoco
g_mpzyw5pq_2wker6,Pandora,Comune,Pandora e il vaso
g_mpzyw5pq_2xvfg9,Demetra,Comune,Demetra e Persefone (le stagioni)
g_mpzyw5pq_2y8oag,Persefone,Comune,Demetra e Persefone (le stagioni)
g_mpzyw5pq_2zid7i,Orfeo,Comune,Orfeo ed Euridice
g_mpzyw5pq_306uzt,Narciso,Comune,Narciso ed Eco
g_mpzyw5pq_31xp2u,Icaro,Comune,Icaro e Dedalo
g_mpzyw5pq_322s83,Sisifo,Comune,"Il mito di Sisifo, Camus | Sisifo: punizione eterna"
g_mpzyw5pq_33k5d2,Tantalo,Comune,Tantalo e il suo supplizio
g_mpzyw5pq_348stm,Medusa,Comune,Medusa e Perseo
g_mpzyw5pq_350sh9,Ercole,Rara,Ercole e le sue 12 fatiche
g_mpzyw5pq_36i31c,Teseo,Comune,Teseo e il Minotauro
g_mpzyw5pq_37f9ct,Giasone,Comune,Giasone e il Vello d'Oro
g_mpzyw5pq_38ftpe,Achille,Comune,Achille: il tallone e l'invulnerabilità
g_mpzyw5pq_39pbrr,Thor,Rara,Thor e Loki (mitologia nordica)
g_mpzyw5pq_3ai3i6,Loki,Comune,Thor e Loki (mitologia nordica)
g_mpzyw5pq_3bvoe4,Osiride,Comune,Osiride e Set (mitologia egizia)
g_mpzyw5pq_3ctx3u,Gilgamesh,Comune,Gilgamesh: il primo eroe della storia
g_mpzyw5pq_3dhjhk,Romolo,Comune,Romolo e Remo: la fondazione di Roma
g_mpzyw5pq_3ekptk,Remo,Comune,Romolo e Remo: la fondazione di Roma
g_mpzyw5pq_3fvao3,Odino,Comune,Le Valchirie e il Valhalla
g_mpzyw5pq_3go8r8,Dioniso,Comune,Dioniso: il dio del vino e dell'eccesso
g_mpzyw5pq_3hcarf,Enea,Comune,Enea e la fondazione di Roma (Virgilio)
g_mpzyw5pq_3ib4ze,Quetzalcoatl,Comune,Quetzalcoatl
g_mpzyw5pq_3jybz6,Lancillotto,Comune,"Lancillotto, Ginevra e la Tavola Rotonda"
g_mpzyw5pq_3krbi6,Merlino,Rara,Merlino l'Incantatore
g_mpzyw5pq_3ln0h0,Sharāzād,Comune,Le mille e una notte (Sherazade)
g_mpzyw5pq_3md901,Sindbad il marinaio,Comune,Sindbad il marinaio
g_mpzyw5pq_3nfhpx,Vladimir Putin,Rara,La Russia di Putin
