Nom du cours,Classification,Terme,Explication
La chute de Constantinople (1453),Événement connexe,Le sac de Constantinople par la 4e Croisade (1204),"Les croisés, détournés par Venise, pillèrent Constantinople chrétienne pendant trois jours en 1204. Ce traumatisme affaiblit durablement Byzance et explique la méfiance byzantine envers l'Occident lors du siège de 1453."
La chute de Constantinople (1453),Référence historique,La diaspora grecque et la Renaissance,"Les savants grecs fuyant Constantinople emportèrent leurs manuscrits en Italie, contribuant décisivement à la Renaissance. La chute de Byzance accéléra paradoxalement le renouveau intellectuel de l'Occident."
La chute de Constantinople (1453),Concept,Le droit byzantin et l'héritage romain,"Constantinople avait conservé et transmis le droit romain, la philosophie grecque et la théologie chrétienne pendant mille ans. Sa chute mit fin à cette continuité vivante entre Antiquité et monde moderne."
L'empire aztèque,Concept,La cosmogonie des Cinq Soleils,"Mythe aztèque : l'univers a déjà été créé et détruit quatre fois. Le cinquième soleil actuel n'est maintenu en vie que par les sacrifices humains. Cette cosmologie rendait les sacrifices cosmiquement nécessaires - sans eux, le soleil s'arrêterait."
L'empire aztèque,Concept,Les chinampas,«Jardins flottants» créés dans le lac Texcoco : îles artificielles de boue et végétaux permettant une agriculture très productive. Tenochtitlán était entourée d'un réseau de canaux et de terres cultivées qui nourrissaient 200 000 habitants.
L'empire aztèque,Lieu / institution,Tenochtitlán et Mexico City,"Capitale aztèque fondée en 1325 sur un îlot du lac Texcoco, là où se trouve aujourd'hui Mexico City. C'était l'une des plus grandes villes du monde en 1519, avec un réseau sophistiqué d'aqueducs et de canaux."
La découverte de l'Amérique (1492),Évènement,La Reconquista espagnole (1492),Le triomphe de la prise de Grenade libéra des ressources et créa un élan d'ambition nationale qui explique le soutien d'Isabelle de Castille à Colomb.
La découverte de l'Amérique (1492),Personnage,Amerigo Vespucci,Navigateur florentin qui comprit que les terres découvertes étaient un continent inconnu. Le continent fut baptisé en son honneur en 1507.
La découverte de l'Amérique (1492),Évènement,Le traité de Tordesillas (1494),Accord arbitré par le pape partageant le monde en deux sphères d'influence entre l'Espagne (ouest) et le Portugal (est).
La prise de la Bastille (1789),Concept,L'Ancien Régime et les trois ordres,"Société française divisée en trois états : Clergé (1er), Noblesse (2e) et Tiers État (97% de la population, 3e). Aux États Généraux, chaque ordre ne disposait que d'une voix sur trois, malgré la représentativité démographique écrasante du Tiers."
La prise de la Bastille (1789),Concept,La lettre de cachet,"Ordre royal d'emprisonnement sans procès ni explication, signé par le roi. La Bastille symbolisait cet arbitraire royal, même si en juillet 1789 elle ne contenait que 7 prisonniers - sa valeur était purement symbolique."
La stratégie de Napoléon à Ulm (1805),Concept,Le corps d'armée napoléonien,"Unité militaire autonome de 15 000 à 30 000 hommes comprenant toutes les armes, capable de combattre seule plusieurs jours. Cette innovation organisationnelle permettait la rapidité de manœuvre qui fit la force de Napoléon."
La stratégie de Napoléon à Ulm (1805),Événement connexe,La bataille de Trafalgar (21 octobre 1805),"Victoire navale décisive de Nelson sur la flotte franco-espagnole, la semaine même d'Ulm. Elle mit fin aux projets d'invasion de l'Angleterre et explique pourquoi Napoléon ne put jamais vaincre la puissance maritime britannique."
La stratégie de Napoléon à Ulm (1805),Concept,Le blocus continental,"Politique économique napoléonienne (1806) interdisant tout commerce européen avec l'Angleterre, pour la ruiner économiquement. Son application imparfaite contraignit Napoléon à envahir la péninsule ibérique puis la Russie."
La bataille de Waterloo (1815),Événement connexe,Le Congrès de Vienne (1814-1815),"Réunion des puissances européennes pour reconstruire l'ordre post-napoléonien. Il redessina la carte de l'Europe, restaura les monarchies et créa le «Concert européen» qui maintint une paix relative pendant presque un siècle."
La bataille de Waterloo (1815),Concept,La Sainte-Alliance,"Pacte signé en 1815 entre Russie, Autriche et Prusse pour défendre les principes monarchiques contre les idées révolutionnaires. Elle fut l'instrument de répression des soulèvements libéraux des années 1820-1830."
La bataille de Waterloo (1815),Personnage,Le maréchal Ney,"Surnommé «le brave des braves», il dirigea la cavalerie française à Waterloo. Sa charge désastreuse contre les carrés britanniques, lancée trop tôt sans soutien d'artillerie, fut l'une des erreurs tactiques fatales de la journée."
La Commune de Paris (1871),Événement connexe,La guerre franco-prussienne (1870-1871),"Conflit déclenché par Napoléon III, terminé par la défaite écrasante de Sedan et la capture de l'Empereur. La capitulation humiliante et le siège de Paris créèrent le terreau de la Commune."
La Commune de Paris (1871),Personnage,Adolphe Thiers,"Chef du gouvernement provisoire de Versailles qui ordonna l'écrasement de la Commune lors de la «Semaine sanglante» (21-28 mai 1871). Ancien journaliste et historien, premier président de la IIIe République."
La Commune de Paris (1871),Lieu / institution,L'Internationale ouvrière (1re Internationale),"Organisation fondée à Londres en 1864, regroupant syndicats et partis ouvriers de plusieurs pays. Bien que la Commune ne fût pas son œuvre directe, Marx la célébra comme première expérience de pouvoir ouvrier."
La Belle Époque (1871-1914),Événement connexe,L'affaire Dreyfus (1894-1906),"Un officier juif, Alfred Dreyfus, fut condamné à tort pour espionnage par un état-major antisémite. L'affaire déchira la France entre dreyfusards et antidreyfusards, révélant les tensions profondes de la société française."
La Belle Époque (1871-1914),Événement connexe,La Conférence de Berlin (1884-1885),"Réunion des puissances européennes pour régler le partage de l'Afrique sans guerre entre elles. En quelques décennies, l'Europe colonisa 90% du continent africain, traçant des frontières arbitraires qui causent encore des conflits."
La Belle Époque (1871-1914),Concept,Le positivisme d'Auguste Comte,"Philosophie selon laquelle la science résoudra tous les problèmes humains. Doctrine dominante de la Belle Époque, elle explique l'optimisme de cette période et son ébranlissement brutal par la guerre de 1914."
La bataille de Verdun (1916),Événement connexe,La bataille de la Somme (1916),Offensive franco-britannique lancée le 1er juillet 1916 pour soulager Verdun. Elle causa 60 000 pertes britanniques le premier jour seul - le jour le plus meurtrier de l'histoire militaire britannique.
La bataille de Verdun (1916),Concept,La guerre de tranchées,"Depuis 1914, le front occidental s'était stabilisé en un réseau de tranchées de la Mer du Nord à la Suisse. Cette guerre de position explique pourquoi des batailles comme Verdun se livraient dans quelques kilomètres carrés pendant des mois."
La bataille de Verdun (1916),Concept,L'artillerie lourde de la Grande Guerre,"L'artillerie représentait 60-70% des pertes de la Première Guerre mondiale. Les progrès techniques depuis 1870 avaient rendu les armes offensives bien plus puissantes que les défenses, créant l'impasse des tranchées."
La Révolution russe (1917),Personnage,Raspoutine,Moine guérisseur sibérien qui gagna l'influence de la tsarine Alexandra en soulageant les crises hémophiles du tsarévitch Alexis. Ses ingérences politiques présumées et son image scandaleuse discréditèrent profondément la cour impériale.
La Révolution russe (1917),Concept,Le marxisme-léninisme,"Idéologie combinant les théories économiques de Marx (lutte des classes, exploitation du prolétariat) et les innovations tactiques de Lénine (parti d'avant-garde discipliné, révolution organisée). C'est l'idéologie des bolcheviks qui prirent le pouvoir en octobre 1917."
La Révolution russe (1917),Concept,Le Soviet de Petrograd,"Conseil de délégués d'ouvriers et de soldats, élu dans les usines et casernes. En 1917, il contrôlait réellement les rues et l'armée, créant une «double pouvoir» instable face au gouvernement provisoire légal."
La Grande Dépression (1929),Concept,L'étalon-or (Gold Standard),"Système monétaire où les monnaies étaient convertibles en or à taux fixe, limitant la capacité des États à créer de la monnaie. Il propagea mécaniquement la crise américaine au monde entier : quand les États-Unis réduisirent leur masse monétaire, tous les pays liés à l'or en souffrirent."
La Grande Dépression (1929),Événement connexe,Le New Deal de Roosevelt (1933),"Ensemble de programmes américains mêlant relance économique (grands travaux), réforme financière (FDIC, SEC) et protection sociale. Il ne mit pas fin à la crise mais créa les bases de l'État-Providence américain."
La Grande Dépression (1929),Concept,L'achat d'actions sur marge,"Pratique consistant à emprunter à sa banque pour acheter des actions en misant sur leur hausse. Très répandue dans les années 1920, elle amplifia la bulle et, lors du krach, contraignit des millions d'Américains à vendre en urgence pour rembourser leurs prêts."
La bataille de Stalingrad (1942-1943),Événement connexe,L'opération Barbarossa (22 juin 1941),L'invasion de l'URSS par l'Allemagne : 3 millions de soldats sur un front de 3 000 km - la plus grande opération militaire de l'histoire. L'échec à prendre Moscou en 1941 força Hitler à recentrer son effort vers le sud et le pétrole du Caucase en 1942.
La bataille de Stalingrad (1942-1943),Personnage,Friedrich Paulus,"Commandant de la 6e armée allemande encerclée. Hitler le fit feld-maréchal le 30 janvier 1943 pour l'inciter à mourir plutôt que se rendre. Paulus capitula le lendemain, devenant le premier feld-maréchal allemand à être capturé vivant."
La bataille de Stalingrad (1942-1943),Concept,L'opération Uranus,"Contre-offensive soviétique (19 novembre 1942) qui encercla les 300 000 soldats de la 6e armée en une pince géante. Planifiée par Joukov et Vasilevski, elle transforma la défense acharnée de Stalingrad en victoire stratégique décisive."
Hiroshima et Nagasaki (1945),Concept,La fission nucléaire,"Réaction par laquelle le noyau d'un atome lourd (uranium 235, plutonium 239) se divise en libérant une énergie colossale et de nouveaux neutrons déclenchant une réaction en chaîne. C'est le principe de la bombe atomique."
Hiroshima et Nagasaki (1945),Événement connexe,L'entrée en guerre de l'URSS contre le Japon (9 août 1945),"Staline déclara la guerre au Japon exactement le jour de la bombe de Nagasaki, envahissant la Mandchourie. Certains historiens estiment que cette menace soviétique fut aussi déterminante que les bombes dans la décision de capitulation japonaise."
Hiroshima et Nagasaki (1945),Concept,La maladie des rayons (syndrome aigu d'irradiation),"Syndrome causé par l'exposition aux radiations : nausées, perte de cheveux, hémorragies internes, défaillance immunitaire. Des dizaines de milliers de survivants moururent dans les semaines suivantes de cette maladie encore inconnue des médecins."
Rosa Parks et Montgomery (1955),Lieu / institution,La NAACP,"National Association for the Advancement of Colored People, fondée en 1909 pour défendre les droits civiques par des moyens légaux. Rosa Parks en était une militante active et avait suivi des formations à la désobéissance civile bien avant son geste célèbre."
Rosa Parks et Montgomery (1955),Concept,Les lois Jim Crow,"Ensemble de lois d'État instaurant la ségrégation raciale dans le Sud américain après 1877. Leur nom vient d'un personnage stéréotypé de minstrel show. Elles organisaient une séparation totale dans les écoles, transports, hôpitaux et tous les espaces publics."
Rosa Parks et Montgomery (1955),Événement connexe,Brown v. Board of Education (1954),Arrêt de la Cour suprême américaine déclarant la ségrégation dans les écoles publiques inconstitutionnelle. Cette décision donna un élan juridique au mouvement des droits civiques et explique pourquoi Montgomery fut ensuite également contestée devant les tribunaux.
La crise des missiles de Cuba (1962),Concept,La destruction mutuelle assurée (MAD),Doctrine nucléaire selon laquelle ni les États-Unis ni l'URSS ne pourraient survivre à une guerre nucléaire. Cette logique de terreur équilibrée dissuadait chacun d'attaquer et structure toute la dynamique de la crise de Cuba.
La crise des missiles de Cuba (1962),Événement connexe,La Baie des Cochons (avril 1961),"Tentative ratée d'invasion de Cuba par des exilés cubains entraînés par la CIA. L'échec humiliant fragilisa Kennedy, encouragea Khrouchtchev à prendre des risques et renforça Castro, créant les conditions de la crise de 1962."
La crise des missiles de Cuba (1962),Référence historique,Les missiles Jupiter en Turquie,"Missiles nucléaires américains installés en Turquie en 1961, à portée de l'URSS. L'accord secret final incluait leur retrait discret - concession que Kennedy tint secrète pendant des décennies pour ne pas sembler céder au chantage soviétique."
La guerre d'Algérie (1954-1962),Concept,Le statut de département français,Organisation administrative qui faisait de l'Algérie une fraction du territoire national et non une colonie.
La guerre d'Algérie (1954-1962),Événement connexe,Le putsch des généraux (avril 1961),"Tentative de coup d'État par quatre généraux opposés à l'indépendance. De Gaulle l'écrasa en quatre jours grâce à un discours radiophonique. Elle fut suivie par la création de l'OAS, organisation terroriste pro-Algérie française."
La guerre d'Algérie (1954-1962),Référence historique,Les pieds-noirs,"Surnom des colons d'origine européenne installés en Algérie. Près d'un million d'entre eux ont dû quitter le pays en 1962 dans des conditions traumatisantes, abandonnant leurs foyers sous la menace 'la valise ou le cercueil'."
La bataille de Dien Bien Phu (1954),Concept,La guerre de guérilla,Stratégie de harcèlement utilisant le terrain et le soutien populaire pour épuiser une armée techniquement supérieure.
La bataille de Dien Bien Phu (1954),Événement connexe,Les accords de Genève (juillet 1954),Traités mettant fin à la guerre d'Indochine et divisant provisoirement le Vietnam au 17e parallèle.
La bataille de Dien Bien Phu (1954),Personnage,Le général Võ Nguyên Giáp,"Général en chef du Viet-Minh, ancien professeur d'histoire autodidacte en stratégie. Son génie fut de faire transporter à dos d'homme et de vélo des dizaines de canons lourds sur les collines dominant Dien Bien Phu - exploit logistique considéré impossible."
Le génocide arménien (1915-1916),Référence historique,Les Jeunes-Turcs (Comité Union et Progrès),"Mouvement nationaliste turc qui renversa le sultan Abdul Hamid II en 1908. Le triumvirat Enver-Talaat-Cemal, nationalistes extrémistes, organisa le génocide dans le contexte de la guerre, dans un projet de «Turquie ethniquement pure»."
Le génocide arménien (1915-1916),Événement connexe,Les massacres hamidiens (1894-1896),"Première vague de massacres d'Arméniens sous le sultan Abdul Hamid II, faisant entre 100 000 et 300 000 morts. Ce précédent non sanctionné montra aux futures autorités ottomanes que de tels crimes pouvaient rester impunis."
Le génocide arménien (1915-1916),Concept,La définition juridique du génocide,"Le terme «génocide» fut inventé par le juriste Raphael Lemkin en 1944 précisément en pensant aux Arméniens. La Convention de l'ONU (1948) le définit comme l'intention de détruire «en tout ou en partie» un groupe national, ethnique, racial ou religieux."
La création de l'ONU (1945),Événement connexe,La conférence de Yalta (février 1945),"Réunion entre Roosevelt, Churchill et Staline posant les bases de l'ordre mondial d'après-guerre : partage de l'Europe en zones d'influence, conditions de l'entrée soviétique contre le Japon, structure de l'ONU à créer."
La création de l'ONU (1945),Concept,Le droit de veto au Conseil de sécurité,Chacun des 5 membres permanents peut bloquer toute résolution du Conseil par un simple vote «non». Ce mécanisme a paralysé le Conseil pendant la Guerre froide et continue avec la Russie et la Chine sur de nombreuses crises contemporaines.
La création de l'ONU (1945),Lieu / institution,La Cour internationale de justice (CIJ),"Organe judiciaire de l'ONU basé à La Haye, qui règle les différends entre États. Contrairement à la CPI (qui juge des individus), elle juge des États. Ses décisions sont contraignantes mais elle n'a pas de mécanisme d'exécution."
La naissance de l'UE : de la CECA à Maastricht,Concept,La réconciliation franco-allemande,"Processus pacifiant les relations entre la France et l'Allemagne après 1945, devenant le principal moteur de la construction européenne via la CECA et le traité de l'Élysée."
La naissance de l'UE : de la CECA à Maastricht,Événement connexe,Le traité de Maastricht (1992),Traité fondateur de l'UE créant la citoyenneté européenne et lançant le processus de l'euro ainsi qu'une politique étrangère commune.
La naissance de l'UE : de la CECA à Maastricht,Concept,Les quatre libertés du marché commun,"Libre circulation des marchandises, des personnes, des services et des capitaux - fondements du marché commun du traité de Rome. Elles représentent l'intégration économique la plus poussée jamais réalisée entre États souverains."
Le génocide rwandais (1994),Événement connexe,Les accords d'Arusha (août 1993),"Accord de paix entre le gouvernement hutu et le FPR (Front Patriotique Rwandais). Les extrémistes hutus, refusant tout partage du pouvoir, organisèrent le génocide pour l'empêcher d'être mis en œuvre."
Le génocide rwandais (1994),Lieu / institution,La MINUAR et le général Dallaire,"La Mission de l'ONU commandée par le général canadien Roméo Dallaire avait 2 500 soldats sur place. Dallaire avertit l'ONU dès janvier 1994 d'un génocide imminent, mais se vit interdire d'agir. Son inaction est aujourd'hui considérée comme une faute historique."
Le génocide rwandais (1994),Référence historique,La Radio des Mille Collines (RTLM),"Radio extrémiste hutu qui, pendant le génocide, diffusait en direct la liste des personnes à tuer et appelait à l'extermination des Tutsis, qualifiés de «cancrelats». Elle constitua un outil majeur de coordination des massacres."
La chute du mur de Berlin (1989),Concept,La Glasnost et la Perestroïka,"Réformes de Gorbatchev à partir de 1986 : la glasnost (transparence) autorisait la critique du régime soviétique, la perestroïka (restructuration) tentait de réformer l'économie. Elles déstabilisèrent involontairement tout le bloc soviétique."
La chute du mur de Berlin (1989),Événement connexe,Le Printemps de Prague (août 1968),"Réforme libérale du communisme en Tchécoslovaquie, écrasée par l'invasion des chars soviétiques. La décision de Gorbatchev de ne pas répéter cette intervention en 1989 fut donc historiquement révolutionnaire."
La chute du mur de Berlin (1989),Personnage,Erich Honecker,"Secrétaire général de la RDA depuis 1971, il avait déclaré que le Mur durerait «encore 50 ou 100 ans». Remplacé le 18 octobre 1989, juste avant la chute du Mur, il mourut en exil au Chili en 1994."
La Blitzkrieg (1940),Référence historique,La ligne Maginot,"Ligne de fortifications construite par la France dans les années 1930 le long de la frontière franco-allemande. La Blitzkrieg la contourna par les Ardennes belges, supposées impraticables pour les chars - rendant la Maginot totalement inutile."
La Blitzkrieg (1940),Concept,Le plan Sichelschnitt (coup de faucille),"Plan du général von Manstein : concentrer les blindés dans les Ardennes pour percer au centre et atteindre la Manche, encerclant les armées franco-britanniques engagées en Belgique. Audacieux et risqué, ce plan fut un succès total."
La Blitzkrieg (1940),Événement connexe,L'opération Dynamo (Dunkerque),"Évacuation maritime de 338 000 soldats franco-britanniques encerclés à Dunkerque par une flottille improvisée de navires militaires et civils. Ce «miracle» permit à la Grande-Bretagne de poursuivre la guerre, mais laissa la France sans armée."
Le plan Marshall (1947-1952),Concept,La doctrine Truman,Discours de Truman (mars 1947) affirmant que les États-Unis soutiendraient tout peuple résistant à la «soumission par des pressions extérieures». Il marqua le début officiel de la Guerre froide et la politique d'endiguement du communisme.
Le plan Marshall (1947-1952),Événement connexe,Le Kominform (1947),"Organisation internationale communiste créée par Staline en response au plan Marshall, pour coordonner les partis communistes européens. Il força la Tchécoslovaquie et la Pologne, qui avaient accepté l'aide Marshall, à la refuser."
Le plan Marshall (1947-1952),Concept,Le Wirtschaftswunder allemand,"«Miracle économique» de l'Allemagne de l'Ouest : entre 1950 et 1960, son PIB tripla, passant d'une économie en ruines à la première puissance économique européenne. En partie financé par le plan Marshall et favorisé par la réforme monétaire de 1948."
La guerre du Vietnam (1955-1975),Concept,La théorie des dominos,"Théorie de la politique étrangère américaine selon laquelle si un pays devenait communiste, ses voisins tomberaient l'un après l'autre. Elle justifiait l'engagement au Vietnam pour «arrêter la progression communiste en Asie du Sud-Est»."
La guerre du Vietnam (1955-1975),Personnage,Ho Chi Minh,"Leader nationaliste et communiste, fondateur du Viet-Minh (1941), premier président du Vietnam du Nord. Sa légitimité populaire comme libérateur contre les Japonais puis les Français lui donna un avantage politique que les États-Unis ne purent jamais égaler."
Le procès de Nuremberg (1945-1946),Concept,Les crimes contre l'humanité,"Catégorie juridique inventée à Nuremberg pour désigner les persécutions et exterminations de civils. Contrairement aux crimes de guerre, ils s'appliquent même en temps de paix et ne se prescrivent pas. Nuremberg les distingua pour la première fois."
Le procès de Nuremberg (1945-1946),Concept,La responsabilité individuelle en droit international,Principe établi à Nuremberg : les individus peuvent être jugés pour des crimes internationaux même s'ils agissaient au nom d'un État. «Obéir aux ordres» n'est pas une défense recevable - principe fondateur du droit pénal international.
Le procès de Nuremberg (1945-1946),Lieu / institution,La Cour pénale internationale (CPI),"Héritière des principes de Nuremberg, créée en 2002 par le Statut de Rome pour juger génocides, crimes contre l'humanité et crimes de guerre. 124 pays l'ont ratifiée, mais pas les États-Unis, la Russie ni la Chine."
La décolonisation : panorama (1945-1975),Concept,La Charte de l'Atlantique (1941),"Déclaration Roosevelt-Churchill affirmant le droit des peuples à l'autodétermination, servant de levier moral aux indépendantistes."
La décolonisation : panorama (1945-1975),Événement connexe,La conférence de Bandung (1955),"Première réunion des pays d'Asie et d'Afrique indépendants (29 nations), affirmant les principes de non-alignement et d'anticolonialisme. Elle marqua la naissance du «Tiers-Monde» comme force politique internationale."
La décolonisation : panorama (1945-1975),Concept,Le néocolonialisme,Maintien d'une influence économique et politique par les anciennes métropoles sur leurs ex-colonies via la finance et les ressources.
L'apartheid et Mandela (1948-1994),Concept,Les bantoustans,«Homelands» auxquels les Noirs étaient assignés selon leur groupe ethnique sous l'apartheid. Ces territoires non viables représentaient 13% du territoire sud-africain pour 80% de la population - une ségrégation géographique totale.
L'apartheid et Mandela (1948-1994),Événement connexe,Le massacre de Sharpeville (mars 1960),"La police ouvrit le feu sur une manifestation pacifique contre les lois de laissez-passer, tuant 69 personnes. Le choc mondial provoqua l'interdiction de l'ANC et poussa Mandela à créer le bras armé de la résistance."
L'apartheid et Mandela (1948-1994),Concept,La Commission Vérité et Réconciliation (CVR),"Instituée après 1994, elle permettait aux auteurs de crimes d'apartheid d'obtenir l'amnistie en échange d'une confession publique complète. Présidée par Desmond Tutu, elle choisit la réconciliation nationale plutôt que les procès."
La Révolution culturelle en Chine (1966-1976),Concept,Le Grand Bond en Avant (1958-1962),Programme de collectivisation forcée lancé par Mao qui causa la plus grande famine de l'history humaine : entre 15 et 55 millions de morts. Son échec explique la mise à l'écart politique de Mao et son besoin de reprendre le contrôle via la Révolution culturelle.
La Révolution culturelle en Chine (1966-1976),Concept,Les Gardes rouges,"Jeunesses révolutionnaires mobilisées par Mao pour attaquer les «quatre vieilleries». Ils humilièrent des millions de professeurs, médecins, intellectuels et cadres du Parti lors de séances publiques de critique et d'auto-confession forcée."
La Révolution culturelle en Chine (1966-1976),Personnage,Deng Xiaoping,"Deux fois purgé pendant la Révolution culturelle, il devint le véritable dirigeant de la Chine après la mort de Mao (1976) et le père des réformes économiques. Son pragmatisme transforma la Chine en puissance mondiale."
La Shoah : mécanismes d'un génocide,Événement connexe,La conférence de Wannsee (janvier 1942),Réunion de 15 hauts fonctionnaires nazis où fut planifiée et coordonnée la «Solution finale» : l'extermination systématique des Juifs d'Europe par les camps de la mort. Elle montrait que le génocide était une décision d'État organisée bureaucratiquement.
La Shoah : mécanismes d'un génocide,Concept,Les Einsatzgruppen,"Unités mobiles d'extermination de la SS qui suivirent l'armée lors de l'invasion de l'URSS. Ils fusillèrent environ 1,5 million de Juifs soviétiques. La tuerie de Babi Yar (33 771 morts en deux jours) en est l'exemple le plus connu."
La Shoah : mécanismes d'un génocide,Concept,La «banalité du mal» (Hannah Arendt),Concept de la philosophe développé lors du procès Eichmann : les pires crimes peuvent être commis par des individus ordinaires et bureaucratiques qui «font leur travail» sans réfléchir aux conséquences morales de leurs actes.
Le 11 septembre 2001,Référence historique,La guerre soviéto-afghane (1979-1989),"Les États-Unis armèrent les moudjahidines afghans pour combattre les Soviétiques. Ces réseaux islamistes, notamment celui de Ben Laden, formés et financés pendant la Guerre froide, devinrent ensuite Al-Qaïda."
Le 11 septembre 2001,Lieu / institution,Al-Qaïda,Organisation terroriste fondée par Oussama Ben Laden en 1988 pour combattre les Soviétiques en Afghanistan. Sa vision : une guerre globale contre l'Occident et les régimes arabes corrompus soutenus par lui. Le 11 septembre fut sa plus grande opération.
Le 11 septembre 2001,Événement connexe,La guerre d'Irak (2003),"Invasion américaine fondée sur de fausses informations sur des armes de destruction massive. Elle déstabilisa le Moyen-Orient, démantela les structures étatiques irakiennes et créa le vide dans lequel émergea l'État islamique (Daech)."
