id,Nom,Rareté,Cours
k_7gxrm1gvknwx,John Maynard Keynes,Rare,The Great Depression (1929)
k_ioq088lbknwx,Suleiman the Magnificent,Legendary,The Fall of Constantinople (1453)
k_v9vm9jyxknwx,Jean Monnet,Rare,The birth of the EU: from the ECSC to Maastricht
k_sl825i0xjnyk,David Ben-Gurion,Rare,The birth of the Israeli-Palestinian conflict
k_x9i4i5v6jnyk,Hades,Rare,Demeter and Persephone (the seasons)
k_gs97msdzjnyk,Louis Pasteur,Legendary,How does soap kill viruses?
k_r9y0tpcyjnyk,Robert Schuman,Rare,The birth of the EU: from the ECSC to Maastricht
k_t61ypzg3jnyk,Grigori Rasputin,Rare,The Russian Revolution (1917)
k_zoykdaxwjnyk,Julius Caesar,Legendary,Aeneas and the founding of Rome (Virgil)
k_2999c25zjnyk,Alexander the Great,Legendary,Greek tragedy and ancient theater
k_tgqvnd1zjnyk,Martin Luther King Jr.,Legendary,Rosa Parks and Montgomery (1955)
k_kbt6e5mdjnyk,Mark Antony,Rare,Aeneas and the founding of Rome (Virgil)
k_8lkhkiwienj7,Enrico Fermi,Rare,Hiroshima and Nagasaki (1945)
k_b7w32ewnenj7,Saladin,Rare,Urban II's call and the 1st Crusade (1095)
k_pnlz2a6genj7,Xi Jinping,Legendary,The China–United States rivalry | China and its economic model
k_yprjq5fmenj7,Volodymyr Zelenskyy,Legendary,The war in Ukraine explained
k_7r4t75noenj7,Theodor Herzl,Common,The birth of the Israeli-Palestinian conflict
k_8jzmh570enj7,Queen Victoria,Legendary,The Belle Époque (1871-1914)
k_sbt7ehtqenj7,Nikita Khrushchev,Rare,The Cuban Missile Crisis (1962)
k_4eeh4oxtenj6,Fidel Castro,Legendary,The Cuban Missile Crisis (1962)
k_rbd56821enj6,Leon Trotsky,Rare,The Russian Revolution (1917)
k_pdaexjgvenj6,Nicholas II,Rare,The Russian Revolution (1917)
k_qlckfgbienj6,Louis XVI,Legendary,The Storming of the Bastille (1789)
k_g7gf1nppenj6,Sancho Panza,Rare,"Don Quixote, Cervantes"
k_ensj0jgwenj6,Gavroche,Rare,"Les Misérables, Victor Hugo | Liberty Leading the People, Delacroix"
k_wz5uunkmenj6,Javert,Rare,"Les Misérables, Victor Hugo"
k_vdzoatm8enj6,Cosette,Rare,"Les Misérables, Victor Hugo"
k_hri0022nenj6,Pangloss,Common,"Candide, Voltaire"
k_u05rcmh9enj6,Guy Montag,Rare,"Fahrenheit 451, Bradbury"
k_ggzgmrkzenj6,Gandalf,Legendary,"The Lord of the Rings, Tolkien"
k_dnh7i0ovenj6,Frodo Baggins,Legendary,"The Lord of the Rings, Tolkien"
k_6l9ew771enj6,Atticus Finch,Rare,"To Kill a Mockingbird, Harper Lee"
k_7giotpwuenj6,Raskolnikov,Rare,"Crime and Punishment, Dostoevsky"
k_kvy4lo3senj6,Mustapha Mond,Common,"Brave New World, Aldous Huxley"
k_3e098262enj6,Winston Smith,Rare,"1984, George Orwell"
k_jk4921seenj6,Captain Ahab,Rare,"Moby Dick, Melville"
k_y54bytr8enj6,Virgil,Common,Aeneas and the founding of Rome (Virgil)
k_06kqqaslenj6,Sphinx,Common,Oedipus and the Sphinx
k_0ztgkna6enj6,Creon,Common,"Antigone, Sophocles | Antigone: family duty vs. state law"
k_nzl2a2rxenj6,Penelope,Common,"The Odyssey, Homer"
k_94wafcfpenj6,Helen of Troy,Common,The Trojan War and the wooden horse
k_blexv5vmenj6,Paris,Common,The Trojan War and the wooden horse
k_uiuto3qfenj6,Hector,Common,"The Iliad, Homer | The Trojan War and the wooden horse"
k_zutx4z59enj6,Polyphemus,Common,Odysseus and the Cyclops
k_y3l7j485enj6,Eurydice,Common,Orpheus and Eurydice
k_9tivxzmienj6,Cronus,Common,"The birth of the Greek gods (Cronus, Zeus, Olympus) | The Titans vs the Gods (Titanomachy)"
k_c4e0tg9acm0y,Pericles,Common,Athenian democracy
k_511bjpy9cm0y,Abraham Lincoln,Legendary,The American Civil War (1861-1865)
k_3g79sg21cm0y,Guinevere,Common,"Lancelot, Guinevere and the Round Table"
k_cdwysl61cm0y,Shiva,Legendary,Vishnu and Shiva (Hindu mythology)
k_qd0899ytcm0y,Vishnu,Legendary,Vishnu and Shiva (Hindu mythology)
k_axk6yms8cm0y,Set,Common,Osiris and Set (Egyptian mythology)
k_8dmkzdlkcm0y,Minotaur,Common,Theseus and the Minotaur
k_j2vx29w3cm0y,Hephaestus,Common,Pandora and the box | Prometheus: the thief of fire
k_tgyj8vbvcm0y,Perseus,Common,Medusa and Perseus
k_oyjt0lq6cm0y,Daedalus,Common,Icarus and Daedalus
k_y8oqgtp2cm0y,Moctezuma II,Common,The Aztec Empire
k_3imy57g7cm0y,Robert Oppenheimer,Common,Hiroshima and Nagasaki (1945)
k_iupi7oa1cm0y,Lenin,Legendary,The Russian Revolution (1917)
k_vbbosp6jcm0y,Mehmed II,Common,The Fall of Constantinople (1453)
k_xzvwjrl8cm0y,Constantine XI,Common,The Fall of Constantinople (1453)
k_5xlg998yzjjr,Mikhail Gorbachev,Epic,The fall of the Berlin Wall (1989) | The Chernobyl disaster (1986)
k_adut669nzjjr,John F. Kennedy,Epic,The Cuban Missile Crisis (1962)
k_xnb909ztzjjr,Ho Chi Minh,Common,The Battle of Dien Bien Phu (1954) | Decolonization: an overview (1945-1975)
k_676gqpy1zjjr,Harry S. Truman,Common,Hiroshima and Nagasaki (1945) | The Marshall Plan (1947-1952)
k_8ti7fz02zjjr,Charles de Gaulle,Epic,The Blitzkrieg (1940) | Decolonization: an overview (1945-1975) | The Algerian War (1954-1962)
g_mpzyw5pq_1qf3l,Urban II,Common,Urban II's call and the 1st Crusade (1095)
g_mpzyw5pq_2nw7n,Alaric,Common,The Sack of Rome by the Visigoths (410)
g_mpzyw5pq_3tcd9,Charlemagne,Epic,The coronation of Charlemagne (800)
g_mpzyw5pq_45zh4,Leo III,Common,The coronation of Charlemagne (800)
g_mpzyw5pq_5vji0,"John, King of England",Common,The Magna Carta (1215)
g_mpzyw5pq_6k4jo,Joan of Arc,Epic,Joan of Arc and the Hundred Years' War (1429)
g_mpzyw5pq_7voeu,Christopher Columbus,Epic,The Discovery of America (1492)
g_mpzyw5pq_8f3k9,Napoleon Bonaparte,Epic,"Napoleon's strategy at Ulm (1805) | The Battle of Waterloo (1815) | The Red and the Black, Stendhal"
g_mpzyw5pq_9ua1p,Duke of Wellington,Common,The Battle of Waterloo (1815)
g_mpzyw5pq_a0yhn,Marshal Blücher,Common,The Battle of Waterloo (1815)
g_mpzyw5pq_bnz9p,Rosa Parks,Common,Rosa Parks and Montgomery (1955)
g_mpzyw5pq_coto2,George Marshall,Common,The Marshall Plan (1947-1952)
g_mpzyw5pq_d5dug,Nelson Mandela,Epic,Apartheid and Mandela (1948-1994)
g_mpzyw5pq_eebm6,Mao Zedong,Epic,The Cultural Revolution in China (1966-1976)
g_mpzyw5pq_f5cv8,Alexander Fleming,Common,"The discovery of penicillin (Fleming, 1928)"
g_mpzyw5pq_g6uj4,Wilhelm Röntgen,Common,"The discovery of X-rays (Röntgen, 1895)"
g_mpzyw5pq_hfud3,Isaac Newton,Epic,"The theory of gravitation (Newton, 1687) | The theory of relativity for everyone"
g_mpzyw5pq_ihh74,Marie Curie,Epic,The discovery of radioactivity (Marie Curie)
g_mpzyw5pq_jlyf3,James Watson,Common,"The structure of DNA (Watson & Crick, 1953)"
g_mpzyw5pq_k2vzh,Francis Crick,Common,"The structure of DNA (Watson & Crick, 1953)"
g_mpzyw5pq_l550l,Charles Darwin,Epic,Darwin's theory of evolution (1859)
g_mpzyw5pq_ms1zg,Albert Einstein,Epic,What is a black hole? | The theory of relativity for everyone
g_mpzyw5pq_ne1ty,Homer,Epic,"The Odyssey, Homer | The Iliad, Homer | Works and Days, Hesiod | The Trojan War and the wooden horse"
g_mpzyw5pq_o9a0x,Odysseus,Epic,"The Odyssey, Homer | Odysseus and the Cyclops | Odysseus and the Sirens"
g_mpzyw5pq_p5hdr,Sophocles,Common,"Oedipus Rex, Sophocles | Antigone, Sophocles | Antigone: family duty vs. state law"
g_mpzyw5pq_q9t83,Oedipus,Common,"Oedipus Rex, Sophocles | Oedipus and the Sphinx | Antigone: family duty vs. state law"
g_mpzyw5pq_r47o7,Antigone,Common,"Antigone, Sophocles | Antigone: family duty vs. state law"
g_mpzyw5pq_s24ac,Plato,Epic,"The Symposium, Plato | The Republic, Plato | The Apology of Socrates, Plato"
g_mpzyw5pq_te9vw,Socrates,Epic,"The Republic, Plato | The Apology of Socrates, Plato"
g_mpzyw5pq_u83z2,Aristotle,Epic,"Oedipus Rex, Sophocles | Poetics, Aristotle"
g_mpzyw5pq_vihiv,Hesiod,Common,"Works and Days, Hesiod"
g_mpzyw5pq_wbro4,Euripides,Common,"Medea, Euripides"
g_mpzyw5pq_xb49q,Medea,Common,"Medea, Euripides"
g_mpzyw5pq_yw77m,Victor Hugo,Epic,"Les Misérables, Victor Hugo"
g_mpzyw5pq_zacl3,Jean Valjean,Common,"Les Misérables, Victor Hugo"
g_mpzyw5pq_10cpy6,Gustave Flaubert,Epic,"Madame Bovary, Flaubert"
g_mpzyw5pq_11k4kx,Emma Bovary,Common,"Madame Bovary, Flaubert"
g_mpzyw5pq_12wag1,Stendhal,Common,"The Red and the Black, Stendhal"
g_mpzyw5pq_13jcyt,Julien Sorel,Common,"The Red and the Black, Stendhal"
g_mpzyw5pq_14frbd,Voltaire,Epic,"Candide, Voltaire"
g_mpzyw5pq_15wczf,Jean-Jacques Rousseau,Epic,"The Confessions, Rousseau"
g_mpzyw5pq_164vl6,Albert Camus,Epic,"The Stranger, Camus | The Myth of Sisyphus, Camus"
g_mpzyw5pq_1783r1,Meursault,Common,"The Stranger, Camus"
g_mpzyw5pq_18gljr,Marcel Proust,Epic,"In Search of Lost Time, Proust"
g_mpzyw5pq_19hly1,Honoré de Balzac,Epic,"Le Père Goriot, Balzac"
g_mpzyw5pq_1aryty,Le Père Goriot,Common,"Le Père Goriot, Balzac"
g_mpzyw5pq_1bsk51,Charles Baudelaire,Epic,"Les Fleurs du Mal, Baudelaire"
g_mpzyw5pq_1cieb3,George Orwell,Epic,"1984, George Orwell | Animal Farm, George Orwell"
g_mpzyw5pq_1dncjb,Big Brother,Common,"1984, George Orwell"
g_mpzyw5pq_1e6aud,William Shakespeare,Epic,"Hamlet, Shakespeare | Romeo and Juliet, Shakespeare | The theater of Shakespeare"
g_mpzyw5pq_1fwap9,Hamlet,Common,"Hamlet, Shakespeare"
g_mpzyw5pq_1g0t6k,Romeo,Common,"Romeo and Juliet, Shakespeare"
g_mpzyw5pq_1hr893,Juliet,Common,"Romeo and Juliet, Shakespeare"
g_mpzyw5pq_1ircss,Aldous Huxley,Common,"Brave New World, Aldous Huxley"
g_mpzyw5pq_1jgt08,Mary Shelley,Common,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1kk26z,Victor Frankenstein,Common,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1l5owy,Fyodor Dostoevsky,Epic,"Crime and Punishment, Dostoevsky"
g_mpzyw5pq_1mgfv7,Franz Kafka,Epic,"The Trial, Kafka | The Metamorphosis, Kafka"
g_mpzyw5pq_1nuijl,Josef K.,Common,"The Trial, Kafka"
g_mpzyw5pq_1ony8e,Miguel de Cervantes,Epic,"Don Quixote, Cervantes"
g_mpzyw5pq_1p2dxy,Don Quixote,Epic,"Don Quixote, Cervantes"
g_mpzyw5pq_1q1855,John Steinbeck,Common,"The Grapes of Wrath, Steinbeck"
g_mpzyw5pq_1r214f,Harper Lee,Common,"To Kill a Mockingbird, Harper Lee"
g_mpzyw5pq_1s15gd,F. Scott Fitzgerald,Common,"The Great Gatsby, Fitzgerald"
g_mpzyw5pq_1tdl2f,Jay Gatsby,Common,"The Great Gatsby, Fitzgerald"
g_mpzyw5pq_1ujxuw,J.R.R. Tolkien,Epic,"The Lord of the Rings, Tolkien"
g_mpzyw5pq_1v8zp8,Ray Bradbury,Common,"Fahrenheit 451, Bradbury"
g_mpzyw5pq_1wq2t4,Gabriel García Márquez,Common,"One Hundred Years of Solitude, García Márquez"
g_mpzyw5pq_1x2is5,Gregor Samsa,Common,"The Metamorphosis, Kafka"
g_mpzyw5pq_1ywoml,Mikhail Bulgakov,Common,"The Master and Margarita, Bulgakov"
g_mpzyw5pq_1zt86w,Herman Melville,Common,"Moby Dick, Melville"
g_mpzyw5pq_208lh7,Antoine de Saint-Exupéry,Epic,"The Little Prince, Saint-Exupéry"
g_mpzyw5pq_21ibna,The Little Prince,Rare,"The Little Prince, Saint-Exupéry"
g_mpzyw5pq_22rdie,Paulo Coelho,Common,"The Alchemist, Paulo Coelho"
g_mpzyw5pq_23r9qk,Claude Monet,Rare,"The birth of Impressionism | Impression, Sunrise, Monet"
g_mpzyw5pq_24kuff,Caravaggio,Common,Caravaggio and chiaroscuro
g_mpzyw5pq_25p4or,Rembrandt,Rare,Rembrandt and the Flemish school
g_mpzyw5pq_26sr6p,Delacroix,Common,"Romanticism in painting [Delacroix, Géricault] | Liberty Leading the People, Delacroix"
g_mpzyw5pq_27yl4z,Géricault,Common,"Romanticism in painting [Delacroix, Géricault]"
g_mpzyw5pq_28ndlh,Pablo Picasso,Rare,"Cubism: Picasso and Braque | Guernica, Picasso | Les Demoiselles d'Avignon, Picasso"
g_mpzyw5pq_29g3v9,Georges Braque,Common,Cubism: Picasso and Braque
g_mpzyw5pq_2aen6y,Salvador Dalí,Rare,"Surrealism: Dalí and Magritte | The Persistence of Memory, Dalí"
g_mpzyw5pq_2bvl75,René Magritte,Common,Surrealism: Dalí and Magritte
g_mpzyw5pq_2cno65,Edvard Munch,Common,Expressionism: Munch and The Scream
g_mpzyw5pq_2dowsp,Wassily Kandinsky,Common,Abstract Art: Kandinsky and Mondrian
g_mpzyw5pq_2e9f4f,Piet Mondrian,Common,Abstract Art: Kandinsky and Mondrian
g_mpzyw5pq_2flyhe,Andy Warhol,Rare,Pop Art: Warhol and Lichtenstein
g_mpzyw5pq_2g1nqn,Roy Lichtenstein,Common,Pop Art: Warhol and Lichtenstein
g_mpzyw5pq_2hwava,Bob Dylan,Rare,Bob Dylan and protest folk
g_mpzyw5pq_2irvrj,Giuseppe Verdi,Common,Verdi's opera
g_mpzyw5pq_2jbnzj,Wolfgang Amadeus Mozart,Rare,Mozart: child prodigy and tragic life
g_mpzyw5pq_2k3jnf,Ludwig van Beethoven,Rare,Beethoven: genius and deafness
g_mpzyw5pq_2lm8xi,Johann Sebastian Bach,Rare,Bach and Baroque music
g_mpzyw5pq_2mopkr,Charlie Chaplin,Rare,Charlie Chaplin and silent cinema
g_mpzyw5pq_2ngk9s,Orson Welles,Common,Orson Welles and Citizen Kane
g_mpzyw5pq_2ooou3,Stanley Kubrick,Common,Kubrick: 2001: A Space Odyssey
g_mpzyw5pq_2pdkn8,Alfred Hitchcock,Rare,Hitchcock and suspense
g_mpzyw5pq_2q0zwi,Leonardo da Vinci,Rare,The Mona Lisa
g_mpzyw5pq_2rb4ua,Vincent Van Gogh,Rare,"The Starry Night, Van Gogh"
g_mpzyw5pq_2sgxy6,Michelangelo,Rare,"The Creation of Adam, Michelangelo"
g_mpzyw5pq_2tuyyf,Edward Hopper,Common,"Nighthawks, Hopper"
g_mpzyw5pq_2u2262,Zeus,Rare,Pandora and the box | The Titans vs the Gods (Titanomachy)
g_mpzyw5pq_2ve1ko,Prometheus,Common,Prometheus: the thief of fire
g_mpzyw5pq_2wker6,Pandora,Common,Pandora and the box
g_mpzyw5pq_2xvfg9,Demeter,Common,Demeter and Persephone (the seasons)
g_mpzyw5pq_2y8oag,Persephone,Common,Demeter and Persephone (the seasons)
g_mpzyw5pq_2zid7i,Orpheus,Common,Orpheus and Eurydice
g_mpzyw5pq_306uzt,Narcissus,Common,Narcissus and Echo
g_mpzyw5pq_31xp2u,Icarus,Common,Icarus and Daedalus
g_mpzyw5pq_322s83,Sisyphus,Common,"The Myth of Sisyphus, Camus | Sisyphus: eternal punishment"
g_mpzyw5pq_33k5d2,Tantalus,Common,Tantalus and his torment
g_mpzyw5pq_348stm,Medusa,Common,Medusa and Perseus
g_mpzyw5pq_350sh9,Hercules,Rare,Hercules and his 12 labors
g_mpzyw5pq_36i31c,Theseus,Common,Theseus and the Minotaur
g_mpzyw5pq_37f9ct,Jason,Common,Jason and the Golden Fleece
g_mpzyw5pq_38ftpe,Achilles,Common,Achilles: the heel and invulnerability
g_mpzyw5pq_39pbrr,Thor,Rare,Thor and Loki (Norse mythology)
g_mpzyw5pq_3ai3i6,Loki,Common,Thor and Loki (Norse mythology)
g_mpzyw5pq_3bvoe4,Osiris,Common,Osiris and Set (Egyptian mythology)
g_mpzyw5pq_3ctx3u,Gilgamesh,Common,Gilgamesh: history's first hero
g_mpzyw5pq_3dhjhk,Romulus,Common,Romulus and Remus: the founding of Rome
g_mpzyw5pq_3ekptk,Remus,Common,Romulus and Remus: the founding of Rome
g_mpzyw5pq_3fvao3,Odin,Common,The Valkyries and Valhalla
g_mpzyw5pq_3go8r8,Dionysus,Common,Dionysus: the god of wine and excess
g_mpzyw5pq_3hcarf,Aeneas,Common,Aeneas and the founding of Rome (Virgil)
g_mpzyw5pq_3ib4ze,Quetzalcoatl,Common,Quetzalcoatl
g_mpzyw5pq_3jybz6,Lancelot,Common,"Lancelot, Guinevere and the Round Table"
g_mpzyw5pq_3krbi6,Merlin,Rare,Merlin the Enchanter
g_mpzyw5pq_3ln0h0,Scheherazade,Common,One Thousand and One Nights (Scheherazade)
g_mpzyw5pq_3md901,Sinbad the Sailor,Common,Sinbad the Sailor
g_mpzyw5pq_3nfhpx,Vladimir Putin,Rare,Putin's Russia
