Nom du cours,Classification,Terme,Explication
The Italian Renaissance,Concept,Renaissance humanism,"An intellectual Movement centering reflection on the human being, drawing inspiration from rediscovered Greek and Roman texts. Humanists (Petrarch, Erasmus) valued liberal education, human dignity, and the development of individual faculties."
The Italian Renaissance,Concept,Linear perspective in painting,"A Technique developed by Brunelleschi around 1415: parallel lines converge toward a vanishing point, creating an illusion of depth on a flat surface. This revolution in gaze radically distinguishes Renaissance painting from medieval Art."
The birth of Impressionism,Concept,The official Paris Salon,"Annual exhibition of the Academy of Fine Arts, the only showcase for art in France in the 19th century. Being rejected meant commercial invisibility."
The birth of Impressionism,Concept,Paint tubes and the plein air,"The invention of metal paint tubes (1841) allowed painters to work outdoors. Without the tubes, paint oxidized quickly. This banal Technique innovation was a material condition for the impressionist revolution."
Caravaggio and chiaroscuro,Concept,Baroque painting,"17th-century artistic style characterized by Movement, dramatic contrast, theatricality, and a strong emotional charge aiming to impress the viewer."
Caravaggio and chiaroscuro,Figure,Artemisia Gentileschi,"Major Italian painter (1593-1656), follower of Caravaggism, famous for her scenes of strength and female vengeance with striking realism."
Rembrandt and the Flemish school,Concept,The Dutch Golden Age,"In the 17th century, the United Provinces became the world's leading commercial power. This prosperity created a wealthy Protestant middle class that wanted portraits, genre scenes, and landscapes - a market that allowed Rembrandt and Vermeer to exist."
Rembrandt and the Flemish school,Concept,Rembrandt's bankruptcy (1656),"Rembrandt went bankrupt at the height of his reputation, after spending lavishly on Art collections. His possessions were sold at auction. This ruin forced him to paint under the names of his wife Hendrickje and his son Titus."
Cubism: Picasso and Braque,Concept,African and Oceanic art as influence,Picasso's discovery of African masks around 1906-1907 was a revelation: an art that did not seek to imitate reality but to provide a symbolic and structural representation of it. Decisive for the Demoiselles d'Avignon.
Cubism: Picasso and Braque,Concept,Collage (papiers collés),"Innovation of synthetic Cubism (1912): Braque and Picasso pasted pieces of newspapers and wallpaper into their paintings. By integrating fragments of reality into the work of art, they blurred the boundary between representation and reality."
Surrealism: Dalí and Magritte,Concept,Freudian psychoanalysis as a source,"Surrealism was directly inspired by Freud: the unconscious as a reservoir of repressed images, dreams as the royal road to the unconscious, free association. André Breton had met Freud in 1921 and wanted to liberate the unconscious in art."
Surrealism: Dalí and Magritte,Concept,Automatic writing,"Surrealist Technique: writing or painting without conscious control, letting the flow of the unconscious express itself directly. Breton used it as a Poetics tool. Dalí developed his own pictorial variant with the paranoiac-critical method."
Expressionism: Munch and The Scream,Concept,"German Expressionism (Die Brücke, Der Blaue Reiter)","German artistic movements (1905-1920) pushing expressionism to the extreme: radical deformation of forms, garish colors, distressing themes. Kirchner, Kandinsky, Nolde were reacting to modernization and foreshadowing the trauma of 1914."
Expressionism: Munch and The Scream,Related event,The eruption of Krakatoa (1883) and the red sky,"The catastrophic eruption of Krakatoa projected ash that colored sunsets blood-red around the World for months. Munch noted in his diary having seen a sky of ""blood and fire"" — likely this phenomenon."
Abstract Art: Kandinsky and Mondrian,Concept,The Bauhaus and the art-industry synthesis,School of Art and design founded in Weimar in 1919 which attempted to reconcile the major arts and applied arts. Kandinsky and Klee taught there. Its minimalist and functional aesthetic is omnipresent in contemporary design.
Abstract Art: Kandinsky and Mondrian,Concept,Mondrian's Neoplasticism (De Stijl),"Dutch movement founded in 1917: reducing art to its purest elements - horizontal and vertical lines, primary colors, white and black. Mondrian sought a universal visual language beyond any specific culture."
Pop Art: Warhol and Lichtenstein,Concept,American consumer society of the 1950s-60s,"After the war, the American economy produced unprecedented abundance. Advertising and mass media created a culture of standardized images that Pop Art used as artistic material, questioning the boundary between art and product."
Pop Art: Warhol and Lichtenstein,Concept,The aura and mechanical reproduction (Walter Benjamin),"Benjamin (1935) analyzed how technical reproduction destroys the ""aura"" of the unique work. Warhol radicalized this idea: by mechanically reproducing popular images, he questioned the very notion of original and author."
The birth of electronic music,Concept,The Theremin,"First electronic instrument (1920), played without physical contact: two antennas detect the position of the hands and control pitch and volume. Its ethereal sound was used in 1950s horror films and by the Beach Boys."
The birth of electronic music,Concept,Chicago house and Detroit techno,Chicago house (1984) used drum machines and deep bass. Detroit techno (1986-1988) was colder and more mechanical. Both emerged from marginalized Black and Latino communities and became global phenomena.
Bob Dylan and protest folk,Concept,The American folk revival (Woody Guthrie),Rediscovery of traditional American music by urban artists in the 1950s-60s. Pete Seeger and Woody Guthrie made folk the soundtrack of the labor and civil rights movements. Dylan was its prodigal heir.
Bob Dylan and protest folk,Concept,Music as a political tool,"In the Guthrie tradition, protest folk used accessible melodies to spread political messages. Dylan's ""Blowin' in the Wind"" and ""The Times They Are A-Changin'"" became anthems of the Civil Rights Movement."
Hip-hop: birth of a culture,Concept,Robert Moses's highway policy,"New York urban planner who built urban highways devastating working-class neighborhoods in the Bronx during the 1950s-60s. The Cross-Bronx Expressway destroyed 60,000 housing units, creating the conditions of dereliction in which hip-hop was born."
Hip-hop: birth of a culture,Concept,Musical sampling,"Technique consisting of using extracts from existing records as the basis for a new Work. Legally problematic, sampling was recognized as a form of legitimate artistic creation after long legal battles."
Verdi's opera,Concept,The Italian Risorgimento,"Movement for Italy's national reunification (circa 1815-1871). Verdi's operas - notably ""Va, pensiero"" from Nabucco - became nationalist anthems. Verdi himself was a symbol: his name was used as an acronym for Vittorio Emanuele, Re D'Italia."
Verdi's opera,Concept,Opera seria vs. opera buffa,"Two Italian genres: opera seria (noble subjects, tragedy) and opera buffa (comic subjects, ordinary characters). Verdi excelled in opera seria but renewed the genres by integrating realistic psychological drama and social tension."
Mozart: child prodigy and tragic life,Concept,The status of the musician in the 18th century,"Social status where the musician is considered a servant attached to a nobleman or a prelate, having to compose and play according to the desires of his patron."
Mozart: child prodigy and tragic life,Historical reference,Freemasonry and The Magic Flute,"The Magic Flute (1791) is a masonic allegory: Tamino's initiatory trials, the struggle between light/darkness reflect the masonic rituals and ideals of the Enlightenment to which Mozart had adhered since 1784."
Beethoven: genius and deafness,Concept,"""Absolute"" music vs. program music","Absolute music (Beethoven) expresses pure emotions without external reference. Program music (Berlioz, Liszt) tells a story. This distinction structures the great aesthetic debate of the romantic 19th century."
Beethoven: genius and deafness,Concept,The Ode to Joy and the European anthem,"The last Movement of the 9th Symphony, based on Schiller's poem, became the official anthem of the European Union in 1985. The universalism of its message (brotherhood of humanity) makes it the symbol of the European ideal of unity."
The birth of rock 'n' roll,Concept,Segregation in the American music industry,"American radio stations in the 1940s and 50s refused to broadcast ""race music"" (blues, R&B) on ""white"" stations. The birth of rock'n'roll occurred largely when white artists covered Black styles, raising questions of cultural appropriation."
The birth of rock 'n' roll,Concept,Rhythm and blues (R&B),"A 1940s genre combining electrified blues, jazz, and gospel, created by Black artists. Rhythm and blues was the direct foundation of rock'n'roll: Elvis and Chuck Berry were directly inspired by it."
Bach and Baroque music,Concept,Counterpoint and fugue,"Counterpoint is the art of combining several independent melodies according to harmonic rules. The fugue is its most elaborate form: a theme is presented by different voices in turn, then developed in increasingly complex combinations."
Bach and Baroque music,Concept,Equal temperament,"Bach's ""Well-Tempered Clavier"" (48 preludes and fugues in all keys) demonstrated that a uniform tuning allowed playing in all keys without sounding out of tune. This system is the one used by all modern instruments."
The birth of American jazz,Concept,Congo Square in New Orleans,"Place where Louisiana law allowed enslaved people to gather on Sundays to play and dance. This unique location in North America allowed for the preservation of African musical traditions which, combined with European harmony, gave birth to jazz."
The birth of American jazz,Concept,Improvisation in jazz,"Unlike classical music, jazz makes improvisation its heart: the musician invents their melodic line in real time, over an agreed-upon harmonic grid, in response to others. It is both total freedom and a demanding discipline."
The blues: roots of all modern music,Concept,The 12-bar structure,"The founding harmonic architecture of the blues: a sequence of 12-bar in three parts (tonic, subdominant, dominant) that repeats. This infinitely variable structure is the grid upon which the blues is improvised and is found in rock, jazz, and pop."
The blues: roots of all modern music,Concept,Blue notes,"""Bent"" notes between two notes of the standard scale, played slightly below their usual pitch. These microtonal inflections come from the African vocal tradition and give blues its specific expressive and poignant character."
The birth of photography,Concept,William Fox Talbot's calotype,Photographic process on paper (circa 1840) allowing for several prints to be made from a negative - unlike the unique daguerreotype. It is the direct ancestor of film photography used until the digital age.
The birth of photography,Concept,The impact of photography on figurative painting,Photography freed painting from its documentary function. Painters no longer had to immortalization faces or battles - photography did it better and for less. This liberation is one of the conditions for impressionism and then abstraction.
Charlie Chaplin and silent cinema,Historical reference,The Lumière brothers and early cinema,"Cinema was born in France (Enlightenment, 1895) but became industrialized in the United States. Hollywood established itself in the 1910s-1920s thanks to the Californian sun, the diversity of landscapes, and the massive immigration of European talent."
Charlie Chaplin and silent cinema,Concept,Slapstick,"A comic genre of silent cinema based on physical gags, falls, chases, and grotesque violence. The term comes from a theater prop. Charlot brought this genre to its perfection by adding emotional depth and social criticism."
Orson Welles and Citizen Kane,Concept,Depth of field (deep focus),"Cinematographic technique where all planes of the image (foreground, middle ground, background) are sharp simultaneously, allowing for complex action within a single frame."
Orson Welles and Citizen Kane,Figure,William Randolph Hearst,American press tycoon of the early 20th century whose life served as a model for the figure of Charles Foster Kane.
The French New Wave,Concept,Auteur theory,"Theory by Truffaut in the Cahiers du Cinéma (1954): the true author of a film is the director, who expresses his personal vision. It promoted Hollywood filmmakers like Hitchcock or Hawks whom French academic critics despised."
The French New Wave,Concept,Shooting on location and the lightweight camera,"The Nouvelle Vague technically reinvented cinema: lightweight portable cameras, fast film stocks allowing filming without artificial lighting. These budgetary constraints became a revolutionary aesthetic - cinema ""taken to the streets""."
Kubrick: 2001: A Space Odyssey,Figure,Arthur C. Clarke,"British science fiction author who co-wrote the screenplay for 2001 from the short story ""The Sentinel"" (1948). He invented the concept of the geostationary communication satellite in 1945 - long before its technical realization."
Kubrick: 2001: A Space Odyssey,Concept,Artificial intelligence and HAL 9000,"HAL 9000 is one of the first depictions of a conscious AI in conflict with its creators. Its anthropomorphism (calm voice, relentless logic, self-preservation) foreshadows current debates on AI safety."
Hitchcock and suspense,Concept,The MacGuffin,"Hitchcock's term for the object that all characters pursue (the suitcase, the secret plans) but whose content has no importance for the viewer. What matters is the desire it arouses and the narrative dynamics it generates."
Hitchcock and suspense,Concept,Subjective camera (point of view shot),"Technique where the camera adopts the point of view of a character, making the viewer experience exactly what they see. In Vertigo, Scottie's vertigo is transmitted by a zoom-out/dolly-in technique invented for the film."
Gothic architecture: cathedrals,Concept,The flying buttress and the rib vault,"Structural innovations of Gothic architecture. The rib vault distributes weight onto ribs rather than the entire walls. The flying buttress transfers the thrust outwards, allowing walls to be opened into windows without the building collapsing."
Gothic architecture: cathedrals,Concept,The theology of light (Abbot Suger),"Suger theorized that divine light, channeled through colored stained glass, elevated the soul toward God. This ""metaphysics of light"" inspired Gothic architecture in its pursuit of ever larger windows and ever higher arches."
The Bauhaus,Concept,Functionalism in design,Principle of The Bauhaus: form follows function. A well-designed Object is beautiful because it perfectly fulfills its use - without superfluous ornamentation. This principle structures modern industrial design.
The Bauhaus,Event,Shutdown by the Nazis (1933),"Hitler closed The Bauhaus in 1933, considering its aesthetics as ""degenerate"". Its teachers emigrated to the United States (Gropius to Harvard, Mies van der Rohe to Chicago), where they profoundly influenced American architecture and design."
The Mona Lisa,Concept,Leonardian sfumato,Technique by Leonardo da Vinci: very thin layers of translucent glaze (sometimes 40 layers) create imperceptible transitions between light and shadow. It is this sfumato that makes the smile of The Mona Lisa so ambiguous and elusive.
The Mona Lisa,Related event,The theft of the Mona Lisa (1911),"Vincenzo Peruggia, a Louvre employee, stole The Mona Lisa and kept it at his home in Florence for two years. This theft made headlines around the World and transformed The Mona Lisa, then little known to the general public, into the most famous painting in the World."
"The Starry Night, Van Gogh",Concept,Art as inner expression,Central Concept for Van Gogh where the Work does not seek to reproduce physical reality but the painter's emotions and visions.
"The Starry Night, Van Gogh",Related event,The Arles drama with Gauguin,"Van Gogh invited Gauguin to share his yellow house in Arles. After two months of difficult coexistence, a violent argument precipitated Van Gogh's crisis, who cut off his ear and was voluntarily institutionalized in Saint-Rémy."
"Guernica, Picasso",Related event,The Spanish Civil War (1936-1939),Conflict between the Spanish Republic and the Francoist uprising supported by Nazi Germany and Fascist Italy. Spain was the testing ground for the new bombing tactics of the coming Second World War.
"Guernica, Picasso",Concept,The Condor Legion,Air military unit of the Luftwaffe sent to Spain to support Franco and test new saturation bombing tactics. The bombing of Guernica was its first massive use against a civilian city.
"Liberty Leading the People, Delacroix",Related event,"The Three Glorious Days (July 27-29, 1830)","Three revolutionary days that overthrew King Charles X, who wanted to suppress freedom of the press and reduce voting rights. Louis Philippe I took the constitutional throne in his place."
"Liberty Leading the People, Delacroix",Concept,"Marianne, symbol of the Republic","An allegorical female figure embodying the French Republic since the Revolution. Her Phrygian cap (a symbol of ancient freedom) is her distinctive attribute. Delacroix's Liberty is its founding image, reproduced in every town hall in France."
"The Creation of Adam, Michelangelo",Concept,Fresco as a mural technique,"Painting done on fresh plaster (fresco = fresh in Italian). The pigments integrate into the plaster as it dries, making the color permanent and resistant over centuries. Michelangelo had to work in daily sections (giornata) on his back from a scaffold."
"The Creation of Adam, Michelangelo",Concept,"The ""brain cape"" theory","Theory by Frank Meshberger (1990): the shape of the red cloak surrounding God is said to exactly reproduce the anatomical cross-section of a human brain. If intentional, Michelangelo would have symbolized that God is a creation of the human mind."
"Impression, Sunrise, Monet",Figure,"Louis Leroy and the birth of the term ""impressionism""","An art critic for ""Le Charivari"", Louis Leroy wrote a sarcastic article in 1874: ""Impression, I was certain of it!"". He intended to mock — the term ""impressionists"" was adopted by the artists themselves with pride, turning the insult around."
"Impression, Sunrise, Monet",Historical reference,The industrialized port of Le Havre in the 19th century,"Le Havre was the leading French commercial port, transformed by industrialization. Monet shows precisely this industrial modernity (steam, cranes, small boats) in the morning mist — a fleeting vision of modernity in progress."
"Nighthawks, Hopper",Concept,American urban alienation,"Nighthawks was painted in 1942, a few weeks after Pearl Harbor. The isolation of the characters in the American night reflects a profound unease: the individualism of American society, the lack of community, the emptiness behind material abundance."
"Nighthawks, Hopper",Concept,The American diner,"Cultural Institution: restaurant open 24/7, fast counter service, anonymous passing clientele. An ultimate Place of collective solitude, it feeds the iconography of American literature, cinema (film noir), and painting."
"Les Demoiselles d'Avignon, Picasso",Concept,Primitivism in modern art,An early 20th-century trend seeking a lost vitality in African and Oceanic arts. Picasso found there a radical freedom of representation that broke the conventions of perspective held since the Renaissance.
"Les Demoiselles d'Avignon, Picasso",Place / institution,Le Bateau-Lavoir (Montmartre),"A dilapidated building in Montmartre where Picasso lived and worked from 1904 to 1909, surrounded by artists and poets (Max Jacob, Apollinaire, Braque). It was there, in a studio without water or heating, that he painted the Demoiselles d'Avignon."
"The Persistence of Memory, Dalí",Concept,Soft time and Bergsonian philosophy,"Bergson distinguished between physical time (measurable) and lived time (subjective, elastic). Dalí's soft watches visually illustrate this ""Bergsonian time"": in dreams, time expands, contracts, and loses all rigidity."
"The Persistence of Memory, Dalí",Place / institution,Cap de Creus (Catalonia),A rocky coastal landscape of the Costa Brava visible in many of Dalí's paintings. The characteristic eroded granite geological formations of this cape fueled his imagination for ambiguous and melting forms.
Greek tragedy and ancient theater,Concept,The chorus in Greek tragedy,"A group of 12 to 15 citizens who sing, dance, and comment on the action between episodes. The chorus represents the voice of the community and provides a moral perspective on the heroes' actions. Its role gradually diminished under Sophocles and Euripides."
Greek tragedy and ancient theater,Place / institution,The Theatre of Epidaurus,"An ancient theater from the 4th century BC, capable of seating 14,000 spectators. Its extraordinary acoustics (a coin drop can be heard from any seat) remain mysterious and surpass the capabilities of modern acoustic engineering."
The theater of Shakespeare,Concept,The Globe Theatre (1599),"A theater built on the south bank of the Thames, outside the limits of the City of London (which banned performances). Octagonal and open to the sky, it hosted 3,000 spectators standing (the ""groundlings"") or seated in the covered galleries."
The theater of Shakespeare,Concept,Shakespearean blank verse,Unrhymed 10-syllable line (iambic pentameter) used by Shakespeare for noble Figures. Commoners spoke in prose. This social distinction through language is a convention of Elizabethan theater.
Freedom of the press and photojournalism,Concept,The ethics of photojournalism,Fundamental tension: how far should a photographer get involved? Kevin Carter photographed a vulture waiting for a Sudanese child to die (1993) and was accused of not helping. He received the Pulitzer then committed suicide three months later.
Freedom of the press and photojournalism,Figure,Henri Cartier-Bresson,"French photographer, founder of the Magnum agency (1947) and theorist of the ""decisive moment"": the unique instant where form and content coincide perfectly. His Work with the Leica is considered the pinnacle of humanist photojournalism."
"The birth of the Greek gods (Cronus, Zeus, Olympus)",Concept,Hesiod's Theogony,"Poem (circa 700 BC) recounting the origin and genealogy of the Greek gods since Chaos. Our main source on Greek cosmogony, it presents passionate and violent gods, subjected like men to the forces of destiny."
"The birth of the Greek gods (Cronus, Zeus, Olympus)",Concept,Greek divine anthropomorphism,"Greek gods are entirely human in their emotions (jealousy, love, anger) but immortal and supernatural. Xenophanes already criticized this vision: ""if horses had gods, they would represent them as horses""."
Prometheus: the thief of fire,Concept,The Promethean myth in modern culture,"Prometheus has become the symbol of human emancipation through knowledge, defying the limits set by the gods. Goethe, Shelley (Frankenstein), Marx claimed him as a symbol - he embodies the modernity rebelling against the established order."
Prometheus: the thief of fire,Figure,Epimetheus (brother of Prometheus),"His name means ""the one who thinks after"". He accepted without thinking Pandora's gift sent by Zeus. His recklessness introduced evils into the World. The Prometheus-Epimetheus pair illustrates the opposition between foresight and impulsivity."
Pandora and the box,Concept,Misogyny in Greek mythology,"The myth of Pandora is often read as a mythological justification for the Greeks' mistrust of women: it is a woman who introduces evil into the World, through curiosity or disobedience. A myth parallel to Eve in the Bible."
Pandora and the box,Concept,Elpis (Hope),"In Hesiod's version, Hope remains in the jar when Pandora closes it. A fundamental ambiguity: is it the last benevolent gift of the gods, or an additional evil (false hope, illusion) that tortures men by making them believe that things will improve?"
Demeter and Persephone (the seasons),Concept,The Eleusinian Mysteries,"Secret initiation ceremonies celebrated at Eleusis for over a millennium (600 BC - 400 AD). Based on the myth of Persephone, they promised initiates a blissful life after death. Plato and Marcus Aurelius were initiated into them."
Demeter and Persephone (the seasons),Concept,The agricultural cycle in Greek religion,"The myth of Persephone is a mythological explanation of the vegetative cycle: when she descends into the Underworld (autumn-winter), the earth is sterile; when she ascends (spring), the vegetation is reborn. Greek religion was linked to agricultural rhythms."
Orpheus and Eurydice,Concept,Catabasis: the descent into the Underworld,"A recurring mythological motif: the hero descends into the Underworld alive (Heracles, Odysseus, Aeneas, Orpheus). This ""catabasis"" symbolizes the initiatory journey into death and the confrontation with the unconscious."
Orpheus and Eurydice,Concept,Orphism: Greek mystery religion,"A religious movement inspired by the myth of Orpheus, advocating for the purification of the soul and metempsychosis (transmigration of souls). It influenced Pythagoras and Plato in their conception of the immortality of the soul."
Narcissus and Echo,Concept,Narcissism in psychology,"A term coined by Freud (1914): excessive love of oneself, inability to love others. In the myth, Narcissus cannot love Echo because he loves only his own image. Freud distinguished primary narcissism (healthy) from pathological narcissism."
Narcissus and Echo,Concept,The echo in acoustic physics,"The repercussion of a sound on a surface and its return to its source. The word ""echo"" comes directly from the nymph in the myth, condemned to only repeat the last words heard. This myth explained the natural acoustic phenomenon to the Greeks."
Icarus and Daedalus,Concept,Hybris and excess,Icarus embodies classic Hybris: failing to respect human limits and seeking to rise to the gods. This transgression is always punished in Greek mythology - the Greeks saw in hubris the tragic fault par excellence.
Icarus and Daedalus,Concept,The labyrinth as a symbol,"Daedalus's construction imprisoning the Minotaur. Beyond the myth, the Labyrinth has become a universal symbol of wandering, of the quest and the impossible return - of the unconscious or of inextricable destiny."
Sisyphus: eternal punishment,Concept,The absurd in Camus and Sisyphus,"In The Myth of Sisyphus (1942), Camus chooses this myth because Sisyphus knows his fate and continues anyway. Camus concludes that ""one must imagine Sisyphus happy"" - only the refusal of resignation makes the absurd bearable."
Sisyphus: eternal punishment,Concept,The hubris of Sisyphus,"Sisyphus was punished for having cheated death twice and revealed secrets of the gods. In Greek mythology, mortals who defied the divine order or claimed immortality received eternal and exemplary punishments."
Tantalus and his torment,Concept,"The ""tantalizing punishment"" as archetype",Expression describing any situation where what one desires is almost within reach but always inaccessible. This universal symbol of frustration and temptation has crossed all cultures and is found in psychological theories on desire.
Tantalus and his torment,Concept,"The chemical element tantalum (Ta, 73)",Named as such in 1802 by Ekeberg because it is insoluble in acids - like Tantalus who can swallow nothing. It is used in capacitors for smartphones and in biocompatible medical prostheses.
Medusa and Perseus,Concept,The Gorgoneion,"Representation of the head of Medusa used as an Apotropaic amulet (to ward off evil) throughout ancient Greece. It was found on temples, shields, rings, mosaics. It passed into Roman Art and then into medieval coats of arms."
Medusa and Perseus,Concept,"Pegasus, born from Medusa's blood","When Perseus decapitates Medusa, the winged horse Pegasus is born from her blood. He would be captured by Bellerophon with the help of Athena and would allow him to defeat the Chimera. Pegasus has become the universal symbol of poetic inspiration."
Hercules and his 12 labors,Concept,Greek heroism vs. Christian heroism,"Greek heroism (Hercules, Achilles) values strength, warrior glory, and prowess - even if Hercules acts out of penance. Christian heroism values humility, sacrifice, and accepted suffering. This tension structures Western culture."
Hercules and his 12 labors,Concept,The Pillars of Hercules,"Promontories of Gibraltar that ancient tradition considered the boundaries of the known world. The expression ""nec plus ultra"" was associated with them. Columbus crossed them in 1492, pushing back the limits of the known World towards the West."
Theseus and the Minotaur,Concept,The Labyrinth of Knossos in Crete,"Excavations at Knossos revealed the Minoan palace, with its complex layout evoking a labyrinth. The Minoan civilization (2700-1450 BC) and its bull cult are likely at the origin of the myth of the Minotaur."
Theseus and the Minotaur,Concept,Ariadne's thread,"An expression that has entered every language to designate a landmark allowing one to find their way in a complex situation. Ariadne gives Theseus a thread to exit the labyrinth - a symbol of memory, method, and the help of the Other."
Odysseus and the Cyclops,Concept,Metis (cunning) in Greek culture,"Practical intelligence, cunning, the ability to reverse an unfavorable situation. Odysseus embodies metis par excellence - his Homeric epithet is ""of many wiles."" It is opposed to biē (brute force) embodied by Ajax."
Odysseus and the Cyclops,Concept,The Cyclopes in Greek mythology,"One-eyed beings, sons of Uranus and Gaia: divine blacksmiths who forged the lightning of Zeus. In Homer, Polyphemus and his kind are wild shepherds ignorant of the gods and laws - an embodiment of barbarism."
Jason and the Golden Fleece,Concept,Colchis (modern-day Georgia),"Region east of the Black Sea, described in Greek myths as the end of the eastern World. Shepherds there used sheep fleeces to filter gold from the gold-bearing rivers of the Caucasus - the ""golden fleece"" may have been real."
Jason and the Golden Fleece,Figure,Medea and Jason's betrayal,"Daughter of the king of Colchis, she betrayed her father and sacrificed her brother for Jason. When Jason abandoned her for a politics alliance in Corinth, her revenge - killing their own children - is the most terrible act in all of Greek Mythology."
Achilles: the heel and invulnerability,Concept,Greek kleos (posthumous glory),Supreme value of heroic culture: immortal glory acquired through warlike exploits and transmitted by poets. Achilles deliberately chooses a short but glorious life over a long life without glory - a fundamental choice of Greek heroic ethics.
Achilles: the heel and invulnerability,Concept,The Myrmidons,"Achilles' elite warriors, legendarily created by Zeus from ants (myrmex = ant in Greek). In the Iliad, they are the most feared soldiers. Their absolute loyalty to Achilles illustrates the unbreakable bond between a hero and his men."
Oedipus and the Sphinx,Concept,The Sphinx in world iconography,"Hybrid creature present in many cultures: Egyptian Sphinx (lion, human head, royal symbol) and Greek Sphinx (female, winged, poser of deadly riddles). The same image takes on opposite meanings depending on the culture."
Oedipus and the Sphinx,Concept,Incest as a fundamental transgression,"Oedipus's (unintentional) incest represents the ultimate transgression of social order: the confusion of generations. For the Greeks, it caused a defilement (miasma) affecting the entire community, visible in the pestilence striking Thebes."
Antigone: family duty vs. state law,Concept,The Hegelian dialectic of Antigone,"Hegel was the first (1807) to theorize that in Antigone, both protagonists are each right according to their own principles - family vs State, divine Law vs human Law. It is not a matter of good and evil but of two incompatible goods: the very definition of the tragic."
Antigone: family duty vs. state law,Related event,Jean Anouilh's Antigone (1944),"Play performed in Paris under the Nazi Occupation. Anouilh deliberately left its Politics reading ambiguous: Creon could represent the Germans or Vichy, Antigone the Resistance. Both sides found what they were looking for in the Work - genius or opportunism?"
The Trojan War and the wooden horse,Concept,Troy (Hisarlik) and archaeology,"Schliemann located Troy in 1870 at Hisarlik, Turkey. Excavations revealed nine successive cities. Troy VIIa (around 1184 BC) shows traces of fire compatible with the Homeric account - the Trojan War may have actually taken place."
The Trojan War and the wooden horse,Concept,The return of the heroes (Nostoi),"After the Trojan War, Greek heroes experience tragic returns: Agamemnon is murdered, Ajax dies. Only Menelaus finds Helen again. These ""Nostoi"" formed an epic cycle (now lost) that was as important as the Iliad for the ancient Greeks."
Thor and Loki (Norse mythology),Work,The Prose Edda (Snorri Sturluson),"An Icelandic Poetics and Mythology treatise from the 13th century. Although written in a Christian context, it constitutes the most structured source on Norse beliefs, intended to preserve the Art of ancient poetry."
Thor and Loki (Norse mythology),Concept,Mjolnir and the swastika cross,"Thor's hammer was the most widespread symbol of protection in medieval Scandinavia. Linked to a solar symbol (Norse swastika), it was misappropriated by the Nazis in the 20th century - giving this unfortunate symbol a lasting connotation."
Ragnarök: the end of the Norse world,Concept,"Yggdrasil, the world tree","Norse cosmic ash tree connecting the nine worlds. Its roots delve into the realms of the gods, the Giants, and the dead. The Norns (weavers of fate) live at its base. The cosmic tree is an almost universal mythological archetype."
Ragnarök: the end of the Norse world,Concept,Comparative apocalypticism,"The vision of Ragnarök shares traits with other eschatologies: the Christian Last Judgment, the Hindu Kali Yuga. These apocalyptic visions reflect a universal concern for the end of times and, often, the Renaissance that follows."
Osiris and Set (Egyptian mythology),Concept,The concept of Ma'at,"Fundamental principle of Egyptian thought: cosmic order, truth and justice. The pharaoh was responsible for maintaining Ma'at against chaos. Osiris presides over the judgment of the dead, weighing their heart against the feather of Ma'at."
Osiris and Set (Egyptian mythology),Concept,The Book of the Dead,"A collection of magical spells accompanying deceased Egyptians into the afterlife. It guided the soul through the trials of the underworld, notably the judgment before Osiris. Some illustrated papyri are among the most beautiful Works of Egyptian Art."
Gilgamesh: history's first hero,Concept,"The Mesopotamian civilization (Sumer, Babylon)","A collective term for the civilizations of the Fertile Crescent between the Tigris and Euphrates rivers (modern Iraq). They invented cuneiform writing, codified Law (Code of Hammurabi), sexagesimal mathematics and astronomy."
Gilgamesh: history's first hero,Concept,The Flood narrative in the Epic,Tablet XI of the Epic contains a universal Flood myth earlier than the biblical Deluge: Utnapishtim builds a boat and brings all the animals on board. This parallel stunned biblical scholars when it was discovered in 1872.
Romulus and Remus: the founding of Rome,Concept,Ab Urbe Condita (753 BC),"The traditional Date of the founding of Rome, calculated by Varro in the 1st century BC. The Romans counted years ""from the founding of the city"" (AUC). This legendary Date corresponded to the monarchy of the seven kings of Rome."
Romulus and Remus: the founding of Rome,Concept,The Capitoline Wolf,"A bronze statue of a she-wolf suckling Romulus and Remus, symbol of Rome. Long believed to be Etrusque (5th century BC), recent studies date it to the Middle Ages. The human twins were added by Pollaiolo in the 15th century."
Vishnu and Shiva (Hindu mythology),Concept,Samsara and karma,Samsara: the cycle of soul reincarnations. Karma: the Law of moral causality - every action has consequences for future lives. Vishnu descends to the World in avatars specifically to restore the disturbed cosmic Karma.
Vishnu and Shiva (Hindu mythology),Concept,The Bhagavad Gita,"Central philosophical text of Hinduism extracted from the Mahabharata: Krishna (avatar of Vishnu) explains to Arjuna the meaning of duty (dharma) and selfless action before the battle. Admired by Thoreau, Emerson, Gandhi, and Oppenheimer."
The Valkyries and Valhalla,Concept,Norse warrior eschatology,"Norse warriors sought to die with weapons in hand to be chosen by the Valkyries. Dying of illness (""straw death"") did not open the gates of Valhalla - this vision of a warrior paradise structured Viking culture."
The Valkyries and Valhalla,Historical reference,The Ride of the Valkyries (Wagner),"Richard Wagner set Norse mythology to music in Der Ring des Nibelungen (1848-1874). ""The Ride of the Valkyries"" is among the best-known works of classical music in the world, often associated with American cinema."
