id,Titre,Description,Cours
g_mpzqlws4_1j8bg,Die wissenschaftlichen Revolutionen,"Von der Gravitation zur **DNA**, entdecken Sie die Durchbrüche, die unser Verständnis des Lebendigen transformiert haben.","Die Gravitationstheorie (Newton, 1687) | Darwins Evolutionstheorie (1859) | Die Struktur der DNA (Watson & Crick, 1953) | Die Entdeckung der Radioaktivität (Marie Curie) | Die Relativitätstheorie für alle"
g_mpzqlws4_24n9h,Einführung in die Kunstgeschichte,Eine visuelle Reise von den Meisterwerken der **Renaissance** bis zu den Umbrüchen der abstrakten **Kunst**.,Die italienische Renaissance | Mona Lisa | Caravaggio und das Chiaroscuro | Die Geburt des Impressionismus | Der Kubismus: Picasso und Braque | Die abstrakte Kunst: Kandinsky und Mondrian
g_mpzqlws4_382sp,Ökologische Herausforderungen des 21. Jahrhunderts,Die klimatischen Herausforderungen und Lösungen zur Bewahrung unseres Planeten verstehen.,Der Anstieg des Meeresspiegels | Klimamigration | Die Energiewende | Warum sind Bienen lebenswichtig? | Die Kreislaufwirtschaft | Wasser: Nächste Konfliktquelle? | Das Ozonloch (und seine Heilung)
g_mpzqlws4_4xiac,Literarische Dystopien,"Wenn die Literatur sich das Schlimmste der Welten ausmalt, um unsere Gegenwart besser zu hinterfragen.","1984, George Orwell | Schöne neue Welt, Aldous Huxley | Fahrenheit 451, Bradbury | Farm der Tiere, George Orwell | Der Process, Kafka | Die GAFAM: Macht und Auswüchse | Desinformation und Fake News"
g_mpzqlws4_5kxjr,Die Wendepunkte des Weltkriegs,"Tauchen Sie ein in das Herz der entscheidenden Auseinandersetzungen, die die Mitte des 20. Jahrhunderts geprägt haben.",Der Blitzkrieg (1940) | Die Schlacht von Stalingrad (1942-1943) | Hiroshima und Nagasaki (1945) | Die Shoah: Mechanismen eines Völkermords | Der Nürnberger Prozess (1945–1946)
g_mpzqlws4_6mt1o,Die Geheimnisse des menschlichen Gehirns,"Erkunden Sie die faszinierenden Mechanismen von Gedächtnis, Schlaf und Bewusstsein.",Warum träumen wir? | Wie funktioniert das Gedächtnis? | Warum schlafen wir? | Warum gähnt man? | Wie speichert das Gehirn Erinnerungen? | Wie funktioniert Elektrizität in unserem Körper?
g_mpzqlws4_7r1yy,Geschichte der siebten Kunst,"Die großen Regisseure und die Bewegungen, die das bewegte Bild revolutioniert haben.",Charlie Chaplin und der Stummfilm | Orson Welles und Citizen Kane | Hitchcock und der Suspense | Nouvelle Vague | Kubrick: 2001: Odyssee im Weltraum
g_mpzqlws4_8liwv,Die Odyssee des Odysseus,Folgen Sie dem Weg des Helden von Ithaka durch Mythen und Grundlagentexte.,"Die Odyssee, Homer | Odysseus und der Kyklop | Odysseus und die Sirenen | Die Ilias, Homer"
g_mpzqlws4_9zcsy,Die aktuelle Geopolitik verstehen,Die Schlüssel zur Entschlüsselung der Machtverhältnisse und Spannungen der modernen Welt.,Die Rivalität zwischen China und den USA | Der Ukraine-Krieg erklärt | Putins Russland | Die Spannungen um Taiwan | Das Konzept einer „multipolaren“ Welt
g_mpzqlws4_afvtk,Große Namen des Theater,Von der dramatischen griechischen Tragödie bis zu den Dramen Shakespeares.,"Die griechische Tragödie und das antike Theater | Das Theater von Shakespeare | Hamlet, Shakespeare | König Ödipus, Sophokles | Antigone, Sophokles"
g_mpzqlws4_bonja,Das digitale Zeitalter,Von Die Erfindung des Internets bis zu den Auswüchsen der sozialen Netzwerke und der KI.,Die Erfindung des Internets | Die GAFAM: Macht und Auswüchse | KI und Beschäftigung | Die globale digitale Kluft
g_mpzqlws4_cuig5,Pracht des Mittelalters,"Zwischen Schlössern, Kathedralen und großen Epidemien: das mittelalterliche Europa.",Die Kaiserkrönung Karls des Großen (800) | Gotische Architektur: Die Kathedralen | Der Schwarze Tod in Europa (1347-1353) | Jeanne d’Arc und der Hundertjährige Krieg (1429) | Der Aufruf Urbans II. und der 1. Kreuzzug (1095)
g_mpzqlws4_dtp66,Fortschritt und Medizin,"Wie die Wissenschaft lernte, den menschlichen Körper zu heilen und Viren zu bekämpfen.","Die Entdeckung des Penicillins (Fleming, 1928) | Wie funktioniert ein Impfstoff? | Die Entdeckung der Anästhesie | Die Entdeckung der Röntgenstrahlen (Röntgen, 1895) | Wie tötet Seife Viren?"
g_mpzqlws4_exr09,Die Meister der Musik,"Von der Strenge Bachs bis zum Furor Beethovens, die Entwicklung der Harmonie.",Bach und die Barockmusik | Mozart: Wunderkind und tragisches Leben | Beethoven: Genie und Taubheit | Verdis Oper | Die Geburt der elektronischen Musik
g_mpzqlws4_fit77,Kämpfe für die Freiheit,"Die zivilen Bewegungen und die Figuren, die die Ketten der Unterdrückung sprengten.",Rosa Parks und Montgomery (1955) | Die Apartheid und Mandela (1948–1994) | Die Pariser Kommune (1871) | Die Dekolonisierung: Panorama (1945–1975) | Der Sturm auf die Bastille (1789)
g_mpzqlws4_gcstj,Einführung in die Philosophie,"Die großen Fragen nach dem Staat, der Moral und der menschlichen Verfassung.","Apologie des Sokrates, Platon | Der Staat, Platon | Das Gastmahl, Platon | Der Mythos des Sisyphos, Camus | Candide, Voltaire"
g_mpzqlws4_hlrmk,An den Grenzen des Universums,Eine Reise von der Geburt des Kosmos bis zu den mysterien der Schwarze Löcher.,Der Urknall | Was ist ein Schwarzes Loch? | Was ist Dunkle Materie? | Gibt es Leben anderswo im Universum? | Die Relativitätstheorie für alle
g_mpzqlws4_ikf6h,Das Getriebe der Weltwirtschaft,"Kapitalflüsse, Krisen und neue Arbeitsformen verstehen.","Die Weltwirtschaftskrise (1929) | Steueroasen erklärt | Die weltweite Verschuldung | Die Plattformökonomie [Uber, Airbnb...] | Erdöl als Konfliktquelle"
g_mpzqlws4_jwtrk,Naturphänomene erklärt,"Entdecken Sie die Wissenschaft, die sich hinter den Erscheinungen unseres Planeten verbirgt.",Warum brechen Vulkane aus? | Wie entstehen Erdbeben? | Wie entstehen Blitze? | Warum gibt es Jahreszeiten? | Die Photosynthese einfach erklärt
