Nom du cours,Classification,Terme,Explication
Die Belle Époque (1871-1914),Zugehöriges Ereignis,Die Dreyfus-Affäre (1894-1906),"Alfred Dreyfus, ein jüdischer Offizier, wurde von einem antisemitischen Generalstab fälschlicherweise wegen Spionage verurteilt. Die Affäre zerriss Frankreich in Dreyfusarden und Antidreyfusarden und legte die tiefen Spannungen der französischen Gesellschaft offen."
Die Belle Époque (1871-1914),Zugehöriges Ereignis,Die Berliner Konferenz (1884-1885),"Versammlung der europäischen Mächte, um die Aufteilung Afrikas ohne Krieg untereinander zu regeln. Innerhalb weniger Jahrzehnte kolonisierte Europa 90 % des afrikanischen Kontinents und zog willkürliche Grenzen, die bis heute Konflikte verursachen."
Die Belle Époque (1871-1914),Konzept,Der Positivismus von Auguste Comte,"Philosophie, nach der die Wissenschaft alle menschlichen Probleme lösen wird. Als dominante Doktrin der Belle Époque erklärt sie den Optimismus dieser **Periode** und dessen jähe Erschütterung durch den Krieg von 1914."
Die Schlacht um Verdun (1916),Zugehöriges Ereignis,Die Schlacht an der Somme (1916),"Französisch-britische Offensive, die am 1. Juli 1916 gestartet wurde, um Verdun zu entlasten. Sie forderte allein am ersten Tag 60.000 britische Opfer – der verlustreichste Tag in der britischen Militärgeschichte."
Die Schlacht um Verdun (1916),Konzept,Der Stellungskrieg,"Seit 1914 hatte sich die Westfront in einem Netz von Schützengräben von der Nordsee bis zur Schweiz stabilisiert. Dieser Stellungskrieg erklärt, warum Schlachten wie Verdun monatelang auf wenigen Quadratkilometern ausgetragen wurden."
Die Schlacht um Verdun (1916),Konzept,Die schwere Artillerie des Ersten Weltkriegs,"Die Artillerie war für 60-70 % der Verluste im Erster Weltkrieg verantwortlich. Die technischen Fortschritte seit 1870 hatten die Offensivwaffen weitaus mächtiger als die Verteidigungsanlagen gemacht, was zur Sackgasse des Stellungskriegs führte."
Die Russische Revolution (1917),Personage,Rasputin,"Sibirischer Heilmönch, der an Einfluss auf die Zarin Alexandra gewann, indem er die Hämophilie-Krisen des Zarewitsch Alexei linderte. Seine mutmaßlichen politischen Einmischungen und sein skandalöses Image diskreditierten den kaiserlichen Hof zutiefst."
Die Russische Revolution (1917),Konzept,Der Marxismus-Leninismus,"Ideologie, welche die ökonomischen Theorien von Marx (Klassenkampf, Ausbeutung des Proletariats) und die taktischen Innovationen von Lenin (disziplinierte Avantgarde-Partei, organisierte Revolution) kombiniert. Es ist die Ideologie der Bolschewiki, die im Oktober 1917 die Macht übernahmen."
Die Russische Revolution (1917),Konzept,Der Petrograder Sowjet,"Rat der Arbeiter- und Soldatendelegierten, gewählt in Fabriken und Kasernen. Im Jahr 1917 kontrollierte er faktisch die Straßen und die Armee, was eine instabile „Doppelherrschaft“ gegenüber der legalen Provisorischen Regierung schuf."
Die Weltwirtschaftskrise (1929),Konzept,Der Goldstandard (Gold Standard),"Währungssystem, in dem Währungen zu einem festen Kurs in Gold umtauschbar waren, was die Fähigkeit der Staaten zur Geldschöpfung einschränkte. Es übertrug die amerikanische Krise mechanisch auf die ganze Welt: Als die USA ihre Geldmenge reduzierten, litten alle an Gold gebundenen Länder darunter."
Die Weltwirtschaftskrise (1929),Zugehöriges Ereignis,Der New Deal von Roosevelt (1933),"Programm bündel amerikanischer Maßnahmen, das wirtschaftliche Ankurbelung (Großprojekte), Finanzreformen (FDIC, SEC) und soziale Sicherung vermischte. Er beendete die Krise nicht, schuf aber die Grundlagen für den amerikanischen Sozialstaat (Vorsehung)."
Die Weltwirtschaftskrise (1929),Konzept,Der Kauf von Aktien auf Margin,"Praxis, bei der man Kredite bei seiner Bank aufnimmt, um Aktien zu kaufen und auf deren Anstieg zu setzen. In den 1920er Jahren weit verbreitet, verstärkte sie die Spekulationsblase und zwang Millionen von Amerikanern während des Crashs zu Notverkäufen, um ihre Kredite zurückzuzahlen."
Die Schlacht von Stalingrad (1942-1943),Zugehöriges Ereignis,Unternehmen Barbarossa (22. Juni 1941),"Die Invasion der UdSSR durch Deutschland: 3 Millionen Soldaten auf einer Front von 3.000 km - die größte militärische Operation der Geschichte. Das Scheitern der Einnahme Moskaus im Jahr 1941 zwang Hitler dazu, seine Bemühungen 1942 in den Süden und auf das Kaukasus-Öl zu konzentrieren."
Die Schlacht von Stalingrad (1942-1943),Personage,Friedrich Paulus,"Kommandeur der eingeschlossenen deutschen 6. Armee. Hitler ernannte ihn am 30. Januar 1943 zum Generalfeldmarschall, um ihn zu motivieren, eher zu sterben als zu kapitulieren. Paulus kapitulierte am nächsten Tag und wurde der erste deutsche Feldmarschall, der lebend gefangen genommen wurde."
Die Schlacht von Stalingrad (1942-1943),Konzept,Operation Uranus,"Sowjetische Gegenoffensive (19. November 1942), die die 300.000 Soldaten der 6. Armee in einer riesigen Zangenbewegung einkesselte. Von Schukow und Wassilewski geplant, verwandelte sie die erbitterte Verteidigung von Stalingrad in einen entscheidenden strategischen Sieg."
Hiroshima und Nagasaki (1945),Konzept,Die Kernspaltung,"Reaktion, bei der sich der Kern eines schweren Atoms (Uran 235, Plutonium 239) spaltet und dabei eine gewaltige Energie sowie neue Neutronen fre setzt, die eine Kettenreaktion auslösen. Dies ist das Prinzip der Atombombe."
Hiroshima und Nagasaki (1945),Zugehöriges Ereignis,Der Kriegseintritt der UdSSR gegen Japan (9. August 1945),"Stalin erklärte Japan genau am Tag der Nagasaki-Bombe den Krieg und marschierte in die Mandschurei ein. Einige Historiker sind der Ansicht, dass diese sowjetische Bedrohung für die Entscheidung der japanischen Kapitulation ebenso ausschlaggebend war wie die Bomben."
Hiroshima und Nagasaki (1945),Konzept,Die Strahlenkrankheit (akutes Strahlensyndrom),"Syndrom, das durch die Einwirkung von Strahlung verursacht wird: Übelkeit, Haarausfall, innere Blutungen, Immunversagen. Zehntausende Überlebende starben in den folgenden Wochen an dieser Krankheit, die den Ärzten damals noch unbekannt war."
Rosa Parks und Montgomery (1955),Ort / Institution,Die NAACP,"National Association for the Advancement of Colored People, 1909 gegründet, um Bürgerrechte mit legalen Mitteln zu verteidigen. Rosa Parks war eine aktive Aktivistin der Organisation und hatte bereits lange vor ihrer berühmten Geste Schulungen in zivilem Ungehorsam absolviert."
Rosa Parks und Montgomery (1955),Konzept,Die Jim-Crow-Gesetze,"Ein Bündel von Staatsgesetzen, die nach 1877 die rassische Segregation im amerikanischen Süden einführten. Ihr Name leitet sich von einer stereotypen Person aus Minstrel-Shows ab. Sie organisierten eine totale Trennung in Schulen, Verkehrsmitteln, Krankenhäusern und allen öffentlichen Räumen."
Rosa Parks und Montgomery (1955),Zugehöriges Ereignis,Brown v. Board of Education (1954),"Urteil des Obersten Gerichtshofs der USA, das die Segregation an öffentlichen Schulen für verfassungswidrig erklärte. Diese Entscheidung gab der Bürgerrechtsbewegung einen rechtlichen Impuls und erklärt, warum Montgomery später ebenfalls vor Gericht angefochten wurde."
Die Kubakrise (1962),Konzept,Die garantierte gegenseitige Zerstörung (MAD),"Nukleardoktrin, wonach weder die USA noch die UdSSR einen Atomkrieg überleben könnten. Diese Logik des Gleichgewichts des Schreckens hielt beide Seiten von einem Angriff ab und strukturiert die gesamte Dynamik der Kubakrise."
Die Kubakrise (1962),Zugehöriges Ereignis,Die Schweinebucht-Invasion (April 1961),"Gescheiterter Invasionsversuch Kubas durch von der CIA ausgebildete kubanische Exilanten. Das demütigende Scheitern schwächte Kennedy, ermutigte Chruschtschow, Risiken einzugehen, und stärkte Castro, was die Bedingungen für die Krise von 1962 schuf."
Die Kubakrise (1962),Historischer Bezug,Die Jupiter-Raketen in der Türkei,"Amerikanische Atomraketen, die 1961 in der Türkei in Reichweite der UdSSR stationiert wurden. Das abschließende Geheimabkommen beinhaltete ihren diskreten Abzug – ein Zugeständnis, das Kennedy jahrzehntelang geheim hielt, um nicht so zu wirken, als gäbe er der sowjetischen Erpressung nach."
Der Algerienkrieg (1954-1962),Konzept,Der Status als französisches Departement,"Im Gegensatz zu den Protektoraten (Marokko, Tunesien) war Algerien seit 1848 in drei französische Départements unterteilt. Jede Unabhängigkeit entsprach daher rechtlich einer Amputation des Staatsgebiets – daher die Intensität des politischen Konflikts im Mutterland."
Der Algerienkrieg (1954-1962),Zugehöriges Ereignis,Der Putsch der Generäle (April 1961),"Putschversuch von vier Generälen, die gegen die Unabhängigkeit waren. De Gaulle schlug ihn innerhalb von vier Tagen dank einer Rundfunkrede nieder. Darauf folgte die Gründung der OAS, einer terroristischen Organisation für ein französisches Algerien."
Der Algerienkrieg (1954-1962),Historischer Bezug,Die Pieds-noirs,Spitzname der in Algerien niedergelassenen Siedler europäischer Herkunft. Fast eine Million von ihnen mussten das Land 1962 unter traumatisierenden Bedingungen verlassen und ließen ihre Häuser unter der Drohung „Koffer oder Sarg“ zurück.
Die Schlacht von Dien Bien Phu (1954),Konzept,Der Guerillakrieg,"Strategie schwächerer Kräfte gegen eine technisch überlegene Armee: Vermeidung offener Schlachten, Belästigung des Gegners, Nutzung des Geländes und der Unterstützung der Bevölkerung, langfristige Erschöpfung des Gegners. Der Viet-Minh tat sich darin während des gesamten Indochinakriegs hervor."
Die Schlacht von Dien Bien Phu (1954),Zugehöriges Ereignis,Die Genfer Abkommen (Juli 1954),"Abkommen, die den Indochinakrieg beendeten: Vietnam wurde am 17. Breitengrad geteilt. Für 1956 geplante Wiedervereinigungswahlen wurden nie organisiert, was den Keim für den darauffolgenden amerikanischen Krieg legte."
Die Schlacht von Dien Bien Phu (1954),Personage,General Võ Nguyên Giáp,"Oberbefehlshaber des Viet-Minh, ehemaliger Geschichtslehrer und Autodidakt in Strategie. Sein Genie bestand darin, Dutzende schwere Kanonen von Menschenhand und per Fahrrad auf die Hügel über Dien Bien Phu transportieren zu lassen – eine logistische Meisterleistung, die als unmöglich galt."
Der Völkermord an den Armeniern (1915-1916),Historischer Bezug,Die Jungtürken (Komitee für Einheit und Fortschritt),"Türkische nationalistische Bewegung, die 1908 den Sultan Abdul Hamid II. stürzte. Das Triumvirat Enver-Talaat-Cemal, extremistische Nationalisten, organisierte den Völkermord im Kontext des Krieges im Rahmen eines Projekts für eine „ethnisch reine Türkei“."
Der Völkermord an den Armeniern (1915-1916),Zugehöriges Ereignis,Die hamidischen Massaker (1894-1896),"Erste Welle von Massakern an Armeniern unter Sultan Abdul Hamid II., die zwischen 100.000 und 300.000 Tote forderte. Dieser ungesühnte Präzedenzfall zeigte den künftigen osmanischen Behörden, dass solche Verbrechen ungestraft bleiben konnten."
Der Völkermord an den Armeniern (1915-1916),Konzept,Die rechtliche Definition des Völkermords,"Der Begriff „Völkermord“ wurde 1944 von dem Juristen Raphael Lemkin erfunden, gerade im Gedenken an die Armenier. Die UN-Konvention (1948) definiert ihn als die Absicht, eine nationale, ethnische, rassische oder religiöse Gruppe „ganz oder teilweise“ zu zerstören."
Die Gründung der UNO (1945),Zugehöriges Ereignis,Die Konferenz von Jalta (Februar 1945),"Treffen zwischen Roosevelt, Churchill und Stalin, das die Grundlagen für die Weltordnung der Nachkriegszeit legte: Aufteilung Europas in Einflusszonen, Bedingungen für den sowjetischen Eintritt in den Krieg gegen Japan, Struktur der zu gründenden UN."
Die Gründung der UNO (1945),Konzept,Das Vetorecht im Sicherheitsrat,Jedes der 5 ständigen Mitglieder kann jede Resolution des Rates durch eine einfache „Nein“-Stimme blockieren. Dieser Mechanismus hat den Rat während des Kalten Krieges gelähmt und hält mit Russland und China in zahlreichen zeitgenössischen Krisen an.
Die Gründung der UNO (1945),Ort / Institution,Der Internationale Gerichtshof (IGH),"Justizorgan der UN mit Sitz in Den Haag, das Streitigkeiten zwischen Staaten beilegt. Im Gegensatz zum IStGH (der Einzelpersonen richtet), richtet er über Staaten. Seine Entscheidungen sind verbindlich, aber er verfügt über keinen Vollstreckungsmechanismus."
Die Geburt der EU: von der EGKS bis Maastricht,Konzept,Die deutsch-französische Versöhnung,"Nach drei Kriegen in 70 Jahren hatten Frankreich und Deutschland ihre Rivalität zum Hauptmotor der europäischen Konflikte gemacht. Die EGKS und später der Elysée-Vertrag (1963) besiegelten eine Freundschaft, die zum Motor der gesamten europäischen Integration wurde."
Die Geburt der EU: von der EGKS bis Maastricht,Zugehöriges Ereignis,Der Vertrag von Maastricht (1992),"Gründungsvertrag der Europäischen Union, der die Unionsbürgerschaft schuf, den Prozess der Gemeinschaftswährung (der Euro im Jahr 2002) einleitete, eine gemeinsame Außenpolitik und strenge Kriterien für die wirtschaftliche Konvergenz einführte."
Die Geburt der EU: von der EGKS bis Maastricht,Konzept,Die vier Freiheiten des Binnenmarktes,"Freier Waren-, Personen-, Dienstleistungs- und Kapitalverkehr – Grundlagen vom Gemeinsamer Markt des Vertrags von Rom. Sie stellen die am weitesten fortgeschrittene wirtschaftliche Integration dar, die jemals zwischen souveränen Staaten realisiert wurde."
Der Völkermord in Ruanda (1994),Zugehöriges Ereignis,Die Arusha-Abkommen (August 1993),"Friedensabkommen zwischen der Hutu-Regierung und der Ruandische Patriotische Front (FPR). Hutu-Extremisten, die jegliche Machtteilung ablehnten, organisierten den Völkermord, um dessen Umsetzung zu verhindern."
Der Völkermord in Ruanda (1994),Ort / Institution,Die UNAMIR und General Dallaire,"Die Mission der UN unter dem Befehl von der General Roméo Dallaire aus Kanada hatte 2.500 Soldaten vor Ort. Dallaire warnte die UN bereits im Januar 1994 vor einem drohenden Völkermord, wurde aber daran gehindert, einzugreifen. Seine Tatenlosigkeit wird heute als historisches Versagen betrachtet."
Der Völkermord in Ruanda (1994),Historischer Bezug,Radio-Télévision Libre des Mille Collines (RTLM),"Hutu-extremistischer Radiosender, der während des Völkermord live die Liste der zu tötenden Personen ausstrahlte und zur Vernichtung der Tutsis aufrief, die als „Kakerlaken“ bezeichnet wurden. Er war ein wichtiges Instrument zur Koordinierung der Massaker."
Der Fall der Berliner Mauer (1989),Konzept,Glasnost und Perestroika,"Gorbatschows Reformen ab 1986: Glasnost (Transparenz) erlaubte die Kritik am sowjetischen Regime, Perestroika (Umstrukturierung) versuchte, die Wirtschaft zu reformieren. Sie destabilisierten unfreiwillig den gesamten Sowjetblock."
Der Fall der Berliner Mauer (1989),Zugehöriges Ereignis,Der Prager Frühling (August 1968),"Liberale Reform des Kommunismus in der Tschechoslowakei, die durch die Invasion sowjetischer Panzer niedergeschlagen wurde. Gorbatschows Entscheidung, diese Intervention 1989 nicht zu wiederholen, war daher historisch revolutionär."
Der Fall der Berliner Mauer (1989),Personage,Erich Honecker,"Generalsekretär der DDR seit 1971, er hatte erklärt, dass die Mauer „noch 50 oder 100 Jahre“ bestehen würde. Am 18. Oktober 1989, kurz vor dem Fall der Mauer, ersetzt, starb er 1994 im Exil in Chile."
Der Blitzkrieg (1940),Historischer Bezug,Die Maginot-Linie,"Befestigungslinie, die von Frankreich in den 1930er Jahren entlang der deutsch-französischen Grenze errichtet wurde. Der Blitzkrieg umging sie durch die belgischen Ardennen, die für Panzer als unpassierbar galten – was die Maginot-Linie völlig nutzlos machte."
Der Blitzkrieg (1940),Konzept,Der Sichelschnitt-Plan,"Plan von General von Manstein: Konzentration der Panzerverbände in den Ardennen, um im Zentrum durchzubrechen und den Ärmelkanal zu erreichen, wobei die in Belgien engagierten französisch-britischen Armeen eingekesselt wurden. Kühn und riskant, war dieser Plan ein totaler Erfolg."
Der Blitzkrieg (1940),Zugehöriges Ereignis,Operation Dynamo (Dünkirchen),"Evakuierung von 338.000 in Dünkirchen eingekesselten französisch-britischen Soldaten auf dem Seeweg durch eine improvisierte Flotte aus Militär- und Zivilschiffen. Dieses „Wunder“ ermöglichte es Großbritannien, den Krieg fortzusetzen, ließ Frankreich jedoch ohne Armee zurück."
