Nom du cours,Classification,Terme,Explication
A Magna Carta (1215),Conceito,O sistema feudal,Organização medieval fundada em laços pessoais: o suserano concede terras (feudo) em troca de serviço militar e fidelidade. A Magna Carta foi arrancada neste quadro contratual: os barões recordaram ao rei as suas obrigações.
A Magna Carta (1215),Evento relacionado,A perda da Normandia (1204),"Evento maior onde João Sem Terra perdeu as suas possessões face a Filipe II Augusto, provocando a crise fiscal na origem da Magna Carta."
A Magna Carta (1215),Conceito,O habeas corpus,"Princípio jurídico que protege contra detenções arbitrárias: qualquer pessoa detida deve ser apresentada a um juiz. Herança direta da cláusula 39 da Magna Carta, tornou-se um pilar do direito anglo-saxão."
A Peste Negra na Europa (1347-1353),Conceito,A teoria dos miasmas,Crença médica medieval segundo a qual as doenças eram causadas por vapores impuros emanando de águas estagnadas e de cadáveres. Ela explica a impotência total da medicina perante a Peste - não se podia curar o que não se compreendia.
A Peste Negra na Europa (1347-1353),Lugar / instituição,As repúblicas mercantis italianas,"Génova e Veneza, cujos navios comerciais ligavam o Mar Negro à Europa, foram os vetores da epidemia. Navios genoveses introduziram a peste na Sicília em 1347, propagando a bactéria através das suas redes comerciais mediterrânicas."
A Peste Negra na Europa (1347-1353),Evento relacionado,Os pogroms de judeus (1348-1349),"Acusados de envenenarem os poços, dezenas de milhares de judeus foram massacrados na Alemanha e na França durante a Peste. O papa Clemente VI defendeu-os, mas foi pouco ouvido nas cidades devastadas que procuravam bodes expiatórios."
Joana d'Arc e a Guerra dos Cem Anos (1429),Evento,O Tratado de Troyes (1420),"Acordo pelo qual Carlos VI de França deserdou o seu filho, o delfim Carlos, em favor do rei de Inglaterra Henrique V, criando uma união dinástica franco-inglesa."
Joana d'Arc e a Guerra dos Cem Anos (1429),Conceito,A sagração de Reims,"Cerimónia pela qual o rei de França era ungido com o óleo santo, conferindo-lhe um carácter quase sagrado. Apenas um rei sagrado em Reims era plenamente legítimo aos olhos da Igreja e do povo - daí a urgência de Joana em levar Carlos VII até lá."
Joana d'Arc e a Guerra dos Cem Anos (1429),Referência histórica,Os Borguinhões,"Fação francesa aliada dos ingleses, liderada pelo duque de Borgonha (Filipe, o Bom, em 1429). A sua aliança com a Inglaterra foi rompida pelo tratado de Arras em 1435."
A queda de Constantinopla (1453),Evento relacionado,O saque de Constantinopla pela 4ª Cruzada (1204),"Os cruzados, desviados por Veneza, saquearam a Constantinopla cristã durante três dias em 1204. Este trauma enfraqueceu duradouramente Bizâncio e explica a desconfiança bizantina em relação ao Ocidente aquando do cerco de 1453."
A queda de Constantinopla (1453),Referência histórica,A diáspora grega e o Renascimento,"Os estudiosos gregos que fugiam de Constantinopla levaram os seus manuscritos para a Itália, contribuindo decisivamente para o Renascimento. A queda de Bizâncio acelerou paradoxalmente a renovação intelectual do Ocidente."
A queda de Constantinopla (1453),Conceito,O direito bizantino e a herança romana,"Constantinopla tinha conservado e transmitido o direito romano, a filosofia grega e a teologia cristã durante mil anos. A sua queda pôs fim a esta continuidade viva entre a Antiguidade e o mundo moderno."
O império asteca,Conceito,A cosmogonia dos Cinco Sóis,"Mito asteca: o universo já foi criado e destruído quatro vezes. O atual quinto sol só é mantido vivo pelos sacrifícios humanos. Esta cosmologia tornava os sacrifícios cosmicamente necessários - sem eles, o sol pararia."
O império asteca,Conceito,As chinampas,«Jardins flutuantes» criados no lago Texcoco: ilhas artificiais de lama e vegetais que permitiam uma agricultura muito produtiva. Tenochtitlán estava rodeada por uma rede de canais e terras cultivadas que alimentavam 200 000 habitantes.
O império asteca,Lugar / instituição,Tenochtitlán e Cidade do México,"Capital asteca fundada em 1325 numa ilhota do lago Texcoco, onde se encontra hoje a Cidade do México. Era uma das maiores cidades do mundo em 1519, com uma rede sofisticada de aquedutos e canais."
A descoberta da América (1492),Evento,A Reconquista espanhola (1492),O triunfo da tomada de Granada libertou recursos e criou um impulso de ambição nacional que explica o apoio de Isabel de Castela a Colombo.
A descoberta da América (1492),Personagem,Américo Vespúcio,Navegador florentino que compreendeu que as terras descobertas eram um continente desconhecido. O continente foi batizado em sua honra em 1507.
A descoberta da América (1492),Evento,O Tratado de Tordesilhas (1494),Acordo arbitrado pelo papa partilhando o mundo em duas esferas de influência entre a Espanha (oeste) e o Portugal (este).
A queda da Bastilha (1789),Conceito,O Antigo Regime e as três ordens,"Sociedade francesa dividida em três estados: Clero (1º), Nobreza (2º) e Terceiro Estado (97% da população, 3º). Nos Estados Gerais, cada ordem dispunha de apenas um voto em três, apesar da representatividade demográfica esmagadora do Terceiro."
A queda da Bastilha (1789),Conceito,A lettre de cachet,"Ordem real de prisão sem julgamento nem explicação, assinada pelo rei. A Bastilha simbolizava esse arbítrio real, embora em julho de 1789 contivesse apenas 7 prisioneiros - seu valor era puramente simbólico."
A estratégia de Napoleão em Ulm (1805),Conceito,O corpo de exército napoleônico,"Unidade militar autónoma de 15 000 a 30 000 homens incluindo todas as armas, capaz de combater sozinha durante vários dias. Esta inovação organizacional permitia a rapidez de manobra que fez a força de Napoleão."
A estratégia de Napoleão em Ulm (1805),Evento relacionado,A batalha de Trafalgar (21 de outubro de 1805),"Vitória naval decisiva de Nelson sobre a frota franco-espanhola, na mesma semana de Ulm. Ela pôs fim aos projetos de invasão da Inglaterra e explica por que Napoleão nunca conseguiu vencer a potência marítima britânica."
A estratégia de Napoleão em Ulm (1805),Conceito,O bloqueio continental,"Política económica napoleónica (1806) proibindo todo o comércio europeu com a Inglaterra, para a arruinar economicamente. A sua aplicação imperfeita forçou Napoleão a invadir a Península Ibérica e depois a Rússia."
A batalha de Waterloo (1815),Evento relacionado,O Congresso de Viena (1814-1815),"Reunião das potências europeias para reconstruir a ordem pós-napoleónica. Redenhou o mapa da Europa, restaurou as monarquias e criou o «Concerto Europeu» que manteve uma paz relativa durante quase um século."
A batalha de Waterloo (1815),Conceito,A Santa Aliança,"Pacto assinado em 1815 entre a Rússia, Áustria e Prússia para defender os princípios monárquicos contra as ideias revolucionárias. Foi o instrumento de repressão dos levantamentos liberais dos anos 1820-1830."
A batalha de Waterloo (1815),Personagem,O Marechal Ney,"Apelidado de «o bravo dos bravos», liderou a cavalaria francesa em Waterloo. Sua carga desastrosa contra os [carrés] britânicos, lançada cedo demais sem apoio de artilharia, foi um dos erros táticos fatais do dia."
A Comuna de Paris (1871),Evento relacionado,A guerra franco-prussiana (1870-1871),"Conflito desencadeado por Napoleão III, terminado pela derrota esmagadora de Sedan e pela captura do Imperador. A capitulação humilhante e o cerco de Paris criaram o terreno fértil para a Comuna."
A Comuna de Paris (1871),Personagem,Adolphe Thiers,"Chefe do governo provisório de Versalhes que ordenou o esmagamento da Comuna durante a «Semana Sangrenta» (21-28 de maio de 1871). Ex-jornalista e historiador, primeiro presidente da III República."
A Comuna de Paris (1871),Lugar / instituição,A Internacional Operária (1ª Internacional),"Organização fundada em Londres em 1864, reunindo sindicatos e partidos operários de vários países. Embora a Comuna não tenha sido sua Obra direta, Marx a celebrou como a primeira experiência de poder operário."
A Belle Époque (1871-1914),Evento relacionado,O caso Dreyfus (1894-1906),"Um oficial judeu, Alfred Dreyfus, foi injustamente condenado por espionagem por um estado-maior antissemita. O caso dividiu a França entre dreyfusards e antidreyfusards, revelando as tensões profundas da sociedade francesa."
A Belle Époque (1871-1914),Evento relacionado,A Conferência de Berlim (1884-1885),"Reunião das potências europeias para regular a partilha da África sem guerra entre elas. Em poucas décadas, a Europa colonizou 90% do continente africano, traçando fronteiras arbitrárias que ainda causam conflitos."
A Belle Époque (1871-1914),Conceito,O positivismo de Auguste Comte,"Filosofia segundo a qual a ciência resolverá todos os problemas humanos. Doutrina dominante da Belle Époque, explica o otimismo deste Período e seu abalo brutal pela guerra de 1914."
A batalha de Verdun (1916),Evento relacionado,A batalha do Somme (1916),Ofensiva franco-britânica lançada em 1º de julho de 1916 para aliviar Verdun. Causou 60.000 baixas britânicas apenas no primeiro dia - o dia mais mortal da história militar britânica.
A batalha de Verdun (1916),Conceito,A guerra de trincheiras,"Desde 1914, a frente ocidental tinha-se estabilizado numa rede de trincheiras do Mar do Norte à Suíça. Esta guerra de posição explica o porquê de batalhas como Verdun serem travadas em poucos quilómetros **quadrados** durante meses."
A batalha de Verdun (1916),Conceito,A artilharia pesada da Grande Guerra,"A artilharia representava 60-70% das perdas da Primeira Guerra Mundial. Os avanços técnicos desde 1870 tornaram as armas ofensivas muito mais poderosas do que as defesas, criando o impasse da guerra de trincheiras."
A Revolução Russa (1917),Personagem,Rasputin,Monge curandeiro siberiano que ganhou a influência da czarina Alexandra ao aliviar as crises de hemofilia do czarévitche Alexis. As suas alegadas interferências políticas e a sua imagem escandalosa desacreditaram profundamente a corte imperial.
A Revolução Russa (1917),Conceito,O marxismo-leninismo,"Ideologia que combina as teorias económicas de Marx (luta de classes, exploração do proletariado) e as inovações tácticas de Lénine (partido de vanguarda disciplinado, revolução organizada). É a ideologia dos bolcheviques que tomaram o poder em outubro de 1917."
A Revolução Russa (1917),Conceito,O Soviete de Petrogrado,"Conselho de delegados de operários e de soldados, eleito nas fábricas e quartéis. Em 1917, controlava realmente as ruas e o exército, criando um ""duplo poder"" instável face ao governo provisório legal."
A Grande Depressão (1929),Conceito,O padrão-ouro (Gold Standard),"Sistema monetário onde as moedas eram convertíveis em ouro a uma taxa fixa, limitando a capacidade dos Estados de criar moeda. Propagou mecanicamente a crise americana ao Mundo inteiro: quando os Estados Unidos reduziram a sua massa monetária, todos os países ligados ao ouro sofreram com isso."
A Grande Depressão (1929),Evento relacionado,O New Deal de Roosevelt (1933),"Conjunto de programas americanos que misturavam relançamento económico (grandes obras), reforma financeira (FDIC, SEC) e proteção social. Não pôs fim à crise, mas lançou as bases do Estado de Providência americano."
A Grande Depressão (1929),Conceito,A compra de ações com margem,"Prática que consiste em pedir empréstimos ao seu banco para comprar ações, apostando na sua valorização. Muito difundida nos anos 1920, ampliou a bolha e, durante o crash, forçou milhões de americanos a vender em urgência para pagar os seus empréstimos."
A batalha de Estalinegrado (1942-1943),Evento relacionado,A Operação Barbarossa (22 de junho de 1941),A invasão da URSS pela Alemanha: 3 milhões de soldados em uma frente de 3.000 km - a maior operação militar da história. O fracasso em tomar Moscou em 1941 forçou Hitler a focar seu esforço no sul e no petróleo do Cáucaso em 1942.
A batalha de Estalinegrado (1942-1943),Personagem,Friedrich Paulus,"Comandante do 6º exército alemão cercado. Hitler nomeou-o marechal de campo em 30 de janeiro de 1943 para incentivá-lo a morrer em vez de se render. Paulus capitulou no dia seguinte, tornando-se o primeiro marechal de campo alemão a ser capturado vivo."
A batalha de Estalinegrado (1942-1943),Conceito,A Operação Urano,"Contra-ofensiva soviética (19 de novembro de 1942) que cercou os 300.000 soldados do 6º exército em uma pinça gigante. Planejada por Jukhov e Vasilevski, transformou a defesa obstinada de Stalingrado em uma vitória estratégica decisiva."
Hiroshima e Nagasaki (1945),Conceito,A fissão nuclear,"Reação pela qual o núcleo de um átomo pesado (urânio 235, plutônio 239) se divide, libertando uma energia colossal e novos nêutrons que desencadeiam uma reação em cadeia. É o princípio da bomba atômica."
Hiroshima e Nagasaki (1945),Evento relacionado,A entrada em guerra da URSS contra o Japão (9 de agosto de 1945),"Stalin declarou guerra ao Japão exatamente no dia da bomba de Nagasaki, invadindo a Manchúria. Alguns historiadores acreditam que esta ameaça soviética foi tão determinante quanto as bombas na decisão da capitulação japonesa."
Hiroshima e Nagasaki (1945),Conceito,A doença das radiações (síndrome de irradiação aguda),"Síndrome causada pela exposição às radiações: náuseas, perda de cabelo, hemorragias internas, falência imunológica. Dezenas de milhares de sobreviventes morreram nas semanas seguintes desta doença ainda desconhecida pelos médicos."
Rosa Parks e Montgomery (1955),Lugar / instituição,A NAACP,"National Association for the Advancement of Colored People, fundada em 1909 para defender os direitos civis por meios legais. Rosa Parks era uma militante ativa da organização e tinha seguido formações em desobediência civil muito antes do seu gesto célebre."
Rosa Parks e Montgomery (1955),Conceito,As leis Jim Crow,"Conjunto de leis estaduais que instauraram a segregação racial no Sul americano após 1877. O seu nome provém de um personagem estereotipado de minstrel show. Organizavam uma separação total nas escolas, transportes, hospitais e todos os espaços públicos."
Rosa Parks e Montgomery (1955),Evento relacionado,Brown v. Board of Education (1954),"Acórdão do Supremo Tribunal americano declarando a segregação nas escolas públicas inconstitucional. Esta decisão deu um impulso jurídico ao movimento dos direitos civis e explica por que razão Montgomery foi, posteriormente, também contestada perante os tribunais."
A crise dos mísseis de Cuba (1962),Conceito,A destruição mútua assegurada (MAD),Doutrina nuclear segundo a qual nem os Estados Unidos nem a URSS poderiam sobreviver a uma guerra nuclear. Esta lógica de terror equilibrado dissuadia cada um de atacar e estrutura toda a dinâmica da crise de Cuba.
A crise dos mísseis de Cuba (1962),Evento relacionado,A Baía dos Porcos (abril de 1961),"Tentativa falhada de invasão de Cuba por exilados cubanos treinados pela CIA. O fracasso humilhante fragilizou Kennedy, encorajou Khrouchtchev a assumir riscos e reforçou Castro, criando as condições para a crise de 1962."
A crise dos mísseis de Cuba (1962),Referência histórica,Os mísseis Jupiter na Turquia,"Mísseis nucleares americanos instalados na Turquia em 1961, ao alcance da URSS. O acordo secreto final incluía a sua retirada discreta - concessão que Kennedy manteve secreta durante décadas para não parecer ceder à chantagem soviética."
A guerra da Argélia (1954-1962),Conceito,O estatuto de departamento francês,"Ao contrário dos protetorados (Marrocos, Tunísia), a Argélia era, desde 1848, composta por três departamentos franceses. Qualquer independência equivalia, portanto, juridicamente a uma amputação do território nacional - daí a intensidade do conflito política na metrópole."
A guerra da Argélia (1954-1962),Evento relacionado,O golpe dos generais (abril de 1961),"Tentativa de golpe de Estado por quatro generais opostos à independência. De Gaulle esmagou-o em quatro dias graças a um discurso radiofónico. Foi seguido pela criação da OAS, organização terrorista pró-Argélia francesa."
A guerra da Argélia (1954-1962),Referência histórica,Os pieds-noirs,"Apelido dos colonos de origem europeia instalados na Argélia. Cerca de um milhão deles tiveram de deixar o país em 1962 em condições traumáticas, abandonando os seus lares sob a ameaça 'a mala ou o caixão'."
A batalha de Dien Bien Phu (1954),Conceito,A guerra de guerrilha,"Estratégia das forças fracas contra um exército superior tecnicamente: evitar batalhas campais, acossar o inimigo, utilizar o terreno e o apoio popular, exaurir o adversário a longo prazo. O Viet-Minh destacou-se nela durante toda a guerra da Indochina."
A batalha de Dien Bien Phu (1954),Evento relacionado,Os acordos de Genebra (julho de 1954),"Acordos que puseram fim à guerra da Indochina: o Vietnã foi dividido no paralelo 17. Eleições de reunificação previstas para 1956 nunca foram organizadas, semeando as sementes da guerra americana que se seguiria."
A batalha de Dien Bien Phu (1954),Personagem,O general Võ Nguyên Giáp,"General em chefe do Viet-Minh, antigo professor de história autodidata em estratégia. O seu génio foi mandar transportar às costas de homens e em bicicletas dezenas de canhões pesados para as colinas que dominavam Dien Bien Phu - um feito logístico considerado impossível."
O genocídio arménio (1915-1916),Referência histórica,Os Jovens Turcos (Comité de União e Progresso),"Movimento nacionalista turco que derrubou o sultão Abdul Hamid II em 1908. O triumvirato Enver-Talaat-Cemal, nacionalistas extremistas, organizou o genocídio no contexto da guerra, num projeto de uma «Turquia etnicamente pura»."
O genocídio arménio (1915-1916),Evento relacionado,Os massacres hamidianos (1894-1896),"Primeira vaga de massacres de armênios sob o sultão Abdul Hamid II, causando entre 100 000 e 300 000 mortos. Este precedente não sancionado mostrou às futuras autoridades otomanas que tais crimes podiam ficar impunes."
O genocídio arménio (1915-1916),Conceito,A definição jurídica de genocídio,"O termo «genocídio» foi inventado pelo jurista Raphael Lemkin em 1944 precisamente a pensar nos armênios. A Convenção da ONU (1948) define-o como a intenção de destruir «no todo ou em parte» um grupo nacional, étnico, racial ou religioso."
A criação da ONU (1945),Evento relacionado,A conferência de Yalta (fevereiro de 1945),"Reunião entre Roosevelt, Churchill e Estaline que lançou as bases da ordem mundial do pós-guerra: partilha da Europa em zonas de influência, condições da entrada soviética contra o Japão, estrutura da ONU a criar."
A criação da ONU (1945),Conceito,O direito de veto no Conselho de Segurança,Cada um dos 5 membros permanentes pode bloquear qualquer resolução do Conselho por um simples voto «não». Este mecanismo paralisou o Conselho durante a Guerra Fria e continua com a Rússia e a China em numerosas crises contemporâneas.
A criação da ONU (1945),Lugar / instituição,O Tribunal Internacional de Justiça (TIJ),"Órgão judiciário da ONU sediado em Haia, que resolve os litígios entre Estados. Ao contrário do TPI (que julga indivíduos), ele julga Estados. As suas decisões são vinculativas, mas não possui um mecanismo de execução."
O nascimento da UE: da CECA a Maastricht,Conceito,A reconciliação franco-alemã,"Após três guerras em 70 anos, a França e a Alemanha fizeram da sua rivalidade o principal motor dos conflitos europeus. A CECA e, mais tarde, o tratado do Eliseu (1963) selaram uma amizade que se tornou o motor de toda a integração europeia."
O nascimento da UE: da CECA a Maastricht,Evento relacionado,O tratado de Maastricht (1992),"Tratado fundador da União Europeia que cria a cidadania europeia, lança o processo da moeda única (o euro em 2002), estabelece uma política externa comum e critérios rigorosos de convergência económica."
O nascimento da UE: da CECA a Maastricht,Conceito,As quatro liberdades do mercado comum,"Livre circulação de mercadorias, pessoas, serviços e capitais - fundamentos do mercado comum do tratado de Roma. Representam a integração económica mais avançada alguma vez realizada entre Estados soberanos."
O genocídio no Ruanda (1994),Evento relacionado,Os acordos de Arusha (agosto de 1993),"Acordo de paz entre o governo hutu e a Frente Patriótica Ruandesa. Os extremistas hutus, recusando qualquer partilha de poder, organizaram o genocídio para impedir a sua implementação."
O genocídio no Ruanda (1994),Lugar / instituição,A MINUAR e o general Dallaire,"A Missão da ONU comandada pelo o general canadiano Roméo Dallaire tinha 2 500 soldados no local. Dallaire alertou a ONU em janeiro de 1994 para um genocídio iminente, mas foi proibido de agir. A sua inação é hoje considerada uma falha histórica."
O genocídio no Ruanda (1994),Referência histórica,A Rádio das Mil Colinas (RTLM),"Rádio extremista hutu que, durante o genocídio, transmitia ao vivo a lista de pessoas a serem mortas e apelava ao extermínio dos tutsis, qualificados como «baratas». Constituiu uma ferramenta fundamental de coordenação dos massacres."
A queda do muro de Berlim (1989),Conceito,A Glasnost e a Perestroika,"Reformas de Gorbachev a partir de 1986: a glasnost (transparência) autorizava a crítica ao regime soviético, a perestroika (reestruturação) tentava reformar a economia. Estas desestabilizaram involuntariamente todo o bloco soviético."
A queda do muro de Berlim (1989),Evento relacionado,A Primavera de Praga (agosto de 1968),"Reforma liberal do comunismo na Tchecoslováquia, esmagada pela invasão dos tanques soviéticos. A decisão de Gorbachev de não repetir esta intervenção em 1989 foi, portanto, historicamente revolucionária."
A queda do muro de Berlim (1989),Personagem,Erich Honecker,"Secretário-geral da RDA desde 1971, tinha declarado que o Muro duraria «mais 50 ou 100 anos». Substituído a 18 de outubro de 1989, pouco antes da queda do Muro, morreu no exílio no Chile em 1994."
A Blitzkrieg (1940),Referência histórica,A linha Maginot,"Linha de fortificações construída pela França nos anos 1930 ao longo da fronteira franco-alemã. A Blitzkrieg contornou-a pelas Ardenas belgas, supostamente intransitáveis para os tanques - tornando a Maginot totalmente inútil."
A Blitzkrieg (1940),Conceito,O plano Sichelschnitt (golpe de foice),"Plano do general von Manstein: concentrar os blindados nas Ardenas para romper pelo centro e alcançar o Canal da Mancha, cercando os exércitos franco-britânicos destacados para a Bélgica. Audacioso e arriscado, este plano foi um sucesso total."
A Blitzkrieg (1940),Evento relacionado,A operação Dynamo (Dunkerque),"Evacuação marítima de 338 000 soldados franco-britânicos cercados em Dunquerque por uma frota improvisada de navios militares e civis. Este «milagre» permitiu à Grã-Bretanha prosseguir a guerra, mas deixou a França sem exército."
O Plano Marshall (1947-1952),Conceito,A doutrina Truman,Discurso de Truman (março de 1947) afirmando que os Estados Unidos apoiariam qualquer povo que resistisse à «submissão por pressões externas». Marcou o início oficial da Guerra Fria e a política de contenção do comunismo.
O Plano Marshall (1947-1952),Evento relacionado,O Kominform (1947),"Organização internacional comunista criada por Staline em resposta ao plano Marshall, para coordenar os partidos comunistas europeus. Forçou a Tchecoslováquia e a Polônia, que tinham aceitado a ajuda Marshall, a recusá-la."
O Plano Marshall (1947-1952),Conceito,O Wirtschaftswunder alemão,"«Milagre económico» da Alemanha Ocidental: entre 1950 e 1960, o seu PIB triplicou, passando de uma economia em ruínas para a primeira potência económica europeia. Em parte financiado pelo plano Marshall e favorecido pela reforma monetária de 1948."
A Guerra do Vietname (1955-1975),Conceito,A teoria dos dominós,"Teoria da política estrangeira americana segundo a qual se um país se tornasse comunista, os seus vizinhos cairiam uns atrás dos outros. Justificava o engajamento no Vietnã para «deter a progressão comunista no Sudeste Asiático»."
A Guerra do Vietname (1955-1975),Evento relacionado,A ofensiva do Tet (janeiro de 1968),"Ataque simultâneo do Viet Cong em mais de 100 cidades americanas durante o Ano Novo vietnamita. Militarmente um fracasso para Hanói, destruiu a credibilidade da administração Johnson nos Estados Unidos."
A Guerra do Vietname (1955-1975),Personagem,Ho Chi Minh,"Líder nacionalista e comunista, fundador do Viet-Minh (1941), primeiro presidente do Vietnã do Norte. A sua Legitimidade popular como libertador contra os japoneses e depois os franceses deu-lhe uma vantagem política que os Estados Unidos nunca conseguiram igualar."
O julgamento de Nuremberga (1945-1946),Conceito,Os crimes contra a humanidade,"Categoria jurídica inventada em Nuremberga para designar as perseguições e extermínios de civis. Ao contrário dos crimes de guerra, aplicam-se mesmo em tempo de paz e não prescrevem. Nuremberga distinguiu-os pela primeira vez."
O julgamento de Nuremberga (1945-1946),Conceito,A responsabilidade individual no direito internacional,Princípio estabelecido em Nuremberga: os indivíduos podem ser julgados por crimes internacionais mesmo que agissem em nome de um Estado. «Obedecer a ordens» não é uma defesa admissível - princípio fundador do direito penal internacional.
O julgamento de Nuremberga (1945-1946),Lugar / instituição,O Tribunal Penal Internacional (TPI),"Herdeira dos Princípios de Nuremberga, criada em 2002 pelo Estatuto de Roma para julgar genocídio, crimes contra a humanidade e crimes de guerra. 124 países a ratificaram, mas não os Estados Unidos, a Rússia nem a China."
A descolonização: panorama (1945-1975),Conceito,A Carta do Atlântico (1941),"Declaração conjunta Roosevelt-Churchill afirmando o direito dos povos à autodeterminação. Utilizada pelos movimentos independentistas como argumento contra os seus colonizadores, criou uma contradição ideológica que os impérios não puderam resolver."
A descolonização: panorama (1945-1975),Evento relacionado,A conferência de Bandung (1955),"Primeira reunião dos países da Ásia e da África independentes (29 nações), afirmando os princípios de não-alinhamento e de anticolonialismo. Marcou o nascimento do «Terceiro Mundo» como força política internacional."
A descolonização: panorama (1945-1975),Conceito,O neocolonialismo,"Termo que descreve as formas de dominação económica e política exercidas pelas antigas potências coloniais sobre as suas ex-colónias formalmente independentes, através de multinacionais, da dívida e de bases militares."
O apartheid e Mandela (1948-1994),Conceito,Os bantustões,«Homelands» aos quais os negros eram designados de acordo com o seu grupo étnico sob o apartheid. Estes territórios inviáveis representavam 13% do território sul-africano para 80% da população - uma segregação geográfica total.
O apartheid e Mandela (1948-1994),Evento relacionado,O massacre de Sharpeville (março de 1960),"A polícia abriu fogo contra uma manifestação pacífica contra as leis de passe, matando 69 pessoas. O choque mundial provocou a proibição do ANC e levou Mandela a criar o braço armado da resistência."
O apartheid e Mandela (1948-1994),Conceito,A Comissão de Verdade e Reconciliação (CVR),"Instituída após 1994, permitia aos autores de crimes de apartheid obter a amnistia em troca de uma confissão pública completa. Presidida por Desmond Tutu, escolheu a reconciliação nacional em vez de julgamentos."
A Revolução Cultural na China (1966-1976),Conceito,O Grande Salto Adiante (1958-1962),Programa de coletivização forçada lançado por Mao que causou a maior fome da história humana: entre 15 e 55 milhões de mortos. Seu fracasso explica o afastamento político de Mao e sua necessidade de retomar o controle via Revolução Cultural.
A Revolução Cultural na China (1966-1976),Conceito,Os Guardas Vermelhos,"Juventudes revolucionárias mobilizadas por Mao para atacar as «quatro velharias». Eles humilharam milhões de professores, médicos, intelectuais e quadros do Partido durante sessões públicas de crítica e de autoconfissão forçada."
A Revolução Cultural na China (1966-1976),Personagem,Deng Xiaoping,"Duas vezes expurgado durante a Revolução Cultural, tornou-se o verdadeiro dirigente da China após a morte de Mao (1976) e o pai das reformas económicas. O seu pragmatismo transformou a China numa potência mundial."
A Shoah: mecanismos de um genocídio,Evento relacionado,A conferência de Wannsee (janeiro de 1942),Reunião de 15 altos funcionários nazis onde foi planeada e coordenada a «Solução Final»: o extermínio sistemático dos judeus da Europa através dos campos da morte. Demonstrou que o genocídio era uma decisão de Estado organizada burocraticamente.
A Shoah: mecanismos de um genocídio,Conceito,Os Einsatzgruppen,"Unidades móveis de extermínio da SS que seguiram o exército durante a invasão da URSS. Fusilaram cerca de 1,5 milhão de judeus soviéticos. O massacre de Babi Yar (33 771 mortos em dois dias) é o exemplo mais conhecido."
A Shoah: mecanismos de um genocídio,Conceito,A «banalidade do mal» (Hannah Arendt),Conceito da filósofa desenvolvido durante o julgamento de Eichmann: os piores crimes podem ser cometidos por indivíduos comuns e burocráticos que «fazem o seu trabalho» sem refletir sobre as consequências morais dos seus atos.
