Nom du cours,Classification,Terme,Explication
La Magna Carta (1215),Concepto,El sistema feudal,Organización medieval basada en vínculos personales: el soberano otorga tierras (feudo) a cambio de servicio militar y fidelidad. La Magna Carta fue arrancada en este marco contractual: los barones recordaron al rey sus obligaciones.
La Magna Carta (1215),Evento relacionado,La pérdida de Normandía (1204),"Evento mayor donde Juan sin Tierra perdió sus posesiones frente a Felipe II Augusto, provocando la crisis fiscal que dio origen a la Magna Carta."
La Magna Carta (1215),Concepto,El habeas corpus,"Principio jurídico que protege contra los arrestos arbitrarios: toda persona detenida debe ser presentada ante un juez. Herencia directa de la cláusula 39 de la Magna Carta, se ha convertido en un pilar del derecho anglosajón."
La Peste Negra en Europa (1347-1353),Concepto,La teoría de los miasmas,Creencia médica medieval según la cual las enfermedades eran causadas por vapores impuros que emanaban de aguas estancadas y cadáveres. Explica la impotencia total de la medicina ante la Peste: no se podía curar lo que no se comprendía.
La Peste Negra en Europa (1347-1353),Lugar / institución,Las repúblicas marítimas italianas,"Génova y Venecia, cuyos barcos comerciales unían el Mar Negro con Europa, fueron los vectores de la epidemia. Barcos genoveses introdujeron la peste en Sicilia en 1347, propagando la bacteria a través de sus redes comerciales mediterráneas."
La Peste Negra en Europa (1347-1353),Evento relacionado,Los pogromos contra los judíos (1348-1349),Juana de Arco y la Guerra de los Cien Años (1429)
Juana de Arco y la Guerra de los Cien Años (1429),Evento,El tratado de Troyes (1420),Juana de Arco y la Guerra de los Cien Años (1429)
Juana de Arco y la Guerra de los Cien Años (1429),Concepto,La consagración de Reims,Juana de Arco y la Guerra de los Cien Años (1429)
Juana de Arco y la Guerra de los Cien Años (1429),Referencia histórica,Los borgoñones,La caída de Constantinopla (1453)
La caída de Constantinopla (1453),Evento relacionado,El saqueo de Constantinopla por la cuarta cruzada (1204),La caída de Constantinopla (1453)
La caída de Constantinopla (1453),Referencia histórica,La diáspora griega y el Renacimiento,"Los sabios griegos que huían de Constantinopla llevaron sus manuscritos a Italia, contribuyendo decisivamente al Renacimiento. La caída de Bizancio aceleró paradójicamente la renovación intelectual de Occidente."
La caída de Constantinopla (1453),Concepto,El derecho bizantino y el legado romano,"Constantinopla había conservado y transmitido el derecho romano, la filosofía griega y la teología cristiana durante mil años. Su caída puso fin a esta continuidad viva entre la Antigüedad y el mundo moderno."
El imperio azteca,Concepto,La cosmogonía de los Cinco Soles,"Mito azteca: el universo ya ha sido creado y destruido cuatro veces. El quinto sol actual solo se mantiene con vida mediante sacrificios humanos. Esta cosmología hacía que los sacrificios fueran cósmicamente necesarios; sin ellos, el sol se detendría."
El imperio azteca,Concepto,Las chinampas,«Jardines flotantes» creados en el lago Texcoco: islas artificiales de lodo y vegetales que permitían una agricultura muy productiva. Tenochtitlán estaba rodeada de una red de canales y tierras cultivadas que alimentaban a 200 000 habitantes.
El imperio azteca,Lugar / institución,Tenochtitlán y la Ciudad de México,"Capital azteca fundada en 1325 sobre un islote del lago Texcoco, allí donde se encuentra hoy la Ciudad de México. Era una de las ciudades más grandes del Mundo en 1519, con una sofisticada red de acueductos y canales."
El descubrimiento de América (1492),Evento,La Reconquista española (1492),El triunfo de la toma de Granada liberó recursos y creó un impulso de ambición nacional que explica el apoyo de Isabel de Castilla a Colón.
El descubrimiento de América (1492),Personaje,Amerigo Vespucci,Navegante florentino que comprendió que las tierras descubiertas eran un continente desconocido. El continente fue bautizado en su honor en 1507.
El descubrimiento de América (1492),Evento,El Tratado de Tordesillas (1494),Acuerdo arbitrado por el papa que dividía el Mundo en dos esferas de influencia entre España (oeste) y Portugal (este).
La toma de la Bastilla (1789),Concepto,El Antiguo Régimen y los tres estamentos,"Sociedad francesa dividida en tres estados: Clero (1.º), Nobleza (2.º) y Tercer Estado (97% de la población, 3.º). En los Estados Generales, cada estamento disponía de un solo voto de tres, a pesar de la representatividad demográfica abrumadora del Tercer Estado."
La toma de la Bastilla (1789),Concepto,La lettre de cachet,"Orden real de encarcelamiento sin juicio ni explicación, firmada por el rey. La Bastilla simbolizaba esta arbitrariedad real, aunque en julio de 1789 solo contenía a 7 prisioneros; su valor era puramente simbólico."
La estrategia de Napoleón en Ulm (1805),Concepto,El cuerpo de ejército napoleónico,"Unidad militar autónoma de 15 000 a 30 000 hombres que incluía todas las armas, capaz de combatir sola durante varios días. Esta innovación organizativa permitía la rapidez de maniobra que constituyó la fuerza de Napoleón."
La estrategia de Napoleón en Ulm (1805),Evento relacionado,La batalla de Trafalgar (21 de octubre de 1805),"Victoria naval decisiva de Nelson sobre la flota franco-española, la misma semana de Ulm. Puso fin a los proyectos de invasión de Inglaterra y explica por qué Napoleón nunca pudo vencer al poder marítimo británico."
La estrategia de Napoleón en Ulm (1805),Concepto,El bloqueo continental,Política económica napoleónica (1806) que prohibía todo comercio europeo con Inglaterra para arruinarla económicamente. Su aplicación imperfecta obligó a Napoleón a invadir la península ibérica y luego Rusia.
La batalla de Waterloo (1815),Evento relacionado,El Congreso de Viena (1814-1815),"Reunión de las potencias europeas para reconstruir el orden post-napoleónico. Redibujó el mapa de Europa, restauró las monarquías y creó el «Concierto europeo» que mantuvo una paz relativa durante casi un siglo."
La batalla de Waterloo (1815),Concepto,La Santa Alianza,"Pacto firmado en 1815 entre Rusia, Austria y Prusia para defender los principios monárquicos contra las ideas revolucionarias. Fue el instrumento de represión de los levantamientos liberales de los años 1820-1830."
La batalla de Waterloo (1815),Personaje,El mariscal Ney,"Apodado «el valiente entre los valientes», dirigió la caballería francesa en Waterloo. Su carga desastrosa contra los **Cuadrados** británicos, lanzada demasiado pronto sin apoyo de artillería, fue uno de los errores tácticos fatales de la jornada."
La Comuna de Paris (1871),Evento relacionado,La guerra franco-prusiana (1870-1871),"Conflicto desencadenado por **Napoleón III**, terminado por la derrota aplastante de Sedán y la captura del Emperador. La capitulación humillante y el sitio de París crearon el caldo de cultivo de la Comuna."
La Comuna de Paris (1871),Personaje,Adolphe Thiers,"Jefe del gobierno provisional de Versalles que ordenó el aplastamiento de la Comuna durante la «Semana Sangrienta» (21-28 de mayo de 1871). Antiguo periodista e historiador, primer presidente de la III República."
La Comuna de Paris (1871),Lugar / institución,La Internacional Obrera (1.ª Internacional),"Organización fundada en Londres en 1864, que agrupaba a sindicatos y partidos obreros de varios países. Aunque la Comuna no fue su **Obra** directa, Marx la celebró como la primera experiencia de poder obrero."
La Belle Époque (1871-1914),Evento relacionado,El caso Dreyfus (1894-1906),"Un oficial judío, Alfred Dreyfus, fue condenado injustamente por espionaje por un estado mayor antisemita. El asunto desgarró a Francia entre dreyfusards y antidreyfusards, revelando las tensiones profundas de la sociedad francesa."
La Belle Époque (1871-1914),Evento relacionado,La Conferencia de Berlín (1884-1885),"Reunión de las potencias europeas para regular el reparto de África sin guerra entre ellas. En pocas décadas, Europa colonizó el 90 % del continente africano, trazando fronteras arbitrarias que todavía causan conflictos."
La Belle Époque (1871-1914),Concepto,El positivismo de Auguste Comte,"Filosofía según la cual la ciencia resolverá todos los problemas humanos. Doctrina dominante de la Belle Époque, explica el optimismo de este **Periodo** y su brusca sacudida por la guerra de 1914."
La batalla de Verdun (1916),Evento relacionado,La batalla del Somme (1916),Ofensiva franco-británica lanzada el 1 de julio de 1916 para aliviar Verdún. Causó 60 000 bajas británicas solo el primer día - el día más sangriento de la historia militar británica.
La batalla de Verdun (1916),Concepto,La guerra de trincheras,"Desde 1914, el frente occidental se había estabilizado en una red de trincheras desde el Mar del Norte hasta Suiza. Esta guerra de posición explica por qué batallas como Verdún se libraron en unos pocos kilómetros **Cuadrado**s durante meses."
La batalla de Verdun (1916),Concepto,La artillería pesada de la Gran Guerra,"La artillería representaba el 60-70% de las bajas de la Primera Guerra Mundial. Los progresos **Técnica**s desde 1870 habían vuelto las armas ofensivas mucho más potentes que las defensivas, creando el estancamiento de la guerra de trincheras."
La Revolución rusa (1917),Personaje,Rasputín,Monje sanador siberiano que se ganó la influencia de la zarina Alejandra al aliviar las crisis de hemofilia del zarevich Alexis. Sus presuntas injerencias **política**s y su imagen escandalosa desacreditaron profundamente a la corte imperial.
La Revolución rusa (1917),Concepto,El marxismo-leninismo,"Idéología que combina las **Teoría**s económicas de Marx (lucha de clases, explotación del proletariado) y las innovaciones tácticas de Lenin (partido de vanguardia disciplinado, revolución organizada). Es la ideología de los bolcheviques que tomaron el poder en octubre de 1917."
La Revolución rusa (1917),Concepto,El Sóviet de Petrogrado,"Consejo de delegados de obreros y soldados, elegido en fábricas y cuarteles. En 1917, controlaba realmente las calles y el ejército, creando un «doble poder» inestable frente al gobierno provisional legal."
La Gran Depresión (1929),Concepto,El patrón oro (Gold Standard),"Sistema monetario donde las monedas eran convertibles en oro a una tasa fija, limitando la capacidad de los Estados para crear moneda. Propagó mecánicamente la crisis estadounidense al Mundo entero: cuando los Estados Unidos redujeron su masa monetaria, todos los países vinculados al oro sufrieron."
La Gran Depresión (1929),Evento relacionado,El New Deal de Roosevelt (1933),"Conjunto de programas estadounidenses que mezclaban reactivación económica (grandes obras), reforma financiera (FDIC, SEC) y protección social. No puso fin a la crisis pero sentó las bases de la Providencia estadounidense."
La Gran Depresión (1929),Concepto,La compra de acciones con margen,"Práctica consistente en pedir prestado al banco para comprar acciones apostando por su subida. Muy extendida en la década de 1920, amplificó la burbuja y, durante el crac, obligó a millones de estadounidenses a vender de urgencia para devolver sus préstamos."
La batalla de Stalingrado (1942-1943),Evento relacionado,La Operación Barbarroja (22 de junio de 1941),"La invasión de la URSS por parte de Alemania: 3 millones de soldados en un frente de 3 000 km, la mayor operación militar de la historia. El fracaso en la toma de Moscú en 1941 obligó a Hitler a centrar su esfuerzo hacia el sur y el petróleo del Cáucaso en 1942."
La batalla de Stalingrado (1942-1943),Personaje,Friedrich Paulus,"Comandante del 6.º Ejército alemán cercado. Hitler lo nombró mariscal de campo el 30 de enero de 1943 para incitarlo a morir antes que rendirse. Paulus capituló al día siguiente, convirtiéndose en el primer mariscal de campo alemán capturado vivo."
La batalla de Stalingrado (1942-1943),Concepto,La Operación Urano,"Contraofensiva soviética (19 de noviembre de 1942) que rodeó a los 300 000 soldados del 6.º Ejército en una pinza gigante. Planificada por Zhúkov y Vasilevski, transformó la defensa encarnizada de Stalingrado en una victoria estratégica decisiva."
Hiroshima y Nagasaki (1945),Concepto,La fisión nuclear,"Reacción por la cual el núcleo de un átomo pesado (uranio 235, plutonio 239) se divide liberando una energía colosal y nuevos neutrones que desencadenan una reacción en cadena. Es el principio de la bomba atómica."
Hiroshima y Nagasaki (1945),Evento relacionado,La entrada en guerra de la URSS contra el Japón (9 de agosto de 1945),"Stalin declaró la guerra a Japón exactamente el día de la bomba de Nagasaki, invadiendo Manchuria. Algunos historiadores consideran que esta amenaza soviética fue tan determinante como las bombas en la decisión de la capitulación japonesa."
Hiroshima y Nagasaki (1945),Concepto,La enfermedad por radiación (síndrome de irradiación aguda),"Síndrome provocado por la exposición a las radiaciones: náuseas, pérdida de cabello, hemorragias internas, fallo inmunitario. Decenas de miles de supervivientes murieron en las semanas siguientes debido a esta enfermedad, todavía desconocida para los médicos."
Rosa Parks y Montgomery (1955),Lugar / institución,La NAACP,"National Association for the Advancement of Colored People, fundada en 1909 para defender los derechos civiles mediante medios legales. Rosa Parks era una militante activa de la misma y había recibido formación sobre desobediencia civil mucho antes de su famoso gesto."
Rosa Parks y Montgomery (1955),Concepto,Las leyes Jim Crow,"Conjunto de leyes estatales que instauraron la segregación racial en el Sur estadounidense después de 1877. Su nombre proviene de un personaje estereotipado de minstrel show. Organizaban una separación total en las escuelas, transportes, hospitales y todos los espacios públicos."
Rosa Parks y Montgomery (1955),Evento relacionado,Brown v. Board of Education (1954),Sentencia de la Corte Suprema estadounidense que declaró inconstitucional la segregación en las escuelas públicas. Esta decisión dio un impulso jurídico al movimiento por los derechos civiles y explica por qué Montgomery fue después también impugnada ante los tribunales.
La crisis de los misiles de Cuba (1962),Concepto,La destrucción mutua asegurada (MAD),Doctrina nuclear según la cual ni los Estados Unidos ni la URSS podrían sobrevivir a una guerra nuclear. Esta lógica de terror equilibrado disuadía a cada uno de atacar y estructura toda la dinámica de la crisis de Cuba.
La crisis de los misiles de Cuba (1962),Evento relacionado,La Bahía de Cochinos (abril de 1961),"Intento fallido de invasión de Cuba por exiliados cubanos entrenados por la CIA. El fracaso humillante debilitó a Kennedy, alentó a Jrushchov a correr riesgos y reforzó a Castro, creando las condiciones para la crisis de 1962."
La crisis de los misiles de Cuba (1962),Referencia histórica,Los misiles Jupiter en Turquía,"Misiles nucleares estadounidenses instalados en Turquía en 1961, al alcance de la URSS. El acuerdo secreto final incluyó su retirada discreta - concesión que Kennedy mantuvo en secreto durante décadas para no parecer ceder al chantaje soviético."
La guerra de Argelia (1954-1962),Concepto,El estatus de departamento francés,"A diferencia de los protectorados (Marruecos, Túnez), Argelia era desde 1848 tres departamentos franceses. Por lo tanto, cualquier independencia equivalía jurídicamente a una amputación del territorio nacional - de ahí la intensidad del conflicto política en la metrópoli."
La guerra de Argelia (1954-1962),Evento relacionado,El golpe de los generales (abril de 1961),"Intento de golpe de Estado por cuatro generales opuestos a la independencia. De Gaulle lo aplastó en cuatro días gracias a un discurso radiofónico. Fue seguido por la creación de la OAS, organización terrorista pro-Argelia francesa."
La guerra de Argelia (1954-1962),Referencia histórica,Los pieds-noirs,"Apodo de los colonos de origen europeo establecidos en Argelia. Casi un millón de ellos tuvieron que abandonar el país en 1962 en condiciones traumáticas, dejando atrás sus hogares bajo la amenaza de 'la maleta o el ataúd'."
La batalla de Dien Bien Phu (1954),Concepto,La guerra de guerrillas,"Estrategia de fuerzas débiles contra un ejército técnicamente superior: evitar las batallas campales, hostigar al enemigo, utilizar el terreno y el apoyo popular, y agotar al adversario a largo plazo. El Viet-Minh sobresalió en ella durante toda la guerra de Indochina."
La batalla de Dien Bien Phu (1954),Evento relacionado,Los acuerdos de Ginebra (julio de 1954),"Acuerdos que pusieron fin a la guerra de Indochina: Vietnam fue dividido en el paralelo 17. Las elecciones de reunificación previstas para 1956 nunca se organizaron, sembrando las semillas de la guerra estadounidense que seguiría."
La batalla de Dien Bien Phu (1954),Personaje,El general Võ Nguyên Giáp,"General en jefe del Viet-Minh, antiguo profesor de historia autodidacta en estrategia. Su genio consistió en hacer transportar a lomos de hombres y en bicicletas decenas de cañones pesados a las colinas que dominaban Dien Bien Phu, una hazaña logística considerada imposible."
El genocidio armenio (1915-1916),Referencia histórica,Los Jóvenes Turcos (Comité de Unión y Progreso),"Movimiento nacionalista turco que derrocó al sultán Abdul Hamid II en 1908. El triunvirato Enver-Talaat-Cemal, nacionalistas extremistas, organizó el genocidio en el contexto de la guerra, dentro de un proyecto de una «Turquía étnicamente pura»."
El genocidio armenio (1915-1916),Evento relacionado,Las masacres hamidianas (1894-1896),"Primera ola de masacres de armenios bajo el sultán Abdul Hamid II, que causaron entre 100 000 y 300 000 muertes. Este precedente no sancionado mostró a las futuras autoridades otomanas que tales crímenes podían quedar impunes."
El genocidio armenio (1915-1916),Concepto,La definición jurídica de genocidio,"El término «genocidio» fue inventado por el jurista Raphael Lemkin en 1944 precisamente pensando en los armenios. La Convención de la ONU (1948) lo define como la intención de destruir «en todo o en parte» a un grupo nacional, étnico, racial o religioso."
La creación de la ONU (1945),Evento relacionado,La conferencia de Yalta (febrero de 1945),"Reunión entre Roosevelt, Churchill y Stalin que sentó las bases del orden mundial de posguerra: reparto de Europa en zonas de influencia, condiciones de la entrada soviética contra Japón y la estructura de la ONU por crear."
La creación de la ONU (1945),Concepto,El derecho de veto en el Consejo de Seguridad,Cada uno de los 5 miembros permanentes puede bloquear cualquier resolución del Consejo mediante un simple voto «no». Este mecanismo paralizó al Consejo durante la Guerra Fría y continúa con Rusia y China en numerosas crisis contemporáneas.
La creación de la ONU (1945),Lugar / institución,La Corte Internacional de Justicia (CIJ),"Órgano judicial de la ONU con sede en La Haya, que resuelve los conflictos entre Estados. A diferencia de la CPI (que juzga a individuos), esta juzga a Estados. Sus decisiones son vinculantes pero no dispone de un mecanismo de ejecución."
El nacimiento de la UE: de la CECA a Maastricht,Concepto,La reconciliación franco-alemana,"Tras tres guerras en 70 años, Francia y Alemania hicieron de su rivalidad el principal motor de los conflictos europeos. La CECA y posteriormente el Tratado del Elíseo (1963) sellaron una amistad que se convirtió en el motor de toda la integración europea."
El nacimiento de la UE: de la CECA a Maastricht,Evento relacionado,El tratado de Maastricht (1992),"Tratado fundacional de la Unión Europea que crea la ciudadanía europea, lanza el proceso de moneda única (el euro en 2002), instaura una política exterior común y criterios estrictos de convergencia económica."
El nacimiento de la UE: de la CECA a Maastricht,Concepto,Las cuatro libertades del mercado común,"Libre circulación de mercancías, personas, servicios y capitales - pilares del mercado común del Tratado de Roma. Representan la integración económica más avanzada jamás lograda entre Estados soberanos."
El genocidio ruandés (1994),Evento relacionado,Los acuerdos de Arusha (agosto de 1993),"Acuerdo de paz entre el gobierno hutu y el FPR (Frente Patriotique Rwandais). Los extremistas hutus, al rechazar cualquier reparto del poder, organizaron el genocidio para impedir que se pusiera en marcha."
El genocidio ruandés (1994),Lugar / institución,La UNAMIR y el general Dallaire,"La Misión de la ONU comandada por el general canadiense Roméo Dallaire contaba con 2 500 soldados en el terreno. Dallaire advirtió a la ONU ya en enero de 1994 sobre un genocidio inminente, pero se le prohibió actuar. Su inacción se considera hoy una falta histórica."
El genocidio ruandés (1994),Referencia histórica,La Radio de las Mil Colinas (RTLM),"Radio extremista hutu que, durante el genocidio, difundía en directo la lista de personas a matar y llamaba al exterminio de los tutsis, calificados de «cucarachas». Fue una herramienta fundamental para la coordinación de las masacres."
La caída del muro de Berlín (1989),Concepto,La Glásnost y la Perestroika,"Reformas de Gorbachov a partir de 1986: la glásnost (transparencia) autorizaba la crítica al régimen soviético, la perestroika (reestructuración) intentaba reformar la economía. Desestabilizaron involuntariamente todo el bloque soviético."
La caída del muro de Berlín (1989),Evento relacionado,La Primavera de Praga (agosto de 1968),"Reforma liberal del comunismo en Checoslovaquia, aplastada por la invasión de los tanques soviéticos. La decisión de Gorbachov de no repetir esta intervención en 1989 fue, por tanto, históricamente revolucionaria."
La caída del muro de Berlín (1989),Personaje,Erich Honecker,"Secretario general de la RDA desde 1971, había declarado que el Muro duraría «otros 50 o 100 años». Reemplazado el 18 de octubre de 1989, justo antes de la caída del Muro, murió en el exilio en Chile en 1994."
La Blitzkrieg (1940),Referencia histórica,La línea Maginot,"Línea de fortificaciones construida por Francia en los años 1930 a lo largo de la frontera franco-alemana. La Blitzkrieg la rodeó por las Ardenas belgas, supuestamente impracticables para los tanques - haciendo que la Maginot fuera totalmente inútil."
La Blitzkrieg (1940),Concepto,El plan Sichelschnitt (golpe de hoz),"Plan del general von Manstein: concentrar los blindados en las Ardenas para romper por el centro y llegar al Canal de la Mancha, rodeando a los ejércitos franco-británicos desplegados en Bélgica. Audaz y arriesgado, este plan fue un éxito total."
La Blitzkrieg (1940),Evento relacionado,La operación Dynamo (Dunkerque),"Evacuación marítima de 338 000 soldados franco-británicos rodeados en Dunquerque por una flotilla improvisada de buques militares y civiles. Este «milagro» permitió a Gran Bretaña continuar la guerra, pero dejó a Francia sin ejército."
El plan Marshall (1947-1952),Concepto,La doctrina Truman,Discurso de Truman (marzo de 1947) afirmando que los Estados Unidos apoyarían a cualquier pueblo que resistiera a la «sumisión por presiones externas». Marcó el inicio oficial de la Guerra Fría y la política de contención del comunismo.
El plan Marshall (1947-1952),Evento relacionado,El Kominform (1947),"Organización internacional comunista creada por Stalin en respuesta al plan Marshall, para coordinar a los partidos comunistas europeos. Obligó a Checoslovaquia y Polonia, que habían aceptado la ayuda Marshall, a rechazarla."
El plan Marshall (1947-1952),Concepto,El Wirtschaftswunder alemán,"«Milagro económico» de Alemania Occidental: entre 1950 y 1960, su PIB se triplicó, pasando de una economía en ruinas a ser la primera potencia económica europea. En parte financiado por el plan Marshall y favorecido por la reforma monetaria de 1948."
La guerra de Vietnam (1955-1975),Concepto,La teoría del dominó,"Teoría de la política extranjera estadounidense según la cual si un país se volvía comunista, sus vecinos caerían uno tras otro. Justificaba la implicación en Vietnam para «detener la progresión comunista en el Sudeste Asiático»."
La guerra de Vietnam (1955-1975),Evento relacionado,La ofensiva del Tet (enero de 1968),"Ataque simultáneo del Viet Cong en más de 100 ciudades estadounidenses durante el Año Nuevo vietnamita. Militarmente un fracaso para Hanói, destruyó la credibilidad de la administración Johnson en los Estados Unidos."
La guerra de Vietnam (1955-1975),Personaje,Ho Chi Minh,"Líder nacionalista y comunista, fundador del Viet-Minh (1941), primer presidente de Vietnam del Norte. Su legitimidad popular como libertador contra los japoneses y luego contra los franceses le dio una ventaja política que los Estados Unidos nunca pudieron igualar."
El proceso de Núremberg (1945-1946),Concepto,Los crímenes contra la humanidad,"Categoría jurídica inventada en Núremberg para designar las persecuciones y exterminios de civiles. A diferencia de los crímenes de guerra, se aplican incluso en tiempos de paz y no prescriben. Núremberg los distinguió por primera vez."
El proceso de Núremberg (1945-1946),Concepto,La responsabilidad individual en derecho internacional,Principio establecido en Núremberg: los individuos pueden ser juzgados por crímenes internacionales incluso si actuaban en nombre de un Estado. «Obedecer órdenes» no es una defensa admisible - principio fundador del derecho penal internacional.
El proceso de Núremberg (1945-1946),Lugar / institución,La Corte Penal Internacional (CPI),"Heredera de los **Principios de Nuremberg**, creada en 2002 por el Estatuto de Roma para juzgar **genocidio**, **crímenes de lesa humanidad** y crímenes de guerra. 124 países la han ratificado, pero no los Estados Unidos, Rusia ni China."
La descolonización: panorama (1945-1975),Concepto,La Carta del Atlántico (1941),"Declaración conjunta Roosevelt-Churchill que afirma el derecho de los pueblos a la autodeterminación. Utilizada por los movimientos independentistas como argumento contra sus colonizadores, creó una contradicción ideológica que los imperios no pudieron resolver."
La descolonización: panorama (1945-1975),Evento relacionado,La conferencia de Bandung (1955),"Primera reunión de los países de Asia y África independientes (29 naciones), afirmando los principios de no alineación y anticolonialismo. Marcó el nacimiento del «Tercer **Mundo**» como fuerza **política** internacional."
La descolonización: panorama (1945-1975),Concepto,El neocolonialismo,"Término que describe las formas de dominación económica y **política** ejercidas por las antiguas potencias coloniales sobre sus excolonias formalmente independientes, a través de las multinacionales, la deuda y las bases militares."
El apartheid y Mandela (1948-1994),Concepto,Los bantustanes,«Homelands» a los que los negros eran asignados según su grupo étnico bajo el **apartheid**. Estos territorios no viables representaban el 13% del territorio sudafricano para el 80% de la población - una **segregación** geográfica total.
El apartheid y Mandela (1948-1994),Evento relacionado,La matanza de Sharpeville (marzo de 1960),"La policía abrió fuego contra una manifestación pacífica contra las **Leyes** de pases, matando a 69 personas. El choque mundial provocó la prohibición del **ANC** y empujó a Mandela a crear el brazo armado de la resistencia."
El apartheid y Mandela (1948-1994),Concepto,La Comisión para la Verdad y la Reconciliación (CVR),"Instituida después de 1994, permitía a los autores de crímenes de **apartheid** obtener la amnistía a cambio de una confesión pública completa. Presidida por Desmond Tutu, eligió la reconciliación nacional en lugar de los juicios."
La Revolución Cultural en China (1966-1976),Concepto,El Gran Salto Adelante (1958-1962),Programa de colectivización forzada lanzado por Mao que causó la mayor hambruna de la historia humana: entre 15 y 55 millones de muertos. Su fracaso explica el alejamiento político de Mao y su necesidad de recuperar el control a través de la Revolución Cultural.
La Revolución Cultural en China (1966-1976),Concepto,Los Guardias rojos,"Juventudes revolucionarias movilizadas por Mao para atacar las «cuatro antiguallas». Humillaron a millones de profesores, médicos, intelectuales y cuadros del Partido durante sesiones públicas de crítica y autoconfesión forzada."
La Revolución Cultural en China (1966-1976),Personaje,Deng Xiaoping,"Purgado dos veces durante la Revolución cultural, se convirtió en el verdadero dirigente de China tras la muerte de Mao (1976) y en el padre de las reformas económicas. Su pragmatismo transformó a China en potencia mundial."
La Shoah: mecanismos de un genocidio,Evento relacionado,La conferencia de Wannsee (enero de 1942),Reunión de 15 altos funcionarios nazis donde se planificó y coordinó la «Solución final»: el exterminio sistemático de los judíos de Europa a través de los campos de la muerte. Demostró que el genocidio era una decisión de Estado organizada burocráticamente.
La Shoah: mecanismos de un genocidio,Concepto,Los Einsatzgruppen,"Unidades móviles de exterminio de las SS que siguieron al ejército durante la invasión de la URSS. Fusilaron a cerca de 1,5 millones de judíos soviéticos. La matanza de Babi Yar (33 771 muertos en dos días) es el ejemplo más conocido."
La Shoah: mecanismos de un genocidio,Concepto,La «banalidad del mal» (Hannah Arendt),Concepto de la filósofa desarrollado durante el juicio a Eichmann: los peores crímenes pueden ser cometidos por individuos ordinarios y burocráticos que «hacen su trabajo» sin reflexionar sobre las consecuencias morales de sus actos.
El 11 de septiembre de 2001,Referencia histórica,La guerra afgano-soviética (1979-1989),"Los Estados Unidos armaron a los muyahidines afganos para combatir a los soviéticos. Estas redes islamistas, especialmente la de Bin Laden, formadas y financiadas durante la Guerra Fría, se convirtieron después en Al-Qaeda."
