id,Nom,Rareté,Cours
k_akzmgdp9knwx,Talaat Pashá,Común,El genocidio armenio (1915-1916)
k_o5gu57xuknwx,Enver Pashá,Común,El genocidio armenio (1915-1916)
k_efzxix81knwx,Philippe Pétain,Rara,La batalla de Verdún (1916) | La Blitzkrieg (1940)
k_kri3e219knwx,Jean Moulin,Legendaria,La Blitzkrieg (1940)
k_pvl2e9ydknwx,Iósif Stalin,Legendaria,La Revolución rusa (1917) | La batalla de Stalingrado (1942-1943)
k_d4xdfwq9knwx,Ulysses S. Grant,Rara,La guerra de Secesión estadounidense (1861-1865)
k_th8s1n1pknwx,Robert E. Lee,Rara,La guerra de Secesión estadounidense (1861-1865)
k_7h5vm83hknwx,Jefferson Davis,Rara,La guerra de Secesión estadounidense (1861-1865)
k_l89k6p83knwx,Franklin D. Roosevelt,Legendaria,La Gran Depresión (1929)
k_7gxrm1gvknwx,John Maynard Keynes,Rara,La Gran Depresión (1929)
k_ioq088lbknwx,Suleimán el Magnífico,Legendaria,La caída de Constantinopla (1453)
k_v9vm9jyxknwx,Jean Monnet,Rara,El nacimiento de la UE: de la CECA a Maastricht
k_sl825i0xjnyk,David Ben Gurión,Rara,El nacimiento del conflicto israelí-palestino
k_x9i4i5v6jnyk,Hades,Rara,Deméter y Perséfone (las estaciones)
k_gs97msdzjnyk,Louis Pasteur,Legendaria,¿Cómo mata el jabón a los virus?
k_r9y0tpcyjnyk,Robert Schuman,Rara,El nacimiento de la UE: de la CECA a Maastricht
k_t61ypzg3jnyk,Grigori Rasputín,Rara,La Revolución rusa (1917)
k_zoykdaxwjnyk,Julio César,Legendaria,Eneas y la fundación de Roma (Virgilio)
k_2999c25zjnyk,Alejandro Magno,Legendaria,La tragedia griega y el teatro antiguo
k_tgqvnd1zjnyk,Martin Luther King Jr.,Legendaria,Rosa Parks y Montgomery (1955)
k_kbt6e5mdjnyk,Marco Antonio,Rara,Eneas y la fundación de Roma (Virgilio)
k_8lkhkiwienj7,Enrico Fermi,Rara,Hiroshima y Nagasaki (1945)
k_b7w32ewnenj7,Saladino,Rara,El llamado de Urbano II y la 1.ª Cruzada (1095)
k_pnlz2a6genj7,Xi Jinping,Legendaria,La rivalidad China–Estados Unidos | China y su modelo económico
k_yprjq5fmenj7,Volodymyr Zelensky,Legendaria,La guerra en Ucrania explicada
k_7r4t75noenj7,Theodor Herzl,Común,El nacimiento del conflicto israelí-palestino
k_8jzmh570enj7,Reina Victoria,Legendaria,La Belle Époque (1871-1914)
k_sbt7ehtqenj7,Nikita Khrushchev,Rara,La crisis de los misiles en Cuba (1962)
k_4eeh4oxtenj6,Fidel Castro,Legendaria,La crisis de los misiles en Cuba (1962)
k_rbd56821enj6,León Trotski,Rara,La Revolución rusa (1917)
k_pdaexjgvenj6,Nicolás II,Rara,La Revolución rusa (1917)
k_qlckfgbienj6,Luis XVI,Legendaria,La toma de la Bastilla (1789)
k_g7gf1nppenj6,Sancho Panza,Rara,"Don Quijote de la Mancha, Cervantes"
k_ensj0jgwenj6,Gavroche,Rara,"Los miserables, Victor Hugo | La libertad guiando al pueblo, Delacroix"
k_wz5uunkmenj6,Javert,Rara,"Los miserables, Victor Hugo"
k_vdzoatm8enj6,Cosette,Rara,"Los miserables, Victor Hugo"
k_hri0022nenj6,Pangloss,Común,"Cándido, Voltaire"
k_u05rcmh9enj6,Guy Montag,Rara,"Fahrenheit 451, Bradbury"
k_ggzgmrkzenj6,Gandalf,Legendaria,"El Señor de los Anillos, Tolkien"
k_dnh7i0ovenj6,Frodo Bolsón,Legendaria,"El Señor de los Anillos, Tolkien"
k_6l9ew771enj6,Atticus Finch,Rara,"Matar a un ruiseñor, Harper Lee"
k_7giotpwuenj6,Raskólnikov,Rara,"Crimen y castigo, Dostoyevski"
k_kvy4lo3senj6,Mustafá Mond,Común,"Un mundo feliz, Aldous Huxley"
k_3e098262enj6,Winston Smith,Rara,"1984, George Orwell"
k_jk4921seenj6,Capitán Ahab,Rara,"Moby Dick, Melville"
k_y54bytr8enj6,Virgilio,Común,Eneas y la fundación de Roma (Virgilio)
k_06kqqaslenj6,Esfinge,Común,Edipo y la Esfinge
k_0ztgkna6enj6,Creante,Común,"Antígona, Sófocles | Antígona: deber familiar vs ley del Estado"
k_nzl2a2rxenj6,Penélope,Común,"La Odisea, Homero"
k_94wafcfpenj6,Elena de Troya,Común,La guerra de Troya y el caballo de madera
k_blexv5vmenj6,Paris,Común,La guerra de Troya y el caballo de madera
k_uiuto3qfenj6,Héctor,Común,"La Ilíada, Homero | La guerra de Troya y el caballo de madera"
k_zutx4z59enj6,Polifemo,Común,Ulises y el Cíclope
k_y3l7j485enj6,Eurídice,Común,Orfeo y Eurídice
k_9tivxzmienj6,Cronos,Común,"El nacimiento de los dioses griegos (Cronos, Zeus, el Olimpo) | Los Titanes vs los Dioses (Titanomaquia)"
k_c4e0tg9acm0y,Pericles,Común,La democracia ateniense
k_511bjpy9cm0y,Abraham Lincoln,Legendaria,La guerra de Secesión estadounidense (1861-1865)
k_3g79sg21cm0y,Ginebra,Común,"Lancelot, Ginebra y la Tabla Redonda"
k_cdwysl61cm0y,Shiva,Legendaria,Vishnu y Shiva (mitología hindú)
k_qd0899ytcm0y,Vishnu,Legendaria,Vishnu y Shiva (mitología hindú)
k_axk6yms8cm0y,Seth,Común,Osiris y Set (mitología egipcia)
k_8dmkzdlkcm0y,Minotauro,Común,Teseo y el Minotauro
k_j2vx29w3cm0y,Hefesto,Común,Pandora y la caja | Prometeo: el ladrón del fuego
k_tgyj8vbvcm0y,Perseo,Común,Medusa y Perseo
k_oyjt0lq6cm0y,Dédalo,Común,Ícaro y Dédalo
k_y8oqgtp2cm0y,Moctezuma II,Común,El imperio azteca
k_3imy57g7cm0y,Robert Oppenheimer,Común,Hiroshima y Nagasaki (1945)
k_iupi7oa1cm0y,Lenin,Legendaria,La Revolución rusa (1917)
k_vbbosp6jcm0y,Mehmed II,Común,La caída de Constantinopla (1453)
k_xzvwjrl8cm0y,Constantino XI,Común,La caída de Constantinopla (1453)
k_5xlg998yzjjr,Mijaíl Gorbachov,Épica,La caída del muro de Berlín (1989) | La catástrofe de Chernóbil (1986)
k_adut669nzjjr,John F. Kennedy,Épica,La crisis de los misiles en Cuba (1962)
k_xnb909ztzjjr,Ho Chi Minh,Común,La batalla de Dien Bien Phu (1954) | La descolonización: panorama (1945-1975)
k_676gqpy1zjjr,Harry S. Truman,Común,Hiroshima y Nagasaki (1945) | El plan Marshall (1947-1952)
k_8ti7fz02zjjr,Charles de Gaulle,Épica,La Blitzkrieg (1940) | La descolonización: panorama (1945-1975) | La guerra de Argelia (1954-1962)
g_mpzyw5pq_1qf3l,Urbano II,Común,El llamado de Urbano II y la 1.ª Cruzada (1095)
g_mpzyw5pq_2nw7n,Alarico,Común,El saqueo de Roma por los visigodos (410)
g_mpzyw5pq_3tcd9,Carlomagno,Épica,La coronación de Carlomagno (800)
g_mpzyw5pq_45zh4,León III,Común,La coronación de Carlomagno (800)
g_mpzyw5pq_5vji0,Juan sin Tierra,Común,La Magna Carta (1215)
g_mpzyw5pq_6k4jo,Juana de Arco,Épica,Juana de Arco y la Guerra de los Cien Años (1429)
g_mpzyw5pq_7voeu,Cristóbal Colón,Épica,El descubrimiento de América (1492)
g_mpzyw5pq_8f3k9,Napoleón Bonaparte,Épica,"La estrategia de Napoleón en Ulm (1805) | La batalla de Waterloo (1815) | Rojo y negro, Stendhal"
g_mpzyw5pq_9ua1p,Duque de Wellington,Común,La batalla de Waterloo (1815)
g_mpzyw5pq_a0yhn,Mariscal Blücher,Común,La batalla de Waterloo (1815)
g_mpzyw5pq_bnz9p,Rosa Parks,Común,Rosa Parks y Montgomery (1955)
g_mpzyw5pq_coto2,George Marshall,Común,El plan Marshall (1947-1952)
g_mpzyw5pq_d5dug,Nelson Mandela,Épica,El apartheid y Mandela (1948-1994)
g_mpzyw5pq_eebm6,Mao Zedong,Épica,La Revolución Cultural en China (1966-1976)
g_mpzyw5pq_f5cv8,Alexander Fleming,Común,"El descubrimiento de la penicilina (Fleming, 1928)"
g_mpzyw5pq_g6uj4,Wilhelm Röntgen,Común,"El descubrimiento de los rayos X (Röntgen, 1895)"
g_mpzyw5pq_hfud3,Isaac Newton,Épica,"La teoría de la gravitación (Newton, 1687) | La teoría de la relatividad para todos"
g_mpzyw5pq_ihh74,Marie Curie,Épica,El descubrimiento de la radiactividad (Marie Curie)
g_mpzyw5pq_jlyf3,James Watson,Común,"La estructura del ADN (Watson & Crick, 1953)"
g_mpzyw5pq_k2vzh,Francis Crick,Común,"La estructura del ADN (Watson & Crick, 1953)"
g_mpzyw5pq_l550l,Charles Darwin,Épica,La teoría de la evolución de Darwin (1859)
g_mpzyw5pq_ms1zg,Albert Einstein,Épica,¿Qué es un agujero negro? | La teoría de la relatividad para todos
g_mpzyw5pq_ne1ty,Homero,Épica,"La Odisea, Homero | La Ilíada, Homero | Los trabajos y los días, Hesíodo | La guerra de Troya y el caballo de madera"
g_mpzyw5pq_o9a0x,Ulises,Épica,"La Odisea, Homero | Ulises y el Cíclope | Ulises y las Sirenas"
g_mpzyw5pq_p5hdr,Sófocles,Común,"Edipo Rey, Sófocles | Antígona, Sófocles | Antígona: deber familiar vs ley del Estado"
g_mpzyw5pq_q9t83,Edipo,Común,"Edipo Rey, Sófocles | Edipo y la Esfinge | Antígona: deber familiar vs ley del Estado"
g_mpzyw5pq_r47o7,Antígona,Común,"Antígona, Sófocles | Antígona: deber familiar vs ley del Estado"
g_mpzyw5pq_s24ac,Platón,Épica,"El Banquete, Platón | La República, Platón | Apología de Sócrates, Platón"
g_mpzyw5pq_te9vw,Sócrates,Épica,"La República, Platón | Apología de Sócrates, Platón"
g_mpzyw5pq_u83z2,Aristóteles,Épica,"Edipo Rey, Sófocles | La Poética, Aristóteles"
g_mpzyw5pq_vihiv,Hesíodo,Común,"Los trabajos y los días, Hesíodo"
g_mpzyw5pq_wbro4,Eurípides,Común,"Medea, Eurípides"
g_mpzyw5pq_xb49q,Medea,Común,"Medea, Eurípides"
g_mpzyw5pq_yw77m,Victor Hugo,Épica,"Los miserables, Victor Hugo"
g_mpzyw5pq_zacl3,Jean Valjean,Común,"Los miserables, Victor Hugo"
g_mpzyw5pq_10cpy6,Gustave Flaubert,Épica,"Madame Bovary, Flaubert"
g_mpzyw5pq_11k4kx,Emma Bovary,Común,"Madame Bovary, Flaubert"
g_mpzyw5pq_12wag1,Stendhal,Común,"Rojo y negro, Stendhal"
g_mpzyw5pq_13jcyt,Julien Sorel,Común,"Rojo y negro, Stendhal"
g_mpzyw5pq_14frbd,Voltaire,Épica,"Cándido, Voltaire"
g_mpzyw5pq_15wczf,Jean-Jacques Rousseau,Épica,"Las confesiones, Rousseau"
g_mpzyw5pq_164vl6,Albert Camus,Épica,"El extranjero, Camus | El mito de Sísifo, Camus"
g_mpzyw5pq_1783r1,Meursault,Común,"El extranjero, Camus"
g_mpzyw5pq_18gljr,Marcel Proust,Épica,"En busca del tiempo perdido, Proust"
g_mpzyw5pq_19hly1,Honoré de Balzac,Épica,"Papá Goriot, Balzac"
g_mpzyw5pq_1aryty,Papá Goriot,Común,"Papá Goriot, Balzac"
g_mpzyw5pq_1bsk51,Charles Baudelaire,Épica,"Las flores del mal, Baudelaire"
g_mpzyw5pq_1cieb3,George Orwell,Épica,"1984, George Orwell | Rebelión en la granja, George Orwell"
g_mpzyw5pq_1dncjb,Gran Hermano,Común,"1984, George Orwell"
g_mpzyw5pq_1e6aud,William Shakespeare,Épica,"Hamlet, Shakespeare | Romeo y Julieta, Shakespeare | El teatro de Shakespeare"
g_mpzyw5pq_1fwap9,Hamlet,Común,"Hamlet, Shakespeare"
g_mpzyw5pq_1g0t6k,Romeo,Común,"Romeo y Julieta, Shakespeare"
g_mpzyw5pq_1hr893,Julieta,Común,"Romeo y Julieta, Shakespeare"
g_mpzyw5pq_1ircss,Aldous Huxley,Común,"Un mundo feliz, Aldous Huxley"
g_mpzyw5pq_1jgt08,Mary Shelley,Común,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1kk26z,Victor Frankenstein,Común,"Frankenstein, Mary Shelley"
g_mpzyw5pq_1l5owy,Fiódor Dostoyevski,Épica,"Crimen y castigo, Dostoyevski"
g_mpzyw5pq_1mgfv7,Franz Kafka,Épica,"El proceso, Kafka | La metamorfosis, Kafka"
g_mpzyw5pq_1nuijl,Josef K.,Común,"El proceso, Kafka"
g_mpzyw5pq_1ony8e,Miguel de Cervantes,Épica,"Don Quijote de la Mancha, Cervantes"
g_mpzyw5pq_1p2dxy,Don Quijote,Épica,"Don Quijote de la Mancha, Cervantes"
g_mpzyw5pq_1q1855,John Steinbeck,Común,"Las uvas de la ira, Steinbeck"
g_mpzyw5pq_1r214f,Harper Lee,Común,"Matar a un ruiseñor, Harper Lee"
g_mpzyw5pq_1s15gd,F. Scott Fitzgerald,Común,"El gran Gatsby, Fitzgerald"
g_mpzyw5pq_1tdl2f,Jay Gatsby,Común,"El gran Gatsby, Fitzgerald"
g_mpzyw5pq_1ujxuw,J.R.R. Tolkien,Épica,"El Señor de los Anillos, Tolkien"
g_mpzyw5pq_1v8zp8,Ray Bradbury,Común,"Fahrenheit 451, Bradbury"
g_mpzyw5pq_1wq2t4,Gabriel García Márquez,Común,"Cien años de soledad, García Márquez"
g_mpzyw5pq_1x2is5,Gregor Samsa,Común,"La metamorfosis, Kafka"
g_mpzyw5pq_1ywoml,Mijaíl Bulgákov,Común,"El maestro y Margarita, Bulgákov"
g_mpzyw5pq_1zt86w,Herman Melville,Común,"Moby Dick, Melville"
g_mpzyw5pq_208lh7,Antoine de Saint-Exupéry,Épica,"El Principito, Saint-Exupéry"
g_mpzyw5pq_21ibna,El Principito,Rara,"El Principito, Saint-Exupéry"
g_mpzyw5pq_22rdie,Paulo Coelho,Común,"El Alquimista, Paulo Coelho"
g_mpzyw5pq_23r9qk,Claude Monet,Rara,"El nacimiento del impresionismo | Impresión, sol naciente, Monet"
g_mpzyw5pq_24kuff,Caravaggio,Común,Caravaggio y el claroscuro
g_mpzyw5pq_25p4or,Rembrandt,Rara,Rembrandt y la escuela flamenca
g_mpzyw5pq_26sr6p,Delacroix,Común,"El romanticismo en la pintura (Delacroix, Géricault) | La libertad guiando al pueblo, Delacroix"
g_mpzyw5pq_27yl4z,Géricault,Común,"El romanticismo en la pintura (Delacroix, Géricault)"
g_mpzyw5pq_28ndlh,Pablo Picasso,Rara,"El cubismo: Picasso y Braque | Guernica, Picasso | Las señoritas de Avignon, Picasso"
g_mpzyw5pq_29g3v9,Georges Braque,Común,El cubismo: Picasso y Braque
g_mpzyw5pq_2aen6y,Salvador Dalí,Rara,"El surrealismo: Dalí y Magritte | La persistencia de la memoria, Dalí"
g_mpzyw5pq_2bvl75,René Magritte,Común,El surrealismo: Dalí y Magritte
g_mpzyw5pq_2cno65,Edvard Munch,Común,El expresionismo: Munch y El Grito
g_mpzyw5pq_2dowsp,Wassily Kandinsky,Común,El arte abstracto: Kandinsky y Mondrian
g_mpzyw5pq_2e9f4f,Piet Mondrian,Común,El arte abstracto: Kandinsky y Mondrian
g_mpzyw5pq_2flyhe,Andy Warhol,Rara,El Pop Art: Warhol y Lichtenstein
g_mpzyw5pq_2g1nqn,Roy Lichtenstein,Común,El Pop Art: Warhol y Lichtenstein
g_mpzyw5pq_2hwava,Bob Dylan,Rara,Bob Dylan y el folk de protesta
g_mpzyw5pq_2irvrj,Giuseppe Verdi,Común,La ópera de Verdi
g_mpzyw5pq_2jbnzj,Wolfgang Amadeus Mozart,Rara,Mozart: niño prodigio y vida trágica
g_mpzyw5pq_2k3jnf,Ludwig van Beethoven,Rara,Beethoven: genio y sordera
g_mpzyw5pq_2lm8xi,Johann Sebastian Bach,Rara,Bach y la música barroca
g_mpzyw5pq_2mopkr,Charlie Chaplin,Rara,Charlie Chaplin y el cine mudo
g_mpzyw5pq_2ngk9s,Orson Welles,Común,Orson Welles y Citizen Kane
g_mpzyw5pq_2ooou3,Stanley Kubrick,Común,"Kubrick: 2001, una odisea del espacio"
g_mpzyw5pq_2pdkn8,Alfred Hitchcock,Rara,Hitchcock y el suspense
g_mpzyw5pq_2q0zwi,Leonardo da Vinci,Rara,La Gioconda
g_mpzyw5pq_2rb4ua,Vincent Van Gogh,Rara,"La noche estrellada, Van Gogh"
g_mpzyw5pq_2sgxy6,Miguel Ángel,Rara,"La creación de Adán, Miguel Ángel"
g_mpzyw5pq_2tuyyf,Edward Hopper,Común,"Nighthawks, Hopper"
g_mpzyw5pq_2u2262,Zeus,Rara,Pandora y la caja | Los Titanes vs los Dioses (Titanomaquia)
g_mpzyw5pq_2ve1ko,Prometeo,Común,Prometeo: el ladrón del fuego
g_mpzyw5pq_2wker6,Pandora,Común,Pandora y la caja
g_mpzyw5pq_2xvfg9,Deméter,Común,Deméter y Perséfone (las estaciones)
g_mpzyw5pq_2y8oag,Perséfone,Común,Deméter y Perséfone (las estaciones)
g_mpzyw5pq_2zid7i,Orfeo,Común,Orfeo y Eurídice
g_mpzyw5pq_306uzt,Narciso,Común,Narciso y Eco
g_mpzyw5pq_31xp2u,Ícaro,Común,Ícaro y Dédalo
g_mpzyw5pq_322s83,Sísifo,Común,"El mito de Sísifo, Camus | Sísifo: castigo eterno"
g_mpzyw5pq_33k5d2,Tántalo,Común,Tántalo y su suplicio
g_mpzyw5pq_348stm,Medusa,Común,Medusa y Perseo
g_mpzyw5pq_350sh9,Hércules,Rara,Hércules y sus 12 trabajos
g_mpzyw5pq_36i31c,Teseo,Común,Teseo y el Minotauro
g_mpzyw5pq_37f9ct,Jasón,Común,Jasón y el Vellocino de Oro
g_mpzyw5pq_38ftpe,Aquiles,Común,Aquiles: el talón y la invulnerabilidad
g_mpzyw5pq_39pbrr,Thor,Rara,Thor y Loki (mitología nórdica)
g_mpzyw5pq_3ai3i6,Loki,Común,Thor y Loki (mitología nórdica)
g_mpzyw5pq_3bvoe4,Osiris,Común,Osiris y Set (mitología egipcia)
g_mpzyw5pq_3ctx3u,Gilgamesh,Común,Gilgamesh: el primer héroe de la historia
g_mpzyw5pq_3dhjhk,Rómulo,Común,Rómulo y Remo: la fundación de Roma
g_mpzyw5pq_3ekptk,Remo,Común,Rómulo y Remo: la fundación de Roma
g_mpzyw5pq_3fvao3,Odín,Común,Las valquirias y el Valhalla
g_mpzyw5pq_3go8r8,Dioniso,Común,Dioniso: el dios del vino y del exceso
g_mpzyw5pq_3hcarf,Eneas,Común,Eneas y la fundación de Roma (Virgilio)
g_mpzyw5pq_3ib4ze,Quetzalcóatl,Común,Quetzalcóatl
g_mpzyw5pq_3jybz6,Lanzarote,Común,"Lancelot, Ginebra y la Tabla Redonda"
g_mpzyw5pq_3krbi6,Merlín,Rara,Merlín el Encantador
g_mpzyw5pq_3ln0h0,Sherezade,Común,Las mil y una noches (Sherezade)
g_mpzyw5pq_3md901,Simbad el Marino,Común,Simbad el Marino
g_mpzyw5pq_3nfhpx,Vladímir Putin,Rara,La Rusia de Putin
